table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_dod_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
3178,r001,All institutions,All institutions,,1,-,"['6,654,613', '']","['854,034', '']","['224,716', '']","['1,321,881', '']","['123,327', '']","['603,540', '']","['54,448', '']","['77,670', '']","['61,607', '']","['3,268,352', '']","['65,038', '']"
3178,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['1,262,988', '']","['149,228', '']","['9,040', '']","['70,101', '']","['63,430', '']","['143,849', '']","['412', '']","['6,385', '']","['33,959', '']","['786,584', '']","['0', '']"
3178,r003,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,2,"['523,399', '']","['128,135', '']","['495', '']","['423', '']","['79', '']","['5,534', '']","['688', '']","['48', '']","['0', '']","['387,941', '']","['56', '']"
3178,r004,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,3,"['300,261', '']","['50,068', '']","['6,502', '']","['3,987', '']","['10,879', '']","['16,063', '']","['461', '']","['579', '']","['0', '']","['209,040', '']","['2,682', '']"
3178,r005,All institutions -> Uniformed Services U. of the Health Sciences,All institutions,Uniformed Services U. of the Health Sciences,2,4,"['281,375', '']","['0', '']","['0', '']","['273,225', '']","['0', '']","['0', '']","['8,150', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3178,r006,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,5,"['156,351', '']","['32,234', '']","['66', '']","['4,983', '']","['725', '']","['29,891', '']","['1,281', '']","['249', '']","['53', '']","['86,601', '']","['268', '']"
3178,r007,All institutions -> Utah State U.,All institutions,Utah State U.,2,6,"['144,630', '']","['0', '']","['377', '']","['1,295', '']","['0', '']","['200', '']","['0', '']","['193', '']","['0', '']","['142,565', '']","['0', '']"
3178,r008,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,7,"['139,924', '']","['16,380', '']","['1,125', '']","['4,982', '']","['1,312', '']","['7,578', '']","['196', '']","['1,687', '']","['614', '']","['104,762', '']","['1,288', '']"
3178,r009,All institutions -> U. Southern California,All institutions,U. Southern California,2,8,"['133,937', '']","['92,732', '']","['262', '']","['9,134', '']","['0', '']","['3,812', '']","['226', '']","['519', '']","['0', '']","['25,720', '']","['1,532', '']"
3178,r010,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,9,"['98,923', '']","['216', '']","['53,025', '']","['15,522', '']","['0', '']","['7,165', '']","['969', '']","['922', '']","['0', '']","['21,066', '']","['38', '']"
