table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_total,field_biological_aspects,field_social_aspects,field_other_psychological_sciences
3899,r001,All agencies,All agencies,,,,1,1387487.3,1445.9,42140.4,1343901.0
3899,r002,All agencies -> Departments,All agencies,Departments,,,2,,,,
3899,r003,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,3,86.6,86.6,0.0,0.0
3899,r004,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,4,86.6,86.6,0.0,0.0
3899,r005,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,3,66763.4,0.0,11230.3,55533.1
3899,r006,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,4,348.3,0.0,0.0,348.3
3899,r007,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,4,55132.8,0.0,0.0,55132.8
3899,r008,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,4,11271.3,0.0,11230.3,40.9
3899,r009,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,4,11.0,0.0,0.0,11.0
3899,r010,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,3,1182523.1,417.0,7382.5,1174723.6
3899,r011,All agencies -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,4,7799.5,417.0,7382.5,0.0
3899,r012,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,4,1174723.6,0.0,0.0,1174723.6
3899,r013,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,3,57.2,0.0,0.0,57.2
3899,r014,All agencies -> Departments -> Department of Homeland Security -> U.S. Coast Guard,All agencies,Departments,Department of Homeland Security,U.S. Coast Guard,4,57.2,0.0,0.0,57.2
3899,r015,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,3,2724.1,942.3,1781.8,0.0
3899,r016,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,4,2724.1,942.3,1781.8,0.0
3899,r017,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,3,21745.8,0.0,21745.8,0.0
3899,r018,All agencies -> Departments -> Department of Transportation -> Federal Aviation Administration,All agencies,Departments,Department of Transportation,Federal Aviation Administration,4,21745.8,0.0,21745.8,0.0
3899,r019,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,,3,113587.2,0.0,0.0,113587.2
