table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_total,field_federally_financed
12649,r001,All institutions,All institutions,,1,904,456
12649,r002,All institutions -> D'Youville U.,All institutions,D'Youville U.,2,80,17
12649,r003,All institutions -> Dickinson State U.,All institutions,Dickinson State U.,2,131,60
12649,r004,All institutions -> Ohio Northern U.,All institutions,Ohio Northern U.,2,148,111
12649,r005,All institutions -> Southeast Missouri State U.,All institutions,Southeast Missouri State U.,2,101,23
12649,r006,All institutions -> Texas A&M U.-Texarkana,All institutions,Texas A&M U.-Texarkana,2,44,0
12649,r007,All institutions -> U. Charleston,All institutions,U. Charleston,2,32,31
12649,r008,"All institutions -> U. Maine, Presque Isle",All institutions,"U. Maine, Presque Isle",2,62,50
12649,r009,"All institutions -> U. Pittsburgh, Johnstown",All institutions,"U. Pittsburgh, Johnstown",2,25,0
12649,r010,"All institutions -> U. Tennessee, Martin",All institutions,"U. Tennessee, Martin",2,112,55
12649,r011,All institutions -> U. West Alabama,All institutions,U. West Alabama,2,109,49
12649,r012,All institutions -> Wayne State C.,All institutions,Wayne State C.,2,43,43
12649,r013,All institutions -> Western Nevada C.,All institutions,Western Nevada C.,2,17,17
