table_id,row_id,institution_full_path,institution_level_1,institution_level_2,institution_level_3,institution_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_s_e_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
11195,r001,All HBCUs,All HBCUs,,,1,658.4,497.7,12.3,0,110.6,37.7
11195,r002,All HBCUs -> Top 15 recipient institutions,All HBCUs,Top 15 recipient institutions,,2,431.4,328.5,11.2,0,64.3,27.4
11195,r003,All HBCUs -> Top 15 recipient institutions -> North Carolina Agricultural and Technical State U.,All HBCUs,Top 15 recipient institutions,North Carolina Agricultural and Technical State U.,3,52.3,39.5,0.7,0,8.9,3.3
11195,r004,All HBCUs -> Top 15 recipient institutions -> West Virginia State U.,All HBCUs,Top 15 recipient institutions,West Virginia State U.,3,46.2,42.7,0.0,0,2.9,0.6
11195,r005,All HBCUs -> Top 15 recipient institutions -> Howard U.<sup>a</sup>,All HBCUs,Top 15 recipient institutions,Howard U.<sup>a</sup>,3,36.6,32.3,0.0,0,3.9,0.4
11195,r006,All HBCUs -> Top 15 recipient institutions -> Tuskegee U.,All HBCUs,Top 15 recipient institutions,Tuskegee U.,3,32.3,14.3,8.2,0,7.1,2.8
11195,r007,All HBCUs -> Top 15 recipient institutions -> Morehouse School of Medicine,All HBCUs,Top 15 recipient institutions,Morehouse School of Medicine,3,29.3,29.3,0.0,0,0.0,0.0
11195,r008,All HBCUs -> Top 15 recipient institutions -> Delaware State U.,All HBCUs,Top 15 recipient institutions,Delaware State U.,3,28.4,22.5,0.0,0,2.9,3.0
11195,r009,All HBCUs -> Top 15 recipient institutions -> Prairie View A&M U.,All HBCUs,Top 15 recipient institutions,Prairie View A&M U.,3,28.1,23.0,0.0,0,3.7,1.5
11195,r010,All HBCUs -> Top 15 recipient institutions -> Florida A&M U.,All HBCUs,Top 15 recipient institutions,Florida A&M U.,3,27.7,22.3,0.4,0,4.1,0.9
11195,r011,All HBCUs -> Top 15 recipient institutions -> Tennessee State U.,All HBCUs,Top 15 recipient institutions,Tennessee State U.,3,25.9,20.1,0.0,0,3.6,2.2
11195,r012,All HBCUs -> Top 15 recipient institutions -> Meharry Medical C.,All HBCUs,Top 15 recipient institutions,Meharry Medical C.,3,23.5,10.7,2.0,0,10.9,0.0
11195,r013,All HBCUs -> Top 15 recipient institutions -> Morgan State U.,All HBCUs,Top 15 recipient institutions,Morgan State U.,3,23.4,21.9,0.0,0,1.3,0.2
11195,r014,"All HBCUs -> Top 15 recipient institutions -> U. Maryland, Eastern Shore",All HBCUs,Top 15 recipient institutions,"U. Maryland, Eastern Shore",3,21.0,12.1,0.0,0,2.6,6.4
11195,r015,All HBCUs -> Top 15 recipient institutions -> Central State U.,All HBCUs,Top 15 recipient institutions,Central State U.,3,20.3,14.9,0.0,0,3.1,2.3
11195,r016,"All HBCUs -> Top 15 recipient institutions -> Southern U. and A&M C., Baton Rouge",All HBCUs,Top 15 recipient institutions,"Southern U. and A&M C., Baton Rouge",3,18.3,12.2,0.0,0,3.5,2.6
11195,r017,All HBCUs -> Top 15 recipient institutions -> Alabama A&M U.,All HBCUs,Top 15 recipient institutions,Alabama A&M U.,3,17.9,10.9,0.0,0,6.0,1.1
11195,r018,All HBCUs -> All other HBCUs,All HBCUs,All other HBCUs,,2,227.0,169.2,1.1,0,46.3,10.4
