table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2018_actual,field_2019_preliminarya,field_2020_proposed,field_2018_19_change_,field_2019_20_change_
1714,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,37316,39147,33648,4.9,-14.0
1714,r002,R&D and R&D plant -> Consumer and occupational health and safety (554) ,R&D and R&D plant,Consumer and occupational health and safety (554) ,,,,2,496,411,411,-17.1,0.0
1714,r003,R&D and R&D plant -> Consumer and occupational health and safety (554)  -> Consumer Product Safety Commission,R&D and R&D plant,Consumer and occupational health and safety (554) ,Consumer Product Safety Commission,,,3,1,1,1,0.0,0.0
1714,r004,R&D and R&D plant -> Consumer and occupational health and safety (554)  -> Food and Drug Administration (HHS)<sup>b</sup>,R&D and R&D plant,Consumer and occupational health and safety (554) ,Food and Drug Administration (HHS)<sup>b</sup>,,,3,495,410,410,-17.2,0.0
1714,r005,"R&D and R&D plant -> Health care services and health research and training (551, 552) ",R&D and R&D plant,"Health care services and health research and training (551, 552) ",,,,2,36820,38736,33237,5.2,-14.2
1714,r006,"R&D and R&D plant -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services ",R&D and R&D plant,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,,,3,36328,38173,33237,5.1,-12.9
1714,r007,"R&D and R&D plant -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> Agency for Healthcare Research and Quality",R&D and R&D plant,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,Agency for Healthcare Research and Quality,,4,351,356,0,1.4,-100.0
1714,r008,"R&D and R&D plant -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> Centers for Disease Control and Prevention",R&D and R&D plant,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,Centers for Disease Control and Prevention,,4,437,435,435,-0.5,0.0
1714,r009,"R&D and R&D plant -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> Departmental management (other)",R&D and R&D plant,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,Departmental management (other),,4,131,154,18,17.6,-88.3
1714,r010,"R&D and R&D plant -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> Health Resources and Services Administration",R&D and R&D plant,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,Health Resources and Services Administration,,4,30,30,26,0.0,-13.3
1714,r011,"R&D and R&D plant -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> National Institutes of Health",R&D and R&D plant,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,National Institutes of Health,,4,35379,37198,32758,5.1,-11.9
1714,r012,"R&D and R&D plant -> Health care services and health research and training (551, 552)  -> Patient-Centered Outcomes Research Trust Fund<sup>c</sup>",R&D and R&D plant,"Health care services and health research and training (551, 552) ",Patient-Centered Outcomes Research Trust Fund<sup>c</sup>,,,3,492,563,0,14.4,-100.0
1714,r013,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,37151,38894,33399,4.7,-14.1
1714,r014,R&D and R&D plant -> R&D -> Consumer and occupational health and safety (554) ,R&D and R&D plant,R&D,Consumer and occupational health and safety (554) ,,,3,478,376,376,-21.3,0.0
1714,r015,R&D and R&D plant -> R&D -> Consumer and occupational health and safety (554)  -> Consumer Product Safety Commission,R&D and R&D plant,R&D,Consumer and occupational health and safety (554) ,Consumer Product Safety Commission,,4,1,1,1,0.0,0.0
1714,r016,R&D and R&D plant -> R&D -> Consumer and occupational health and safety (554)  -> Food and Drug Administration (HHS)<sup>b</sup>,R&D and R&D plant,R&D,Consumer and occupational health and safety (554) ,Food and Drug Administration (HHS)<sup>b</sup>,,4,477,375,375,-21.4,0.0
1714,r017,"R&D and R&D plant -> R&D -> Health care services and health research and training (551, 552) ",R&D and R&D plant,R&D,"Health care services and health research and training (551, 552) ",,,3,36673,38518,33023,5.0,-14.3
1714,r018,"R&D and R&D plant -> R&D -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services ",R&D and R&D plant,R&D,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,,4,36181,37955,33023,4.9,-13.0
1714,r019,"R&D and R&D plant -> R&D -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> Agency for Healthcare Research and Quality",R&D and R&D plant,R&D,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,Agency for Healthcare Research and Quality,5,351,356,0,1.4,-100.0
