table_id,row_id,time_period,_b_all_science_engineering_and_health_graduate_students_b_level_1,_b_all_science_engineering_and_health_graduate_students_b_level_2,_b_all_science_engineering_and_health_graduate_students_b_level_3,_b_all_science_engineering_and_health_graduate_students_b_hierarchy_depth,value
10663,r001,1975,"All science, engineering, and health graduate students",Total,,2,328510
10663,r002,1975,"All science, engineering, and health graduate students",Full time,Number,3,219648
10663,r003,1975,"All science, engineering, and health graduate students",Full time,Percent,3,66.9
10663,r004,1975,"All science, engineering, and health graduate students",Part time,Number,3,108862
10663,r005,1975,"All science, engineering, and health graduate students",Part time,Percent,3,33.1
10663,r006,1975,All science graduate students,Total,,2,234649
10663,r007,1975,All science graduate students,Full time,Number,3,164437
10663,r008,1975,All science graduate students,Full time,Percent,3,70.1
10663,r009,1975,All science graduate students,Part time,Number,3,70212
10663,r010,1975,All science graduate students,Part time,Percent,3,29.9
10663,r011,1975,All engineering graduate students,Total,,2,68332
10663,r012,1975,All engineering graduate students,Full time,Number,3,37823
10663,r013,1975,All engineering graduate students,Full time,Percent,3,55.4
10663,r014,1975,All engineering graduate students,Part time,Number,3,30509
10663,r015,1975,All engineering graduate students,Part time,Percent,3,44.6
10663,r016,1975,All health graduate students,Total,,2,25529
10663,r017,1975,All health graduate students,Full time,Number,3,17388
10663,r018,1975,All health graduate students,Full time,Percent,3,68.1
10663,r019,1975,All health graduate students,Part time,Number,3,8141
10663,r020,1975,All health graduate students,Part time,Percent,3,31.9
10663,r021,1976,"All science, engineering, and health graduate students",Total,,2,333716
10663,r022,1976,"All science, engineering, and health graduate students",Full time,Number,3,223412
10663,r023,1976,"All science, engineering, and health graduate students",Full time,Percent,3,66.9
10663,r024,1976,"All science, engineering, and health graduate students",Part time,Number,3,110304
10663,r025,1976,"All science, engineering, and health graduate students",Part time,Percent,3,33.1
10663,r026,1976,All science graduate students,Total,,2,238675
10663,r027,1976,All science graduate students,Full time,Number,3,167867
10663,r028,1976,All science graduate students,Full time,Percent,3,70.3
10663,r029,1976,All science graduate students,Part time,Number,3,70808
10663,r030,1976,All science graduate students,Part time,Percent,3,29.7
10663,r031,1976,All engineering graduate students,Total,,2,66723
10663,r032,1976,All engineering graduate students,Full time,Number,3,36948
10663,r033,1976,All engineering graduate students,Full time,Percent,3,55.4
10663,r034,1976,All engineering graduate students,Part time,Number,3,29775
10663,r035,1976,All engineering graduate students,Part time,Percent,3,44.6
10663,r036,1976,All health graduate students,Total,,2,28318
10663,r037,1976,All health graduate students,Full time,Number,3,18597
10663,r038,1976,All health graduate students,Full time,Percent,3,65.7
10663,r039,1976,All health graduate students,Part time,Number,3,9721
10663,r040,1976,All health graduate students,Part time,Percent,3,34.3
10663,r041,1977,"All science, engineering, and health graduate students",Total,,2,345374
10663,r042,1977,"All science, engineering, and health graduate students",Full time,Number,3,226738
10663,r043,1977,"All science, engineering, and health graduate students",Full time,Percent,3,65.6
10663,r044,1977,"All science, engineering, and health graduate students",Part time,Number,3,118636
10663,r045,1977,"All science, engineering, and health graduate students",Part time,Percent,3,34.4
10663,r046,1977,All science graduate students,Total,,2,242932
10663,r047,1977,All science graduate students,Full time,Number,3,169184
10663,r048,1977,All science graduate students,Full time,Percent,3,69.6
10663,r049,1977,All science graduate students,Part time,Number,3,73748
10663,r050,1977,All science graduate students,Part time,Percent,3,30.4
10663,r051,1977,All engineering graduate students,Total,,2,68757
10663,r052,1977,All engineering graduate students,Full time,Number,3,37227
