table_id,row_id,_b_department_b_full_path,_b_department_b_level_1,_b_department_b_level_2,_b_department_b_level_3,_b_department_b_hierarchy_depth,field_explanatory_information
6342,r001,Department of Agriculture,Department of Agriculture,,,1,
6342,r002,Department of Agriculture -> Agricultural Marketing Service,Department of Agriculture,Agricultural Marketing Service,,2,"Although the Agricultural Marketing Service (AMS) was established in April 1972, FY 1979 was the first year in which Congress appropriated funds to this agency."
6342,r003,,,,,1,Data reported for AMS include funds for the Office of Transportation beginning in 1989.
6342,r004,,,,,1,"The Grain Inspection, Packers, and Stockyards Administration (GIPSA) was re-organized and absorbed in AMS in September 2017. Because GIPSA R&D projects were closed out, the transfer did not have much effect on the FY 2018 funding reported by AMS."
6342,r005, -> Agricultural Research Service,,Agricultural Research Service,,2,The Human Nutrition Information Service merged with the Agricultural Research Service on 20 February 1994.
6342,r006, -> Agricultural Stabilization and Conservation Service,,Agricultural Stabilization and Conservation Service,,2,The Agricultural Stabilization and Conservation Service was abolished as of 20 October 1994.
6342,r007," -> Cooperative State Research, Education, and Extension Service",,"Cooperative State Research, Education, and Extension Service",,2,"The Cooperative State Research Service merged with the Extension Service on 19 October 1994 to become the Cooperative State Research, Education, and Extension Service (CSREES) due to reorganization of the Department of Agriculture."
6342,r008,,,,,1,CSREES changed its name to the National Institute of Food and Agriculture in FY 2008.
6342,r009, -> Economic Research Service,,Economic Research Service,,2,"Data reported for the Economics, Statistics, and Cooperative Service include programs of the Economic Research Service (ERS), the Statistical Reporting Service (SRS), and the Farmer Cooperative Service for FYs 1977–79."
6342,r010,,,,,1,Data reported for the Economics and Statistics Service include programs of ERS and SRS for FY 1980.
6342,r011, -> Economics and Statistics Service,,Economics and Statistics Service,,2,Data reported for the Economics and Statistics Service include programs of the Economic Research Service and the Statistical Reporting Service for FY 1980.
6342,r012," -> Economics, Statistics, and Cooperative Service",,"Economics, Statistics, and Cooperative Service",,2,"Data reported for the Economics, Statistics, and Cooperative Service include programs of the Economic Research Service, the Statistical Reporting Service, and the Farmer Cooperative Service for FYs 1977–79."
6342,r013, -> Federal Grain Inspection Service,,Federal Grain Inspection Service,,2,"The Federal Grain Inspection Service was abolished on 20 October 1994, and the Grain Inspection, Packers, and Stockyards Administration assumed its functions."
6342,r014, -> Foreign Agricultural Service,,Foreign Agricultural Service,,2,The Office of International Cooperation and Development became part of the Foreign Agricultural Service (FAS) in June 1994. Data reported for FAS include funds appropriated to International Cooperation and Development programs within FAS as of FY 1994.
6342,r015," -> Grain Inspection, Packers, and Stockyards Administration",,"Grain Inspection, Packers, and Stockyards Administration",,2,"The Federal Grain Inspection Service was abolished on 20 October 1994, and the Grain Inspection, Packers, and Stockyards Administration (GIPSA) assumed its functions."
6342,r016, -> ,,,,2,"GIPSA was re-organized and absorbed in the Agricultural Marketing Service in September 2017; GIPSA funding for FY 2017 declined because GIPSA R&D projects were closed out. GIPSA was eliminated as a standalone agency as of 14 November 2017, so no funding was reported for FY 2018."
6342,r017, -> Human Nutrition Information Service,,Human Nutrition Information Service,,2,The Human Nutrition Information Service merged with the Agricultural Research Service on 20 February 1994.
6342,r018, -> National Institute of Food and Agriculture,,National Institute of Food and Agriculture,,2,"The National Institute of Food and Agriculture was created through the Food, Conservation, and Energy Act of 2008 and replaced the former Cooperative State Research, Education, and Extension Service (CSREES)."
6342,r019, -> Office of International Cooperation and Development,,Office of International Cooperation and Development,,2,The Office of International Cooperation and Development became part of the Foreign Agricultural Service (FAS) in June 1994. Data reported for FAS include funds appropriated to International Cooperation and Development programs within FAS as of FY 1994.
6342,r020, -> Office of Transportation,,Office of Transportation,,2,Data reported for the Agricultural Marketing Service include funds for the Office of Transportation beginning in 1989.
6342,r021, -> Rural Business-Cooperative Service,,Rural Business-Cooperative Service,,2,This agency's name changed from the Rural Business and Cooperative Development Service to the Rural Business-Cooperative Service on 30 January 1996.
6342,r022,Department of Commerce,Department of Commerce,,,1,
6342,r023,Department of Commerce -> Maritime Administration,Department of Commerce,Maritime Administration,,2,"In 1981, the Maritime Administration moved from the Department of Commerce to the Department of Transportation."
6342,r024,Department of Commerce -> National Fire Prevention and Control Administration,Department of Commerce,National Fire Prevention and Control Administration,,2,Functions for the National Fire Prevention and Control Administration transferred from the Department of Commerce to the Federal Emergency Management Agency as of 1 April 1979.
6342,r025,Department of Commerce -> Department of Defense,Department of Commerce,Department of Defense,,2,"Since volume 40, the Department of Defense (DOD) has reported research obligations and development obligations separately. Tables reporting obligations for research, by state and performer, and obligations for development, by state and performer, were specifically created for DOD. Circumstances specific to DOD are (1) DOD funds the preponderance of federal development and (2) DOD development funded at institutions of higher education is typically performed at university-affiliated nonacademic laboratories, which are separate from universities’ academic departments, where university research is typically performed."
6342,r026,Department of Commerce -> ,Department of Commerce,,,2,"During the volume 44 survey cycle, the Director for Defense Research and Engineering (DDR&E) at DOD requested that the National Science Foundation (NSF) further clarify the true character of DOD’s R&D program, particularly as it compares with other federal agencies, by adding more detail to development obligations reported by DOD respondents. Specifically, DOD requested that NSF allow DOD agencies to report development obligations in two separate categories: advanced technology development and major systems development.An excerpt from a letter written by Robert V. Tuohy, Chief, Program Analysis and Integration at DDR&E, to John E. Jankowski, Program Director, Research and Development Statistics Program, Division of Science Resources Statistics, NSF, explains the reasoning behind the DDR&E request:""The DOD’s R&D program is divided into two major pieces, Science and Technology (S&T) and Major Systems Development. The other federal agencies’ entire R&D programs are equivalent in nature to DOD’s S&T program, with the exception of the Department of Energy and possibly the National Aeronautics and Space Administration. Comparing those other agency programs to DOD’s program, including the development of weapons systems such as F-22 Fighter and the New Attack Submarine, is misleading."""
6342,r027,Department of Commerce -> ,Department of Commerce,,,2,"Not all DOD agencies with development obligations are able to categorize them according to the advanced technology and major systems development breakdown. Therefore, in the volume 46 (FYs 1996–98) survey cycle, total DOD development does not equal the sum of total DOD advanced technology development and total DOD major systems development."
6342,r028,Department of Commerce -> ,Department of Commerce,,,2,"Beginning with volume 54 (FYs 2004–06), DOD now requires its reporting agencies to adhere to DOD control numbers when providing data to the Federal Funds Survey."
6342,r029,Department of Commerce -> ,Department of Commerce,,,2,"Starting with volume 61 (FYs 2011–13), DOD subagencies other than the Defense Advanced Research Projects Agency were reported as an aggregate total under other defense agencies to enable complete reporting of DOD R&D (both unclassified and classified). Consequently, DOD began reporting additional classified R&D not previously reported by its subagencies."
6342,r030,Department of Commerce -> ,Department of Commerce,,,2,"Starting with volume 62 (FYs 2012–14), an ""undistributed"" category was added to the geographic location tables for DOD obligations for which the location of performance is not reported. It includes DOD obligations for industry R&D that were included in individual state totals prior to FY 2012 and DOD obligations for other performers that were not reported prior to FY 2011. This change was applied retroactively to FY 2011 data."
6342,r031,Department of Commerce -> ,Department of Commerce,,,2,"Beginning with FY 2016, the totals reported for development outlays represent a refinement to this category by more narrowly defining it to be “experimental development.” Most notably, totals for development do not include the DOD Budget Activity 7 (Operational Systems Development) outlays. Those funds, previously included in DOD’s development outlay totals, support the development efforts to upgrade systems that have been fielded or have received approval for full rate production and anticipate production funding in the current or subsequent fiscal year. Therefore, the data are not directly comparable with totals reported in previous years."
6342,r032,Department of Commerce -> ,Department of Commerce,,,2,"As of volume 66 (FYs 2016–17), the definition of major systems development was changed to represent DOD Budget Activities 4 through 6 instead of Budget Activities 4 through 7."
6342,r033,Department of Commerce -> ,Department of Commerce,,,2,Funding for DOD's Operational Systems Development (Budget Activity 7) was first reported as a separate category for volume 66 (FYs 2016–17).
