table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_usda_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
10157,r001,All institutions,All institutions,,1,-,"['1,500,988', '']","['13,291', '']","['35,995', '']","['1,212,975', '']","['8,437', '']","['10,243', '']","['2,508', '']","['73,069', '']","['7,824', '']","['87,560', '']","['49,086', '']"
10157,r002,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,1,"['52,471', '']","['165', '']","['301', '']","['31,243', '']","['7,065', '']","['82', '']","['0', '']","['2,542', '']","['0', '']","['6,353', '']","['4,720', '']"
10157,r003,All institutions -> Washington State U.,All institutions,Washington State U.,2,2,"['52,115', '']","['1,082', '']","['1,050', '']","['41,722', '']","['0', '']","['68', '']","['1', '']","['1,313', '']","['247', '']","['1,557', '']","['5,075', '']"
10157,r004,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,3,"['51,000', '']","['0', '']","['808', '']","['45,658', '']","['227', '']","['139', '']","['74', '']","['1,254', '']","['156', '']","['2,670', '']","['14', '']"
10157,r005,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,4,"['50,132', '']","['0', '']","['1,239', '']","['43,759', '']","['0', '']","['2,696', '']","['0', '']","['667', '']","['0', '']","['1,771', '']","['0', '']"
10157,r006,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,5,"['46,205', '']","['234', '']","['1,307', '']","['39,936', '']","['0', '']","['46', '']","['0', '']","['3,179', '']","['0', '']","['556', '']","['947', '']"
10157,r007,All institutions -> U. Florida,All institutions,U. Florida,2,6,"['45,735', '']","['0', '']","['610', '']","['41,667', '']","['0', '']","['72', '']","['0', '']","['832', '']","['0', '']","['2,416', '']","['138', '']"
10157,r008,All institutions -> U. Georgia,All institutions,U. Georgia,2,7,"['44,862', '']","['167', '']","['9', '']","['33,620', '']","['0', '']","['0', '']","['30', '']","['9,941', '']","['5', '']","['1,023', '']","['67', '']"
10157,r009,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,8,"['44,464', '']","['193', '']","['1,705', '']","['38,436', '']","['281', '']","['64', '']","['0', '']","['1,766', '']","['69', '']","['1,727', '']","['223', '']"
10157,r010,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,9,"['43,453', '']","['0', '']","['138', '']","['23,942', '']","['0', '']","['0', '']","['0', '']","['1,685', '']","['49', '']","['3,516', '']","['14,123', '']"
10157,r011,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,10,"['41,976', '']","['285', '']","['133', '']","['29,573', '']","['0', '']","['6', '']","['91', '']","['2,382', '']","['75', '']","['9,069', '']","['362', '']"
10157,r012,All institutions -> Cornell U.,All institutions,Cornell U.,2,11,"['41,219', '']","['55', '']","['0', '']","['38,554', '']","['0', '']","['0', '']","['120', '']","['105', '']","['0', '']","['990', '']","['1,395', '']"
10157,r013,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,12,"['38,302', '']","['2,560', '']","['185', '']","['31,819', '']","['0', '']","['20', '']","['0', '']","['622', '']","['164', '']","['2,893', '']","['39', '']"
10157,r014,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,13,"['37,885', '']","['429', '']","['19', '']","['32,090', '']","['0', '']","['1,217', '']","['0', '']","['1,404', '']","['879', '']","['1,843', '']","['4', '']"
10157,r015,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,14,"['35,157', '']","['24', '']","['197', '']","['25,988', '']","['3', '']","['178', '']","['832', '']","['5,765', '']","['0', '']","['1,113', '']","['1,057', '']"
10157,r016,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,15,"['33,485', '']","['136', '']","['652', '']","['27,608', '']","['43', '']","['15', '']","['0', '']","['2,357', '']","['19', '']","['2,458', '']","['197', '']"
10157,r017,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,16,"['30,025', '']","['0', '']","['65', '']","['25,742', '']","['0', '']","['0', '']","['0', '']","['1,885', '']","['177', '']","['2,070', '']","['86', '']"
10157,r018,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,17,"['27,335', '']","['73', '']","['0', '']","['19,469', '']","['26', '']","['0', '']","['0', '']","['2,225', '']","['0', '']","['4,830', '']","['712', '']"
10157,r019,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,18,"['27,187', '']","['70', '']","['2,010', '']","['22,748', '']","['0', '']","['0', '']","['0', '']","['79', '']","['0', '']","['2,280', '']","['0', '']"
10157,r020,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,19,"['27,061', '']","['0', '']","['0', '']","['26,300', '']","['0', '']","['114', '']","['0', '']","['167', '']","['0', '']","['364', '']","['116', '']"
10157,r021,All institutions -> Kansas State U.,All institutions,Kansas State U.,2,20,"['26,145', '']","['138', '']","['8', '']","['21,025', '']","['0', '']","['1', '']","['357', '']","['2,818', '']","['0', '']","['720', '']","['1,078', '']"
10157,r022,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,21,"['24,588', '']","['2,139', '']","['4', '']","['18,539', '']","['3', '']","['139', '']","['592', '']","['146', '']","['0', '']","['2,815', '']","['211', '']"
10157,r023,"All institutions -> U. Nebraska, Lincoln",All institutions,"U. Nebraska, Lincoln",2,22,"['24,104', '']","['15', '']","['0', '']","['20,406', '']","['52', '']","['2', '']","['40', '']","['68', '']","['0', '']","['3,261', '']","['260', '']"
10157,r024,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,23,"['23,800', '']","['0', '']","['644', '']","['22,886', '']","['0', '']","['2', '']","['0', '']","['199', '']","['0', '']","['69', '']","['0', '']"
10157,r025,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,24,"['22,949', '']","['440', '']","['60', '']","['19,493', '']","['38', '']","['172', '']","['0', '']","['1,957', '']","['0', '']","['574', '']","['215', '']"
10157,r026,"All institutions -> Auburn U., Auburn",All institutions,"Auburn U., Auburn",2,25,"['20,881', '']","['0', '']","['370', '']","['18,355', '']","['0', '']","['178', '']","['0', '']","['41', '']","['896', '']","['948', '']","['93', '']"
10157,r027,"All institutions -> U. Tennessee, Knoxville",All institutions,"U. Tennessee, Knoxville",2,26,"['17,554', '']","['0', '']","['8', '']","['13,795', '']","['0', '']","['0', '']","['0', '']","['18', '']","['1,481', '']","['2,224', '']","['28', '']"
10157,r028,All institutions -> U. Idaho,All institutions,U. Idaho,2,27,"['17,483', '']","['0', '']","['274', '']","['13,337', '']","['0', '']","['0', '']","['0', '']","['2,771', '']","['0', '']","['992', '']","['109', '']"
10157,r029,"All institutions -> U. California, Riverside",All institutions,"U. California, Riverside",2,28,"['17,001', '']","['128', '']","['2,410', '']","['13,836', '']","['0', '']","['49', '']","['0', '']","['77', '']","['0', '']","['501', '']","['0', '']"
10157,r030,All institutions -> U. Vermont,All institutions,U. Vermont,2,29,"['16,786', '']","['0', '']","['0', '']","['15,948', '']","['0', '']","['0', '']","['0', '']","['838', '']","['0', '']","['0', '']","['0', '']"
10157,r031,"All institutions -> Montana State U., Bozeman",All institutions,"Montana State U., Bozeman",2,30,"['16,181', '']","['93', '']","['118', '']","['15,359', '']","['0', '']","['12', '']","['0', '']","['12', '']","['0', '']","['564', '']","['23', '']"
