table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
12630,r001,All institutions,All institutions,,1,-,"['108,841,148', '']","['59,678,935', '']","['5,447,408', '']","['27,702,412', '']","['6,230,371', '']","['6,684,772', '']","['3,097,250', '']"
12630,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['3,801,585', '']","['3,324,551', '']","['10,271', '']","['164,758', '']","['126,685', '']","['168,401', '']","['6,919', '']"
12630,r003,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,2,"['2,046,539', '']","['858,066', '']","['45,056', '']","['505,006', '']","['143,206', '']","['313,964', '']","['181,241', '']"
12630,r004,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,3,"['1,953,617', '']","['936,469', '']","['27,849', '']","['642,815', '']","['203,003', '']","['134,455', '']","['9,026', '']"
12630,r005,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,4,"['1,925,875', '']","['1,041,430', '']","['1,934', '']","['679,205', '']","['113,903', '']","['80,894', '']","['8,509', '']"
12630,r006,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,5,"['1,734,091', '']","['1,188,836', '']","['33,833', '']","['125,390', '']","['71,487', '']","['260,986', '']","['53,559', '']"
12630,r007,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,6,"['1,731,949', '']","['816,814', '']","['125,524', '']","['542,782', '']","['46,133', '']","['153,068', '']","['47,628', '']"
12630,r008,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,7,"['1,721,665', '']","['878,571', '']","['105,632', '']","['354,575', '']","['109,531', '']","['219,227', '']","['54,129', '']"
12630,r009,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,8,"['1,705,410', '']","['1,083,790', '']","['70,790', '']","['250,973', '']","['96,416', '']","['109,398', '']","['94,043', '']"
12630,r010,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,9,"['1,549,617', '']","['907,710', '']","['61,576', '']","['407,817', '']","['58,179', '']","['92,573', '']","['21,762', '']"
12630,r011,All institutions -> Stanford U.,All institutions,Stanford U.,2,10,"['1,537,846', '']","['943,669', '']","['31,872', '']","['189,108', '']","['144,300', '']","['219,578', '']","['9,319', '']"
12630,r012,All institutions -> Duke U.,All institutions,Duke U.,2,11,"['1,507,996', '']","['974,202', '']","['773', '']","['191,004', '']","['219,452', '']","['96,327', '']","['26,238', '']"
12630,r013,All institutions -> New York U.,All institutions,New York U.,2,12,"['1,457,424', '']","['787,204', '']","['9,599', '']","['327,502', '']","['73,289', '']","['118,376', '']","['141,454', '']"
12630,r014,All institutions -> Cornell U.,All institutions,Cornell U.,2,13,"['1,451,971', '']","['705,132', '']","['95,202', '']","['276,682', '']","['59,081', '']","['129,082', '']","['186,792', '']"
12630,r015,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,14,"['1,449,188', '']","['694,647', '']","['64,139', '']","['424,124', '']","['155,194', '']","['63,964', '']","['47,120', '']"
12630,r016,All institutions -> Harvard U.,All institutions,Harvard U.,2,15,"['1,435,218', '']","['639,953', '']","['4,250', '']","['488,906', '']","['71,497', '']","['202,605', '']","['28,007', '']"
12630,r017,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,16,"['1,405,080', '']","['1,083,903', '']","['128,291', '']","['61,494', '']","['94,476', '']","['31,073', '']","['5,843', '']"
12630,r018,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,17,"['1,398,078', '']","['916,735', '']","['11,421', '']","['315,634', '']","['43,372', '']","['64,516', '']","['46,400', '']"
12630,r019,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,18,"['1,385,302', '']","['825,546', '']","['57,007', '']","['401,833', '']","['37,011', '']","['54,377', '']","['9,528', '']"
12630,r020,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,19,"['1,341,952', '']","['988,670', '']","['6,298', '']","['119,863', '']","['91,828', '']","['132,930', '']","['2,363', '']"
12630,r021,All institutions -> Yale U.,All institutions,Yale U.,2,20,"['1,326,807', '']","['741,198', '']","['1,710', '']","['404,706', '']","['80,221', '']","['93,363', '']","['5,609', '']"
12630,r022,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,21,"['1,320,183', '']","['702,483', '']","['76,395', '']","['386,198', '']","['55,081', '']","['40,764', '']","['59,262', '']"
12630,r023,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,22,"['1,277,814', '']","['546,481', '']","['251,300', '']","['353,916', '']","['37,390', '']","['53,710', '']","['35,017', '']"
12630,r024,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,23,"['1,255,190', '']","['259,285', '']","['300,907', '']","['256,545', '']","['248,261', '']","['38,163', '']","['152,029', '']"
12630,r025,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,24,"['1,253,156', '']","['751,019', '']","['3,821', '']","['357,729', '']","['86,265', '']","['39,591', '']","['14,731', '']"
12630,r026,All institutions -> U. Florida,All institutions,U. Florida,2,25,"['1,250,201', '']","['529,391', '']","['193,910', '']","['389,065', '']","['42,055', '']","['58,010', '']","['37,770', '']"
12630,r027,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,26,"['1,206,793', '']","['781,303', '']","['49,379', '']","['265,205', '']","['29,300', '']","['29,539', '']","['52,067', '']"
