table_id,row_id,country_or_economy_and_field_full_path,country_or_economy_and_field_level_1,country_or_economy_and_field_level_2,country_or_economy_and_field_hierarchy_depth,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1753,r001,China<sup>a</sup>,China<sup>a</sup>,,1,4101,3744,3988,4222,4796,4982,5374,5526,5555,6182
1753,r002,China<sup>a</sup> -> Science and engineering,China<sup>a</sup>,Science and engineering,2,3753,3457,3652,3906,4443,4650,4970,5140,5149,5689
1753,r003,China<sup>a</sup> -> Non-science and engineering,China<sup>a</sup>,Non-science and engineering,2,348,287,336,316,353,332,404,386,406,493
1753,r004,India ,India ,,1,2272,2142,2165,2248,2204,2316,2229,2195,1969,2040
1753,r005,India  -> Science and engineering,India ,Science and engineering,2,2112,1994,2036,2142,2074,2208,2119,2085,1883,1919
1753,r006,India  -> Non-science and engineering,India ,Non-science and engineering,2,160,148,129,106,130,108,110,110,86,121
1753,r007,South Korea ,South Korea ,,1,1526,1381,1445,1472,1383,1284,1234,1229,1127,1035
1753,r008,South Korea  -> Science and engineering,South Korea ,Science and engineering,2,1179,1076,1085,1132,1012,928,920,891,814,725
1753,r009,South Korea  -> Non-science and engineering,South Korea ,Non-science and engineering,2,347,305,360,340,371,356,314,338,313,310
1753,r010,Taiwan ,Taiwan ,,1,735,650,693,719,699,668,614,592,520,513
1753,r011,Taiwan  -> Science and engineering,Taiwan ,Science and engineering,2,544,501,570,581,571,558,514,499,435,444
1753,r012,Taiwan  -> Non-science and engineering,Taiwan ,Non-science and engineering,2,191,149,123,138,128,110,100,93,85,69
1753,r013,Turkey ,Turkey ,,1,527,477,493,439,478,426,469,472,496,452
1753,r014,Turkey  -> Science and engineering,Turkey ,Science and engineering,2,445,405,422,352,391,360,386,380,392,362
1753,r015,Turkey  -> Non-science and engineering,Turkey ,Non-science and engineering,2,82,72,71,87,87,66,83,92,104,90
1753,r016,Iran ,Iran ,,1,141,147,198,287,409,483,629,695,767,935
1753,r017,Iran  -> Science and engineering,Iran ,Science and engineering,2,,,193,278,380,463,608,664,728,869
1753,r018,Iran  -> Non-science and engineering,Iran ,Non-science and engineering,2,,,5,9,29,20,21,31,39,66
1753,r019,Canada ,Canada ,,1,516,469,455,423,485,488,454,408,408,424
1753,r020,Canada  -> Science and engineering,Canada ,Science and engineering,2,387,339,307,299,332,321,318,272,288,301
1753,r021,Canada  -> Non-science and engineering,Canada ,Non-science and engineering,2,129,130,148,124,153,167,136,136,120,123
1753,r022,Thailand ,Thailand ,,1,242,222,266,260,264,231,220,185,171,177
1753,r023,Thailand  -> Science and engineering,Thailand ,Science and engineering,2,220,182,235,240,227,200,193,168,153,155
1753,r024,Thailand  -> Non-science and engineering,Thailand ,Non-science and engineering,2,22,40,31,20,37,31,27,17,18,22
1753,r025,Mexico ,Mexico ,,1,215,201,185,213,177,193,194,221,180,185
1753,r026,Mexico  -> Science and engineering,Mexico ,Science and engineering,2,171,169,159,185,146,161,155,191,145,156
1753,r027,Mexico  -> Non-science and engineering,Mexico ,Non-science and engineering,2,44,32,26,28,31,32,39,30,35,29
1753,r028,Japan ,Japan ,,1,256,236,244,240,217,173,164,166,117,117
1753,r029,Japan  -> Science and engineering,Japan ,Science and engineering,2,193,173,179,179,166,129,120,129,92,93
1753,r030,Japan  -> Non-science and engineering,Japan ,Non-science and engineering,2,63,63,65,61,51,44,44,37,25,24
