table_id,row_id,_b_state_or_territory_control_and_institution_b_full_path,_b_state_or_territory_control_and_institution_b_level_1,_b_state_or_territory_control_and_institution_b_level_2,_b_state_or_territory_control_and_institution_b_level_3,_b_state_or_territory_control_and_institution_b_hierarchy_depth,field_all_fields,field_agricultural_sciences,field_biological_and_biomedical_sciences,field_computer_and_information_sciences,field_engineering,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_health_sciences,field_mathematics_and_statistics,field_natural_resources_and_conservation,field_physical_sciences,field_psychology,field_social_sciences,field_other_fields_of_s_e
12863,r001,Alabama,Alabama,,,1,"['54,177', '']","['0', '']","['731', '']","['17,500', '']","['16,200', '']","['1,366', '']","['640', '']","['0', '']","['0', '']","['0', '']","['17,490', '']","['250', '']","['0', '']"
12863,r002,Alabama -> Public,Alabama,Public,,2,"['54,177', '']","['0', '']","['731', '']","['17,500', '']","['16,200', '']","['1,366', '']","['640', '']","['0', '']","['0', '']","['0', '']","['17,490', '']","['250', '']","['0', '']"
12863,r003,Alabama -> Public -> Alabama State U.,Alabama,Public,Alabama State U.,3,"['250', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['250', '']","['0', '']"
12863,r004,"Alabama -> Public -> Auburn U., Auburn",Alabama,Public,"Auburn U., Auburn",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12863,r005,Alabama -> Public -> Troy U.,Alabama,Public,Troy U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12863,r006,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['1,371', '']","['0', '']","['731', '']","['0', '']","['0', '']","['0', '']","['640', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12863,r007,"Alabama -> Public -> U. Alabama, Huntsville",Alabama,Public,"U. Alabama, Huntsville",3,"['20,068', '']","['0', '']","['0', '']","['17,500', '']","['2,200', '']","['368', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12863,r008,"Alabama -> Public -> U. Alabama, Tuscaloosa",Alabama,Public,"U. Alabama, Tuscaloosa",3,"['18,488', '']","['0', '']","['0', '']","['0', '']","['0', '']","['998', '']","['0', '']","['0', '']","['0', '']","['0', '']","['17,490', '']","['0', '']","['0', '']"
12863,r009,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['14,000', '']","['0', '']","['0', '']","['0', '']","['14,000', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12863,r010,Alabama -> Private,Alabama,Private,,2,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
