table_id,row_id,_b_source_of_funds_b_full_path,_b_source_of_funds_b_level_1,_b_source_of_funds_b_level_2,_b_source_of_funds_b_hierarchy_depth,field_all_r_d_expenditures_
8044,r001,Total ,Total ,,1,27973176
8044,r002,Total  -> Internal funds ,Total ,Internal funds ,2,6030782
8044,r003,Total  -> Federal government ,Total ,Federal government ,2,12277531
8044,r004,Total  -> State and local government,Total ,State and local government,2,572084
8044,r005,Total  -> Businesses ,Total ,Businesses ,2,3102636
8044,r006,Total  -> Universities ,Total ,Universities ,2,935446
8044,r007,Total  -> Foundations ,Total ,Foundations ,2,2313696
8044,r008,Total  -> All other nonprofits ,Total ,All other nonprofits ,2,772836
8044,r009,Total  -> Individual donors ,Total ,Individual donors ,2,1390842
8044,r010,Total  -> Other ,Total ,Other ,2,577322
