table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
5412,r001,All institutions,All institutions,,1,-,"['2,678,763', '']","['46,446', '']","['86,997', '']","['1,618,377', '']","['10,143', '']","['115,254', '']","['23,408', '']","['138,635', '']","['27,997', '']","['432,690', '']","['178,816', '']"
5412,r002,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,1,"['172,200', '']","['0', '']","['0', '']","['168,051', '']","['0', '']","['4,149', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5412,r003,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,2,"['137,736', '']","['0', '']","['0', '']","['135,475', '']","['251', '']","['289', '']","['984', '']","['737', '']","['0', '']","['0', '']","['0', '']"
5412,r004,All institutions -> Cornell U.,All institutions,Cornell U.,2,3,"['126,960', '']","['3,310', '']","['300', '']","['101,574', '']","['9', '']","['1,677', '']","['401', '']","['1,863', '']","['0', '']","['13,776', '']","['4,050', '']"
5412,r005,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,4,"['120,624', '']","['2,840', '']","['9,319', '']","['65,165', '']","['256', '']","['7,584', '']","['1,783', '']","['4,897', '']","['404', '']","['26,807', '']","['1,569', '']"
5412,r006,All institutions -> New York U.,All institutions,New York U.,2,5,"['116,870', '']","['1,428', '']","['245', '']","['12,932', '']","['1,071', '']","['4,788', '']","['222', '']","['9,238', '']","['0', '']","['68,434', '']","['18,512', '']"
5412,r007,All institutions -> U. Arizona,All institutions,U. Arizona,2,6,"['110,041', '']","['101', '']","['4,197', '']","['81,739', '']","['31', '']","['12,186', '']","['100', '']","['1,557', '']","['154', '']","['8,975', '']","['1,001', '']"
5412,r008,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,7,"['77,960', '']","['1,870', '']","['1,671', '']","['5,000', '']","['10', '']","['1,096', '']","['0', '']","['12,637', '']","['1,954', '']","['49,439', '']","['4,283', '']"
5412,r009,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,8,"['76,247', '']","['2,269', '']","['3,186', '']","['47,888', '']","['1,067', '']","['6,432', '']","['642', '']","['3,143', '']","['999', '']","['9,317', '']","['1,304', '']"
5412,r010,All institutions -> U. Southern California,All institutions,U. Southern California,2,9,"['74,689', '']","['1,536', '']","['2,460', '']","['50,007', '']","['107', '']","['2,363', '']","['4,032', '']","['3,114', '']","['0', '']","['6,124', '']","['4,946', '']"
