table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
10115,r001,All institutions,All institutions,,1,-,"['97,680,528', '']","['3,225,002', '']","['3,690,235', '']","['56,498,207', '']","['879,526', '']","['6,167,583', '']","['1,443,894', '']","['3,165,440', '']","['1,156,452', '']","['15,596,634', '']","['5,857,608', '']"
10115,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['3,420,312', '']","['270,237', 'i']","['96,789', 'i']","['1,179,546', 'i']","['141,477', 'i']","['317,282', 'i']","['7,744', 'i']","['9,118', 'i']","['63,353', 'i']","['1,324,646', 'i']","['10,120', 'i']"
10115,r003,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,2,"['1,805,950', '']","['0', '']","['0', '']","['1,734,339', '']","['0', '']","['71,611', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
10115,r004,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,3,"['1,791,311', '']","['29,513', '']","['1,856', '']","['1,364,745', '']","['8,921', '']","['67,341', '']","['16,035', '']","['53,759', '']","['3,520', '']","['106,282', '']","['139,339', '']"
10115,r005,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,4,"['1,770,708', '']","['16,789', '']","['15,865', '']","['1,018,062', '']","['20,129', '']","['65,018', '']","['20,806', '']","['189,167', '']","['4,036', '']","['299,254', '']","['121,582', '']"
10115,r006,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,5,"['1,559,708', '']","['25,836', '']","['152,187', '']","['1,045,014', '']","['7,095', '']","['62,596', '']","['10,431', '']","['16,490', '']","['15', '']","['172,004', '']","['68,040', '']"
10115,r007,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,6,"['1,536,197', '']","['14,755', '']","['45,869', '']","['1,110,788', '']","['9,537', '']","['55,159', '']","['17,022', '']","['68,872', '']","['50,149', '']","['98,403', '']","['65,643', '']"
10115,r008,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,7,"['1,533,357', '']","['28,879', '']","['187,175', '']","['915,619', '']","['6,383', '']","['97,804', '']","['19,075', '']","['31,031', '']","['8,417', '']","['212,583', '']","['26,391', '']"
10115,r009,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,8,"['1,523,513', '']","['30,295', '']","['68,178', '']","['952,068', '']","['7,005', '']","['97,161', '']","['10,208', '']","['65,924', '']","['48,230', '']","['148,673', '']","['95,771', '']"
10115,r010,All institutions -> Duke U.,All institutions,Duke U.,2,9,"['1,390,538', '']","['8,320', '']","['8,178', '']","['1,174,640', '']","['9,125', '']","['23,281', '']","['7,467', '']","['40,627', '']","['284', '']","['102,748', '']","['15,868', '']"
