table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
8012,r001,United States,United States,,,,1,"['84,667', '']","['6,535', '']","['5,254', '']","['37,061', '']","['2,359', '']","['12,509', '']","['2,346', '']","['3,429', '']","['1,792', '']","['5,183', '']","['8,199', '']"
8012,r002,United States -> Public,United States,Public,,,2,"['39,279', '']","['4,253', '']","['2,673', '']","['15,990', '']","['1,312', '']","['5,940', '']","['461', '']","['1,467', '']","['1,144', '']","['2,423', '']","['3,616', '']"
8012,r003,United States -> Private,United States,Private,,,2,"['45,388', '']","['2,282', '']","['2,581', '']","['21,071', '']","['1,047', '']","['6,569', '']","['1,885', '']","['1,962', '']","['648', '']","['2,760', '']","['4,583', '']"
8012,r004,United States -> Alabama,United States,Alabama,,,2,"['1,231', '']","['74', '']","['0', '']","['308', '']","['355', '']","['159', '']","['0', '']","['0', '']","['74', '']","['240', '']","['21', '']"
8012,r005,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['751', '']","['74', '']","['0', '']","['275', '']","['222', '']","['159', '']","['0', '']","['0', '']","['0', '']","['0', '']","['21', '']"
8012,r006,"United States -> Alabama -> Public -> Auburn U., Montgomery",United States,Alabama,Public,"Auburn U., Montgomery",4,"['201', '']","['74', '']","['0', '']","['56', '']","['69', '']","['2', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8012,r007,United States -> Alabama -> Public -> U. North Alabama,United States,Alabama,Public,U. North Alabama,4,"['331', '']","['0', '']","['0', '']","['0', '']","['153', '']","['157', '']","['0', '']","['0', '']","['0', '']","['0', '']","['21', '']"
8012,r008,United States -> Alabama -> Public -> U. West Alabama,United States,Alabama,Public,U. West Alabama,4,"['219', '']","['0', '']","['0', '']","['219', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8012,r009,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['480', '']","['0', '']","['0', '']","['33', '']","['133', '']","['0', '']","['0', '']","['0', '']","['74', '']","['240', '']","['0', '']"
8012,r010,"United States -> Alabama -> Private -> Alabama C., Osteopathic Medicine",United States,Alabama,Private,"Alabama C., Osteopathic Medicine",4,"['17', '']","['0', '']","['0', '']","['17', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
