table_id,row_id,broad_field_of_study_and_demographic_characteristic_full_path,broad_field_of_study_and_demographic_characteristic_level_1,broad_field_of_study_and_demographic_characteristic_level_2,broad_field_of_study_and_demographic_characteristic_level_3,broad_field_of_study_and_demographic_characteristic_level_4,broad_field_of_study_and_demographic_characteristic_hierarchy_depth,field_median_age_at_doctorate_years_a,field_all_ages,field_25_and_under,field_26_30,field_31_35,field_36_40,field_41_45,field_over_45
962,r001,All fields,All fields,,,,1,31.6,100.0,0.8,43.8,31.4,11.6,5.1,7.2
962,r002,All fields -> Life sciences<sup>b</sup>,All fields,Life sciences<sup>b</sup>,,,2,31.0,100.0,0.6,49.1,31.4,9.7,3.8,5.3
962,r003,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,,2,29.5,100.0,1.0,67.3,23.6,5.0,1.7,1.4
962,r004,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,,2,30.4,100.0,1.7,53.6,29.6,8.5,2.8,3.8
962,r005,All fields -> Psychology and social sciences,All fields,Psychology and social sciences,,,2,32.3,100.0,0.5,36.2,36.8,13.5,5.4,7.7
962,r006,All fields -> Engineering,All fields,Engineering,,,2,29.9,100.0,1.5,59.4,28.1,6.5,2.0,2.6
962,r007,All fields -> Education,All fields,Education,,,2,38.3,100.0,0.4,11.3,26.4,22.7,14.2,25.0
962,r008,All fields -> Humanities and arts,All fields,Humanities and arts,,,2,34.1,100.0,0.1,21.6,41.8,19.2,8.1,9.2
962,r009,All fields -> Other<sup>c</sup>,All fields,Other<sup>c</sup>,,,2,34.8,100.0,1.0,21.7,34.7,18.4,9.3,14.8
962,r010,All fields -> Sex,All fields,Sex,,,2,,,,,,,,
962,r011,All fields -> Sex -> Male,All fields,Sex,Male,,3,31.3,100.0,0.8,46.5,31.6,11.2,4.4,5.4
962,r012,All fields -> Sex -> Female,All fields,Sex,Female,,3,32.0,100.0,0.8,40.6,31.2,12.2,5.8,9.4
962,r013,All fields -> Citizenship status,All fields,Citizenship status,,,2,,,,,,,,
962,r014,All fields -> Citizenship status -> U.S. citizen or permanent resident,All fields,Citizenship status,U.S. citizen or permanent resident,,3,31.9,100.0,0.7,42.0,29.2,12.3,6.0,9.7
962,r015,All fields -> Citizenship status -> Temporary visa holder,All fields,Citizenship status,Temporary visa holder,,3,31.1,100.0,0.9,48.0,36.4,10.2,2.8,1.7
962,r016,All fields -> Ethnicity and race (U.S. citizens and permanent residents),All fields,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,
962,r017,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All fields,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,32.4,100.0,0.3,38.8,30.4,14.6,7.6,8.4
962,r018,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,
962,r019,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,37.9,100.0,,22.6,17.0,18.9,16.0,
962,r020,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,31.3,100.0,0.6,47.0,31.1,10.7,5.2,5.4
962,r021,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,35.4,100.0,0.6,25.2,26.4,15.2,12.2,20.4
962,r022,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,31.7,100.0,0.7,43.4,29.0,11.9,5.4,9.6
962,r023,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,31.3,100.0,0.9,46.1,28.7,12.3,4.3,7.7
962,r024,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,32.2,100.0,,37.1,33.0,15.3,5.3,
962,r025,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,All fields,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,32.3,100.0,1.0,37.1,34.4,14.5,6.2,6.8
