table_id,row_id,field_full_path,field_level_1,field_level_2,field_hierarchy_depth,field_world,field_united_states,field_eu,field_china,field_japan,field_india
1835,r001,All articles (n),All articles (n),,1,2555959,422808,622125,528263,98793,135788
1835,r002,All articles (n) -> Agricultural sciences,All articles (n),Agricultural sciences,2,2.16,1.2,1.89,2.38,1.03,2.42
1835,r003,All articles (n) -> Astronomy and astrophysics,All articles (n),Astronomy and astrophysics,2,0.54,0.85,0.86,0.2,0.56,0.3
1835,r004,All articles (n) -> Biological and biomedical sciences,All articles (n),Biological and biomedical sciences,2,11.97,14.03,12.05,9.85,12.15,10.37
1835,r005,All articles (n) -> Chemistry,All articles (n),Chemistry,2,6.2,3.56,5.33,9.61,7.36,8.46
1835,r006,All articles (n) -> Computer and information sciences,All articles (n),Computer and information sciences,2,10.7,7.66,9.6,13.24,9.36,18.41
1835,r007,All articles (n) -> Engineering,All articles (n),Engineering,2,16.96,12.84,14.43,25.47,15.13,17.56
1835,r008,"All articles (n) -> Geosciences, atmospheric, and ocean sciences",All articles (n),"Geosciences, atmospheric, and ocean sciences",2,3.07,3.54,3.17,2.93,2.32,1.5
1835,r009,All articles (n) -> Health sciences,All articles (n),Health sciences,2,23.64,33.91,27.05,13.1,30.41,14.04
1835,r010,All articles (n) -> Materials science,All articles (n),Materials science,2,4.19,1.3,2.56,6.48,3.18,9.32
1835,r011,All articles (n) -> Mathematics and statistics,All articles (n),Mathematics and statistics,2,2.39,2.03,2.53,2.08,1.66,3.45
1835,r012,All articles (n) -> Natural resources and conservation,All articles (n),Natural resources and conservation,2,2.42,1.47,2.44,3.18,1.44,1.82
1835,r013,All articles (n) -> Physics,All articles (n),Physics,2,9.12,6.46,8.39,10.07,12.87,10.59
1835,r014,All articles (n) -> Psychology,All articles (n),Psychology,2,1.91,3.81,2.84,0.38,1.08,0.29
1835,r015,All articles (n) -> Social sciences,All articles (n),Social sciences,2,4.74,7.34,6.86,1.04,1.45,1.48
