table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
2751,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['106', '&nbsp;']","['54', '&nbsp;']","['282', 'i']","['253', '&nbsp;']","['261', '&nbsp;']","['249', 'i']","['155', 'i']","['228', '&nbsp;']","['185', '  ']","['181', '  ']","['181', 'i ']"
2751,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['114', '&nbsp;']","['130', '&nbsp;']","['121', '&nbsp;']","['108', '&nbsp;']","['77', '&nbsp;']","['82', '&nbsp;']","['94', '&nbsp;']","['86', '&nbsp;']","['69', '  ']","['116', '  ']","['151', '  ']"
2751,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['188', '&nbsp;']","['117', '&nbsp;']","['91', '&nbsp;']","['135', '&nbsp;']","['122', '&nbsp;']","['109', '&nbsp;']","['222', '&nbsp;']","['194', '&nbsp;']","['179', '  ']","['171', '  ']","['216', '  ']"
2751,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['1,929', '&nbsp;']","['1,930', '&nbsp;']","['2,143', '&nbsp;']","['3,587', '&nbsp;']","['3,710', '&nbsp;']","['2,833', '&nbsp;']","['2,984', '&nbsp;']","['3,288', '&nbsp;']","['3,239', '  ']","['3,285', '  ']","['4,521', '  ']"
2751,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['399', '&nbsp;']","['391', '&nbsp;']","['D', '&nbsp;']","['293', '&nbsp;']","['596', '&nbsp;']","['646', '&nbsp;']","['D', '&nbsp;']","['621', '&nbsp;']","['625', '  ']","['566', 'i ']","['858', '  ']"
2751,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['366', '&nbsp;']","['285', '&nbsp;']","['296', '&nbsp;']","['376', '&nbsp;']","['66', '&nbsp;']","['451', '&nbsp;']","['493', '&nbsp;']","['599', '&nbsp;']","['727', '  ']","['793', '  ']","['911', '  ']"
2751,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['92', '&nbsp;']","['83', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['347', '&nbsp;']","['537', '&nbsp;']","['405', '&nbsp;']","['424', '  ']","['0 - 1,928', '  ']","['935 - 958', '  ']"
2751,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['1,072', '&nbsp;']","['1,170', '&nbsp;']","['1,254', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,389', '&nbsp;']","['D', '&nbsp;']","['1,664', '&nbsp;']","['1,464', '  ']","['0 - 1,928', '  ']","['1,793 - 1,817', '  ']"
2751,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['15,774', '&nbsp;']","['12,917', '&nbsp;']","['13,722', '&nbsp;']","['16,708', '&nbsp;']","['21,117', '&nbsp;']","['21,485', '&nbsp;']","['20,943', '&nbsp;']","['20,678', '&nbsp;']","['20,868', '  ']","['23,907', '  ']","['28,322', '  ']"
2751,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['2,951', '&nbsp;']","['2,862', '&nbsp;']","['3,194', '&nbsp;']","['2,863', '&nbsp;']","['4,525', '&nbsp;']","['4,730', '&nbsp;']","['3,702', '&nbsp;']","['3,625', '&nbsp;']","['2,967', '  ']","['3,076', '  ']","['3,376', '  ']"
2751,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['7,075', '&nbsp;']","['6,058', '&nbsp;']","['6,343', '&nbsp;']","['7,909', '&nbsp;']","['10,082', '&nbsp;']","['10,434', '&nbsp;']","['10,360', '&nbsp;']","['9,896', '&nbsp;']","['10,377', '  ']","['10,989', '  ']","['14,487', '  ']"
2751,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['2,308', '&nbsp;']","['2,180', '&nbsp;']","['2,158', '&nbsp;']","['2,390', '&nbsp;']","['2,722', '&nbsp;']","['2,927', '&nbsp;']","['3,122', '&nbsp;']","['2,819', '&nbsp;']","['3,227', '  ']","['3,640', '  ']","['4,172', '  ']"
2751,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['838', '&nbsp;']","['522', '&nbsp;']","['360', '&nbsp;']","['557', '&nbsp;']","['586', '&nbsp;']","['202', '&nbsp;']","['1,073', '&nbsp;']","['923', '&nbsp;']","['922', '  ']","['1,069', '  ']","['1,169', 'i ']"
2751,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['D', '&nbsp;']","['508', '&nbsp;']","['475', '&nbsp;']","['575', '&nbsp;']","['578', '&nbsp;']","['647', '&nbsp;']","['625', '&nbsp;']","['673', '&nbsp;']","['840', '  ']","['968', '  ']","['1,154', '  ']"
2751,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['D', '&nbsp;']","['1,149', '&nbsp;']","['1,324', '&nbsp;']","['1,258', '&nbsp;']","['1,557', '&nbsp;']","['2,077', '&nbsp;']","['1,423', '&nbsp;']","['1,222', '&nbsp;']","['1,465', '  ']","['1,603', '  ']","['1,849', '  ']"
2751,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['3,440', '&nbsp;']","['1,817', '&nbsp;']","['2,027', '&nbsp;']","['3,546', '&nbsp;']","['3,788', '&nbsp;']","['3,395', '&nbsp;']","['3,759', '&nbsp;']","['4,338', '&nbsp;']","['4,297', '  ']","['6,202', 'i ']","['6,287', '  ']"
2751,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['1,162', '&nbsp;']","['1,158', '&nbsp;']","['1,447', '&nbsp;']","['1,695', '&nbsp;']","['1,062', '&nbsp;']","['1,605', '&nbsp;']","['1,382', '&nbsp;']","['1,351', '&nbsp;']","['1,436', '  ']","['1,835', '  ']","['1,693', '  ']"
2751,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['10,267', '&nbsp;']","['7,974', '&nbsp;']","['8,422', '&nbsp;']","['7,936', '&nbsp;']","['8,075', '&nbsp;']","['7,899', '&nbsp;']","['9,621', '&nbsp;']","['8,412', '&nbsp;']","['8,592', '  ']","['8,734', '  ']","['7,446', '  ']"
2751,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['8,448', '&nbsp;']","['6,023', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['6,877', '&nbsp;']","['D', '&nbsp;']","['6,622', '&nbsp;']","['6,672', '  ']","['6,527', '  ']","['6,540', '  ']"
2751,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['1,816', '&nbsp;']","['1,846', '&nbsp;']","['1,770', '&nbsp;']","['772', '&nbsp;']","['D', '&nbsp;']","['901', '&nbsp;']","['D', '&nbsp;']","['1,672', '&nbsp;']","['1,817', '  ']","['2,035', '  ']","['686 - 711', '  ']"
2751,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['1,742', '&nbsp;']","['1,760', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,670', '&nbsp;']","['1,813', '  ']","['511 - 2,036', '  ']","['685 - 710', '  ']"
2751,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['74', '&nbsp;']","['85', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['5', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['2', '&nbsp;']","['4', '  ']","['0 - 1,524', '  ']","['1', '  ']"
2751,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '  ']","['0', '  ']","['0', '  ']"
2751,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['3', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['121', '&nbsp;']","['D', '&nbsp;']","['118', '&nbsp;']","['104', '  ']","['171', '  ']","['195 - 221', '  ']"
2751,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['27', '&nbsp;']","['38', '&nbsp;']","['33', '&nbsp;']","['28', '&nbsp;']","['23', '&nbsp;']","['28', '&nbsp;']","['45', '&nbsp;']","['25', '&nbsp;']","['22', '  ']","['40', '  ']","['25', '  ']"
2751,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['D', '&nbsp;']","['4,044', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['3,608', '&nbsp;']","['2,194', '&nbsp;']","['2,207', '&nbsp;']","['3,057', '  ']","['2,888', '  ']","['3,270 - 3,274', '  ']"
2751,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['766', '&nbsp;']","['3,813', '&nbsp;']","['1,003', '&nbsp;']","['D', '&nbsp;']","['1,978', '&nbsp;']","['3,197', '&nbsp;']","['1,782', '&nbsp;']","['1,813', '&nbsp;']","['2,739', '  ']","['2,539', '  ']","['2,884', '  ']"
2751,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['D', '&nbsp;']","['231', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['411', '&nbsp;']","['412', '&nbsp;']","['394', 'i']","['317', 'i ']","['348', '  ']","['386 - 390', '  ']"
2751,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['14,903', '&nbsp;']","['13,648', '&nbsp;']","['14,698', '&nbsp;']","['17,792', '&nbsp;']","['19,037', '&nbsp;']","['19,853', '&nbsp;']","['21,849', '&nbsp;']","['21,778', '&nbsp;']","['25,956', '  ']","['29,196', '  ']","['35,498', '  ']"
2751,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['D', '&nbsp;']","['D', '&nbsp;']","['239', '&nbsp;']","['232', '&nbsp;']","['D', '&nbsp;']","['452', '&nbsp;']","['D', '&nbsp;']","['336', '&nbsp;']","['308', '  ']","['355', 'i ']","['163', '  ']"
2751,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['6', '&nbsp;']","['13', '&nbsp;']","['17', '&nbsp;']","['38', '&nbsp;']","['21', '&nbsp;']","['23', '&nbsp;']","['1', '&nbsp;']","['3', '&nbsp;']","['1', '  ']","['10', '  ']","['8', '  ']"
2751,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['509', '&nbsp;']","['D', '&nbsp;']","['53', '&nbsp;']","['141', 'i']","['112', 'i']","['7', '&nbsp;']","['D', '&nbsp;']","['25', 'i']","['21', 'i ']","['0 - 2,590', '  ']","['32', '  ']"
2751,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['490', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0 - 5,132', 'i ']","['0 - 2,590', '  ']","['63 - 3,864', 'i ']"
2751,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['2', '&nbsp;']","['1', '&nbsp;']","['29', '&nbsp;']","['28', 'i']","['8', 'i']","['D', '&nbsp;']","['13', '&nbsp;']","['13', '&nbsp;']","['7', '  ']","['7', '  ']","['14', '  ']"
2751,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['7,657', '&nbsp;']","['7,243', '&nbsp;']","['8,011', '&nbsp;']","['9,644', '&nbsp;']","['9,915', '&nbsp;']","['11,767', '&nbsp;']","['13,736', '&nbsp;']","['12,508', '&nbsp;']","['13,454', '  ']","['14,292', '  ']","['17,156', '  ']"
2751,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['6,301', '&nbsp;']","['6,332', '&nbsp;']","['6,926', '&nbsp;']","['7,899', '&nbsp;']","['7,880', '&nbsp;']","['9,456', '&nbsp;']","['10,185', '&nbsp;']","['8,842', '&nbsp;']","['8,698', '  ']","['8,500', '  ']","['7,195', '  ']"
2751,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['27', '&nbsp;']","['47', '&nbsp;']","['55', '&nbsp;']","['29', '&nbsp;']","['2', 'i']","['6', 'i']","['4', 'i']","['9', '&nbsp;']","['4', '  ']","['6', '  ']","['19', '  ']"
2751,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['6,274', '&nbsp;']","['6,285', '&nbsp;']","['6,871', '&nbsp;']","['7,870', '&nbsp;']","['7,878', '&nbsp;']","['9,450', '&nbsp;']","['10,181', '&nbsp;']","['8,833', '&nbsp;']","['8,693', '  ']","['8,494', '  ']","['7,175', '  ']"
2751,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['175', '&nbsp;']","['86', '&nbsp;']","['131', '&nbsp;']","['98', '&nbsp;']","['59', '&nbsp;']","['63', '&nbsp;']","['61', '&nbsp;']","['41', '&nbsp;']","['49', '  ']","['96', '  ']","['131 - 138', '  ']"
2751,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['1,089', 'i']","['266', '&nbsp;']","['142', 'i']","['339', '&nbsp;']","['661', '&nbsp;']","['631', '&nbsp;']","['1,294', '&nbsp;']","['1,245', '&nbsp;']","['0 - 4,710', '  ']","['2,270', '  ']","['4,739', '  ']"
2751,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['93', '&nbsp;']","['559', '&nbsp;']","['812', '&nbsp;']","['1,308', '&nbsp;']","['1,316', '&nbsp;']","['1,616', '&nbsp;']","['2,196', '&nbsp;']","['2,378', '&nbsp;']","['0 - 4,710', '  ']","['3,427', '  ']","['5,086 - 5,092', '  ']"
2751,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['74', '&nbsp;']","['518', '&nbsp;']","['467', '&nbsp;']","['496', '&nbsp;']","['628', '&nbsp;']","['587', '&nbsp;']","['625', '&nbsp;']","['950', '&nbsp;']","['1,136', '  ']","['971', '  ']","['885', '  ']"
2751,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['65', '&nbsp;']","['28', '&nbsp;']","['37', '&nbsp;']","['D', '&nbsp;']","['38', '&nbsp;']","['11', '&nbsp;']","['6', '&nbsp;']","['13', '&nbsp;']","['2', '  ']","['40 - 120', '  ']","['51', '  ']"
2751,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['41', '&nbsp;']","['37', '&nbsp;']","['D', '&nbsp;']","['3', '&nbsp;']","['D', '&nbsp;']","['*', '  ']","['0 - 79', '  ']","['0', '  ']"
2751,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['*', 'i']","['D', '&nbsp;']","['3', '&nbsp;']","['D', '&nbsp;']","['2', '  ']","['41', '  ']","['51', '  ']"
2751,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['6,150', '&nbsp;']","['5,328', '&nbsp;']","['5,309', '&nbsp;']","['6,424', '&nbsp;']","['6,723', '&nbsp;']","['6,418', '&nbsp;']","['6,534', '&nbsp;']","['7,653', '&nbsp;']","['5,744 - 10,877', '  ']","['10,563', '  ']","['13,307', '  ']"
2751,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['200', '&nbsp;']","['126', '&nbsp;']","['148', 'i']","['D', '&nbsp;']","['57', '&nbsp;']","['41', '&nbsp;']","['65', '&nbsp;']","['58', '&nbsp;']","['57', 'i ']","['50', '  ']","['56 - 66', 'i ']"
2751,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['2,164', '&nbsp;']","['1,959', '&nbsp;']","['2,099', '&nbsp;']","['2,243', 'i']","['2,398', 'i']","['1,293', '&nbsp;']","['1,525', 'i']","['2,893', '&nbsp;']","['0 - 5,132', '  ']","['3,488', '  ']","['4,364', '  ']"
