table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_usda_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
7996,r001,All institutions,All institutions,,1,-,"['1,302,288', '']","['8,684', '']","['32,879', '']","['1,068,850', '']","['4,813', '']","['6,267', '']","['4,848', '']","['57,977', '']","['5,285', '']","['75,250', '']","['37,435', '']"
7996,r002,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,1,"['46,659', '']","['171', '']","['2,857', '']","['39,969', '']","['414', '']","['76', '']","['0', '']","['1,455', '']","['91', '']","['1,500', '']","['126', '']"
7996,r003,All institutions -> Washington State U.,All institutions,Washington State U.,2,2,"['44,992', '']","['0', '']","['786', '']","['38,757', '']","['0', '']","['0', '']","['0', '']","['2,290', '']","['11', '']","['2,634', '']","['514', '']"
7996,r004,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,3,"['42,046', '']","['2', '']","['1,060', '']","['37,245', '']","['219', '']","['0', '']","['58', '']","['1,355', '']","['102', '']","['1,997', '']","['8', '']"
7996,r005,All institutions -> U. Florida,All institutions,U. Florida,2,4,"['41,970', '']","['0', '']","['413', '']","['38,228', '']","['0', '']","['70', '']","['0', '']","['819', '']","['0', '']","['2,237', '']","['203', '']"
7996,r006,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,5,"['39,429', '']","['259', '']","['1,726', '']","['33,587', '']","['0', '']","['33', '']","['0', '']","['2,558', '']","['0', '']","['563', '']","['703', '']"
7996,r007,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,6,"['38,170', '']","['203', '']","['460', '']","['24,362', '']","['3,559', '']","['48', '']","['0', '']","['2,312', '']","['0', '']","['3,532', '']","['3,694', '']"
7996,r008,All institutions -> Cornell U.,All institutions,Cornell U.,2,7,"['37,981', '']","['23', '']","['21', '']","['35,181', '']","['0', '']","['0', '']","['135', '']","['167', '']","['0', '']","['1,112', '']","['1,342', '']"
7996,r009,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,8,"['37,042', '']","['0', '']","['66', '']","['20,226', '']","['0', '']","['5', '']","['0', '']","['1,316', '']","['7', '']","['3,016', '']","['12,406', '']"
7996,r010,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,9,"['34,370', '']","['0', '']","['944', '']","['31,655', '']","['0', '']","['531', '']","['0', '']","['356', '']","['0', '']","['884', '']","['0', '']"
7996,r011,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,10,"['33,840', '']","['263', '']","['0', '']","['24,230', '']","['0', '']","['0', '']","['98', '']","['1,745', '']","['0', '']","['7,279', '']","['225', '']"
