table_id,row_id,_b_time_to_degree_and_demographic_characteristic_b_full_path,_b_time_to_degree_and_demographic_characteristic_b_level_1,_b_time_to_degree_and_demographic_characteristic_b_level_2,_b_time_to_degree_and_demographic_characteristic_b_level_3,_b_time_to_degree_and_demographic_characteristic_b_level_4,_b_time_to_degree_and_demographic_characteristic_b_level_5,_b_time_to_degree_and_demographic_characteristic_b_hierarchy_depth,field_all_fields_number,field_all_fields_median,field_non_science_and_engineering_total_number,field_non_science_and_engineering_total_median,field_business_number,field_business_median,field_education_number,field_education_median,field_humanities_number,field_humanities_median,field_visual_and_performing_arts_number,field_visual_and_performing_arts_median,field_other_non_science_and_engineering_number,field_other_non_science_and_engineering_median
11676,r001,Years since bachelor's degree,Years since bachelor's degree,,,,,1,,,,,,,,,,,,,,
11676,r002,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,,,,2,54429,8.6,11068,12.3,1398,10.5,3718,15.4,3130,11.4,765,11.3,2057,11.4
11676,r003,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Sex,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Sex,,,3,,,,,,,,,,,,,,
11676,r004,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Sex -> Male,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Sex,Male,,4,28564,8.3,4505,12.0,765,10.3,1009,15.0,1596,11.6,327,10.3,808,11.4
11676,r005,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Sex -> Female,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Sex,Female,,4,25858,9.0,6563,12.8,633,10.9,2709,15.6,1534,11.3,438,12.0,1249,11.3
11676,r006,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Citizenship status,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Citizenship status,,,3,,,,,,,,,,,,,,
11676,r007,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Citizenship status -> U.S. citizen or permanent resident,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Citizenship status,U.S. citizen or permanent resident,,4,34922,8.8,8371,13.0,647,12.3,3219,16.2,2476,11.4,569,11.4,1460,12.0
11676,r008,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Citizenship status -> Temporary visa holder,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Citizenship status,Temporary visa holder,,4,18754,8.3,2490,10.8,720,9.7,443,11.8,594,11.3,178,11.1,555,10.5
11676,r009,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents),Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),,,3,,,,,,,,,,,,,,
11676,r010,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,4,3370,8.6,818,12.7,38,14.4,345,14.4,246,11.4,49,11.3,140,12.0
11676,r011,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,4,,,,,,,,,,,,,,
