table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10160,r001,Alabama,Alabama,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r002,Alabama -> Public,Alabama,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r003,Alabama -> Public -> Alabama A&M U.,Alabama,Public,Alabama A&M U.,3,"['30,497', '']","['30,238', 'i']","['29,979', 'i']","['29,720', 'i']","['29,461', 'i']","['29,202', '']","['25,112', 'i']","['21,022', 'i']","['16,932', 'i']","['12,840', '']","['8,749', '']","['9,180', 'i']","['9,611', '']"
10160,r004,Alabama -> Public -> Alabama State U.,Alabama,Public,Alabama State U.,3,"['13,340', '']","['12,340', '']","['13,607', '']","['1,927', '']","['2,236', '']","['2,303', '']","['2,372', '']","['2,253', '']","['2,434', '']","['2,577', '']","['2,582', '']","['2,631', '']","['3,178', '']"
10160,r005,"Alabama -> Public -> Auburn U., Auburn",Alabama,Public,"Auburn U., Auburn",3,"['145,115', '']","['163,335', '']","['133,013', '']","['147,229', '']","['142,487', '']","['135,899', '']","['152,381', '']","['190,340', '']","['212,925', '']","['231,619', '']","['255,281', '']","['266,374', '']","['304,439', '']"
10160,r006,Alabama -> Public -> Troy U.,Alabama,Public,Troy U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['1,692', '']","['1,548', '']","['2,517', '']"
10160,r007,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['489,845', '']","['503,698', '']","['453,779', '']","['440,796', '']","['428,563', '']","['516,229', '']","['537,825', '']","['561,851', '']","['588,207', '']","['607,863', '']","['618,226', '']","['644,330', '']","['713,480', '']"
10160,r008,"Alabama -> Public -> U. Alabama, Huntsville",Alabama,Public,"U. Alabama, Huntsville",3,"['75,683', '']","['75,724', '']","['87,388', '']","['101,016', '']","['89,325', '']","['88,439', '']","['96,865', '']","['94,376', '']","['99,405', '']","['109,744', '']","['131,648', '']","['149,792', '']","['169,532', '']"
10160,r009,"Alabama -> Public -> U. Alabama, Tuscaloosa",Alabama,Public,"U. Alabama, Tuscaloosa",3,"['40,762', '']","['53,633', '']","['55,885', '']","['55,443', '']","['53,140', '']","['58,234', '']","['62,549', '']","['63,282', '']","['71,992', '']","['83,317', '']","['95,200', '']","['129,509', '']","['163,204', '']"
10160,r010,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['35,500', '']","['42,233', '']","['40,172', '']","['40,590', '']","['41,681', '']","['43,722', '']","['46,670', '']","['41,431', '']","['41,056', '']","['52,540', '']","['51,102', '']","['47,610', '']","['43,491', '']"
10160,r011,Alabama -> Private,Alabama,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r012,Alabama -> Private -> Tuskegee U.,Alabama,Private,Tuskegee U.,3,"['15,581', '']","['15,685', '']","['15,991', '']","['21,150', '']","['24,945', '']","['20,740', 'i']","['16,535', '']","['16,535', '']","['16,535', '']","['20,562', '']","['20,973', '']","['21,355', '']","['21,941', '']"
10160,r013,Alaska,Alaska,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r014,Alaska -> Public,Alaska,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r015,"Alaska -> Public -> U. Alaska, Anchorage",Alaska,Public,"U. Alaska, Anchorage",3,"['16,709', '']","['18,620', '']","['20,194', '']","['20,255', '']","['17,150', '']","['17,436', '']","['19,883', '']","['20,861', '']","['21,096', '']","['21,724', '']","['22,713', '']","['21,332', '']","['21,024', '']"
10160,r016,"Alaska -> Public -> U. Alaska, Fairbanks",Alaska,Public,"U. Alaska, Fairbanks",3,"['161,986', '']","['165,530', '']","['160,407', '']","['162,658', '']","['155,769', '']","['142,742', '']","['144,259', '']","['152,694', '']","['140,917', '']","['144,457', '']","['152,299', '']","['172,957', '']","['202,516', '']"
10160,r017,"Alaska -> Public -> U. Alaska, Southeast",Alaska,Public,"U. Alaska, Southeast",3,"['1,759', '']","['1,274', '']","['1,382', '']","['1,559', '']","['1,512', '']","['1,588', '']","['1,808', '']","['1,621', '']","['1,641', '']","['1,341', '']","['1,264', '']","['1,176', '']","['1,570', '']"
10160,r018,Alaska -> Private,Alaska,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r019,Alaska -> Private -> Alaska Pacific U.,Alaska,Private,Alaska Pacific U.,3,"['434', '']","['518', '']","['ne', '']","['ne', '']","['ne', '']","['1,246', '']","['1,358', '']","['1,248', '']","['1,544', '']","['1,774', '']","['1,261', '']","['1,036', '']","['1,607', '']"
10160,r020,Arizona,Arizona,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r021,Arizona -> Public,Arizona,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r022,Arizona -> Public -> Arizona State U.,Arizona,Public,Arizona State U.,3,"['329,345', '']","['355,215', '']","['385,959', '']","['405,154', '']","['426,651', '']","['458,412', '']","['518,239', '']","['545,016', '']","['617,717', '']","['639,637', '']","['673,357', '']","['677,303', '']","['797,224', '']"
10160,r023,Arizona -> Public -> Dine C.,Arizona,Public,Dine C.,3,"['ne', '']","['959', 'i']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['1,238', '']","['1,126', '']","['347', '']","['ne', '']","['2,091', '']"
10160,r024,Arizona -> Public -> Northern Arizona U.,Arizona,Public,Northern Arizona U.,3,"['28,803', '']","['30,785', '']","['28,100', '']","['30,516', '']","['31,590', '']","['35,206', '']","['39,580', '']","['46,253', '']","['52,899', '']","['58,914', '']","['64,456', '']","['69,129', '']","['66,729', '']"
10160,r025,Arizona -> Public -> U. Arizona,Arizona,Public,U. Arizona,3,"['586,647', '']","['610,565', '']","['625,365', '']","['629,466', '']","['588,088', '']","['606,219', '']","['604,464', '']","['622,200', '']","['687,066', '']","['734,270', '']","['760,975', '']","['770,031', '']","['824,340', '']"
10160,r026,Arizona -> Private,Arizona,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r027,Arizona -> Private -> Sonoran U. Health Sciences,Arizona,Private,Sonoran U. Health Sciences,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['230', '']","['ne', '']","['ne', '']","['520', '']"
10160,r028,Arkansas,Arkansas,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r029,Arkansas -> Public,Arkansas,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r030,"Arkansas -> Public -> Arkansas State U., Jonesboro",Arkansas,Public,"Arkansas State U., Jonesboro",3,"['11,115', '']","['13,435', '']","['14,250', '']","['10,463', '']","['8,099', '']","['8,453', '']","['8,169', '']","['7,952', '']","['8,245', '']","['8,945', '']","['8,640', '']","['8,422', '']","['8,214', '']"
10160,r031,Arkansas -> Public -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas for Medical Sciences,3,"['119,518', '']","['122,066', '']","['129,056', '']","['133,677', '']","['131,438', '']","['132,451', '']","['125,378', '']","['128,508', '']","['139,187', '']","['153,135', '']","['174,549', '']","['194,709', '']","['205,493', '']"
10160,r032,"Arkansas -> Public -> U. Arkansas, Fayetteville",Arkansas,Public,"U. Arkansas, Fayetteville",3,"['113,909', '']","['120,007', '']","['123,199', '']","['125,501', '']","['125,824', '']","['133,660', '']","['145,020', '']","['157,791', '']","['175,498', '']","['180,225', '']","['165,887', '']","['164,443', '']","['184,080', '']"
10160,r033,"Arkansas -> Public -> U. Arkansas, Little Rock",Arkansas,Public,"U. Arkansas, Little Rock",3,"['11,007', '']","['12,039', '']","['10,500', '']","['13,107', '']","['8,068', '']","['7,003', '']","['7,604', '']","['6,833', '']","['8,167', '']","['9,975', '']","['9,711', '']","['7,397', '']","['7,530', '']"
10160,r034,"Arkansas -> Public -> U. Arkansas, Pine Bluff",Arkansas,Public,"U. Arkansas, Pine Bluff",3,"['8,343', '']","['9,415', '']","['9,082', '']","['8,911', '']","['8,198', '']","['8,425', '']","['8,873', '']","['8,136', '']","['8,349', '']","['9,024', '']","['8,540', '']","['8,713', '']","['7,506', '']"
10160,r035,Arkansas -> Public -> U. Central Arkansas,Arkansas,Public,U. Central Arkansas,3,"['2,670', '']","['2,821', '']","['3,277', '']","['2,913', '']","['4,064', '']","['3,502', '']","['3,453', '']","['3,313', '']","['3,620', '']","['3,477', '']","['3,455', '']","['3,990', '']","['3,684', '']"
10160,r036,California,California,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r037,California -> Public,California,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r038,"California -> Public -> California Polytechnic State U., San Luis Obispo",California,Public,"California Polytechnic State U., San Luis Obispo",3,"['19,732', '']","['16,532', '']","['17,412', '']","['16,067', '']","['15,096', '']","['16,312', '']","['18,081', '']","['17,979', '']","['16,352', '']","['25,249', '']","['26,605', '']","['25,953', '']","['33,155', '']"
10160,r039,"California -> Public -> California State Polytechnic U., Humboldt",California,Public,"California State Polytechnic U., Humboldt",3,"['9,845', '']","['9,570', '']","['9,510', '']","['8,025', '']","['8,306', '']","['11,218', '']","['16,143', '']","['15,969', '']","['15,044', '']","['15,076', '']","['14,236', '']","['14,103', '']","['15,612', '']"
