table_id,row_id,demographic_characteristic_full_path,demographic_characteristic_level_1,demographic_characteristic_level_2,demographic_characteristic_level_3,demographic_characteristic_level_4,demographic_characteristic_hierarchy_depth,field_all_recipientsa_number_,field_all_disability_respondents_number,field_all_disability_respondents_percent,field_with_disability_number,field_with_disability_percent,field_visual_disabilities_number,field_visual_disabilities_percent,field_hearing_disabilities_number,field_hearing_disabilities_percent,field_walking_disabilities_number,field_walking_disabilities_percent,field_lifting_disabilities_number,field_lifting_disabilities_percent,field_cognitive_disabilitiesb_number,field_cognitive_disabilitiesb_percent,field_without_disability_number,field_without_disability_percent
3280,r001,Field of study,Field of study,,,,1,,,,,,,,,,,,,,,,,
3280,r002,Field of study -> S&E<sup>c</sup>,Field of study,S&E<sup>c</sup>,,,2,42980,38339,100.0,3292,8.59,1300,3.39,494,1.29,184,0.48,288,0.75,1686,4.4,35047,91.41
3280,r003,Field of study -> S&E<sup>c</sup> -> Science<sup>d</sup>,Field of study,S&E<sup>c</sup>,Science<sup>d</sup>,,3,32677,29199,100.0,2640,9.04,932,3.19,397,1.36,149,0.51,239,0.82,1453,4.98,26559,90.96
3280,r004,Field of study -> S&E<sup>c</sup> -> Science<sup>d</sup> -> Agricultural sciences and natural resources,Field of study,S&E<sup>c</sup>,Science<sup>d</sup>,Agricultural sciences and natural resources,4,1491,1338,100.0,125,9.34,58,4.33,16,1.2,12,0.9,18,1.35,58,4.33,1213,90.66
3280,r005,Field of study -> S&E<sup>c</sup> -> Science<sup>d</sup> -> Biological and biomedical sciences,Field of study,S&E<sup>c</sup>,Science<sup>d</sup>,Biological and biomedical sciences,4,8702,8063,100.0,717,8.89,205,2.54,122,1.51,30,0.37,61,0.76,427,5.3,7346,91.11
3280,r006,Field of study -> S&E<sup>c</sup> -> Science<sup>d</sup> -> Computer and information sciences,Field of study,S&E<sup>c</sup>,Science<sup>d</sup>,Computer and information sciences,4,2228,1970,100.0,121,6.14,67,3.4,20,1.02,10,0.51,16,0.81,42,2.13,1849,93.86
3280,r007,"Field of study -> S&E<sup>c</sup> -> Science<sup>d</sup> -> Geosciences, atmospheric sciences, and ocean sciences",Field of study,S&E<sup>c</sup>,Science<sup>d</sup>,"Geosciences, atmospheric sciences, and ocean sciences",4,1274,1168,100.0,105,8.99,38,3.25,9,0.77,5,0.43,11,0.94,62,5.31,1063,91.01
3280,r008,Field of study -> S&E<sup>c</sup> -> Science<sup>d</sup> -> Health sciences<sup>e</sup>,Field of study,S&E<sup>c</sup>,Science<sup>d</sup>,Health sciences<sup>e</sup>,4,2588,2253,100.0,188,8.34,82,3.64,29,1.29,13,0.58,24,1.07,78,3.46,2065,91.66
3280,r009,Field of study -> S&E<sup>c</sup> -> Science<sup>d</sup> -> Mathematics and statistics,Field of study,S&E<sup>c</sup>,Science<sup>d</sup>,Mathematics and statistics,4,2012,1793,100.0,169,9.43,78,4.35,28,1.56,8,0.45,9,0.5,79,4.41,1624,90.57
3280,r010,Field of study -> S&E<sup>c</sup> -> Science<sup>d</sup> -> Physical sciences and earth sciences,Field of study,S&E<sup>c</sup>,Science<sup>d</sup>,Physical sciences and earth sciences,4,6585,5962,100.0,512,8.59,189,3.17,67,1.12,23,0.39,38,0.64,287,4.81,5450,91.41
