table_id,row_id,race_and_ethnicity_full_path,race_and_ethnicity_level_1,race_and_ethnicity_level_2,race_and_ethnicity_level_3,race_and_ethnicity_hierarchy_depth,field_number,field_percent
5185,r001,U.S. citizens and permanent residents,U.S. citizens and permanent residents,,,1,24493,100.0
5185,r002,U.S. citizens and permanent residents -> Hispanic or Latino<sup>a</sup>,U.S. citizens and permanent residents,Hispanic or Latino<sup>a</sup>,,2,2000,8.2
5185,r003,U.S. citizens and permanent residents -> Not Hispanic or Latino,U.S. citizens and permanent residents,Not Hispanic or Latino,,2,22493,91.8
5185,r004,U.S. citizens and permanent residents -> Not Hispanic or Latino -> American Indian or Alaska Native,U.S. citizens and permanent residents,Not Hispanic or Latino,American Indian or Alaska Native,3,54,0.2
5185,r005,U.S. citizens and permanent residents -> Not Hispanic or Latino -> Asian,U.S. citizens and permanent residents,Not Hispanic or Latino,Asian,3,2645,10.8
5185,r006,U.S. citizens and permanent residents -> Not Hispanic or Latino -> Black or African American,U.S. citizens and permanent residents,Not Hispanic or Latino,Black or African American,3,1406,5.7
5185,r007,U.S. citizens and permanent residents -> Not Hispanic or Latino -> White,U.S. citizens and permanent residents,Not Hispanic or Latino,White,3,17430,71.2
5185,r008,U.S. citizens and permanent residents -> Not Hispanic or Latino -> More than one race,U.S. citizens and permanent residents,Not Hispanic or Latino,More than one race,3,892,3.6
5185,r009,U.S. citizens and permanent residents -> Not Hispanic or Latino -> Other race or race not reported,U.S. citizens and permanent residents,Not Hispanic or Latino,Other race or race not reported,3,243,1.0
5185,r010,U.S. citizens and permanent residents -> Not Hispanic or Latino -> Ethnicity not reported,U.S. citizens and permanent residents,Not Hispanic or Latino,Ethnicity not reported,3,273,1.1
