table_id,row_id,time_period,sdr_field_of_study_aggregations_aligned_with_tod_level_1,sdr_field_of_study_aggregations_aligned_with_tod_level_2,sdr_field_of_study_aggregations_aligned_with_tod_level_3,sdr_field_of_study_aggregations_aligned_with_tod_hierarchy_depth,value
3658,r001_1,Science,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Code,3,1
3658,r001_2,Science,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Label,3,"Biological, agricultural, and environmental life sciences"
3658,r001_3,Science,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,11
3658,r001_4,Science,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Agricultural and food sciences
3658,r001_5,Science,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1101
3658,r001_6,Science,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Agricultural sciences 
3658,r001_7,Science,SED field of study information,Fine field (PHDFIELD)a,Code,3,98
3658,r001_8,Science,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Agriculture, general"
3658,r001_9,Science,SED field of study information,Start year,,2,1958
3658,r001_10,Science,SED field of study information,End year,,2,Present
3658,r002_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,99
3658,r002_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Agricultural science, other"
3658,r002_9,,SED field of study information,Start year,,2,1958
3658,r002_10,,SED field of study information,End year,,2,Present
3658,r003_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1102
3658,r003_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Animal sciences
3658,r003_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,5
3658,r003_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Agricultural animal breeding
3658,r003_9,,SED field of study information,Start year,,2,1983
3658,r003_10,,SED field of study information,End year,,2,2013
3658,r004_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,7
3658,r004_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Animal husbandry
3658,r004_9,,SED field of study information,Start year,,2,1958
3658,r004_10,,SED field of study information,End year,,2,1982
3658,r005_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,10
3658,r005_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Animal nutrition
3658,r005_9,,SED field of study information,Start year,,2,1969
3658,r005_10,,SED field of study information,End year,,2,Present
3658,r006_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,12
3658,r006_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Dairy science
3658,r006_9,,SED field of study information,Start year,,2,1988
3658,r006_10,,SED field of study information,End year,,2,2003
3658,r007_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,14
3658,r007_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Animal science, poultry (or avian)"
3658,r007_9,,SED field of study information,Start year,,2,1988
3658,r007_10,,SED field of study information,End year,,2,Present
3658,r008_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,19
3658,r008_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Animal science, other"
3658,r008_9,,SED field of study information,Start year,,2,1983
3658,r008_10,,SED field of study information,End year,,2,Present
3658,r009_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1103
3658,r009_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Food sciences and technology
3658,r009_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,40
3658,r009_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Food sciences
3658,r009_9,,SED field of study information,Start year,,2,1969
3658,r009_10,,SED field of study information,End year,,2,1989
3658,r010_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,43
3658,r010_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Food science
3658,r010_9,,SED field of study information,Start year,,2,1988
3658,r010_10,,SED field of study information,End year,,2,Present
3658,r011_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,44
3658,r011_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Food science and technology, other"
3658,r011_9,,SED field of study information,Start year,,2,1988
3658,r011_10,,SED field of study information,End year,,2,Present
3658,r012_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1104
3658,r012_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Plant sciences
3658,r012_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,20
3658,r012_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Agronomy and crop science
3658,r012_9,,SED field of study information,Start year,,2,1958
3658,r012_10,,SED field of study information,End year,,2,Present
3658,r013_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,25
3658,r013_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Agricultural and horticultural plant breeding/ genetics
3658,r013_9,,SED field of study information,Start year,,2,1983
3658,r013_10,,SED field of study information,End year,,2,Present
3658,r014_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,32
3658,r014_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Plant protection/ pest management
3658,r014_9,,SED field of study information,Start year,,2,1988
3658,r014_10,,SED field of study information,End year,,2,1991
3658,r015_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,39
3658,r015_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Plant sciences, other"
3658,r015_9,,SED field of study information,Start year,,2,1983
3658,r015_10,,SED field of study information,End year,,2,Present
3658,r016_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,50
3658,r016_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Horticulture science
3658,r016_9,,SED field of study information,Start year,,2,1958
3658,r016_10,,SED field of study information,End year,,2,Present
3658,r017_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1105
3658,r017_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Soil sciences
3658,r017_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,45
3658,r017_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Soil sciences
3658,r017_9,,SED field of study information,Start year,,2,1968
3658,r017_10,,SED field of study information,End year,,2,1988
3658,r018_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,46
3658,r018_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Soil chemistry/ microbiology
3658,r018_9,,SED field of study information,Start year,,2,1988
3658,r018_10,,SED field of study information,End year,,2,Present
3658,r019_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,49
3658,r019_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Soil sciences, other"
3658,r019_9,,SED field of study information,Start year,,2,1988
