table_id,row_id,time_period,longer_term_trends_level_1,longer_term_trends_level_2,longer_term_trends_hierarchy_depth,value
6756,r001,"Total R&D, all performers",Longer-term trends,1990–2000,2,5.8
6756,r002,"Total R&D, all performers",Longer-term trends,2000–10,2,4.3
6756,r003,"Total R&D, all performers",Longer-term trends,2010–19,2,5.7
6756,r004,"Total R&D, all performers",Most recent years,2010–11,2,4.8
6756,r005,"Total R&D, all performers",Most recent years,2011–12,2,1.8
6756,r006,"Total R&D, all performers",Most recent years,2012–13,2,4.7
6756,r007,"Total R&D, all performers",Most recent years,2013–14,2,4.8
6756,r008,"Total R&D, all performers",Most recent years,2014–15,2,3.9
6756,r009,"Total R&D, all performers",Most recent years,2015–16,2,5.5
6756,r010,"Total R&D, all performers",Most recent years,2016–17,2,6.2
6756,r011,"Total R&D, all performers",Most recent years,2017–18,2,9.2
6756,r012,"Total R&D, all performers",Most recent years,2018–19,2,10.3
6756,r013,"Total R&D, all performers",Most recent years,2019–20a,2,6.2
6756,r014,"Total R&D, all performers -> Business",Longer-term trends,1990–2000,2,6.4
6756,r015,"Total R&D, all performers -> Business",Longer-term trends,2000–10,2,3.4
6756,r016,"Total R&D, all performers -> Business",Longer-term trends,2010–19,2,6.7
6756,r017,"Total R&D, all performers -> Business",Most recent years,2010–11,2,5.4
6756,r018,"Total R&D, all performers -> Business",Most recent years,2011–12,2,2.8
6756,r019,"Total R&D, all performers -> Business",Most recent years,2012–13,2,6.7
6756,r020,"Total R&D, all performers -> Business",Most recent years,2013–14,2,5.6
6756,r021,"Total R&D, all performers -> Business",Most recent years,2014–15,2,4.4
6756,r022,"Total R&D, all performers -> Business",Most recent years,2015–16,2,6.7
6756,r023,"Total R&D, all performers -> Business",Most recent years,2016–17,2,6.9
6756,r024,"Total R&D, all performers -> Business",Most recent years,2017–18,2,9.8
6756,r025,"Total R&D, all performers -> Business",Most recent years,2018–19,2,11.8
6756,r026,"Total R&D, all performers -> Business",Most recent years,2019–20a,2,6.8
6756,r027,"Total R&D, all performers -> Federal government",Longer-term trends,1990–2000,2,1.9
6756,r028,"Total R&D, all performers -> Federal government",Longer-term trends,2000–10,2,5.9
6756,r029,"Total R&D, all performers -> Federal government",Longer-term trends,2010–19,2,2.4
6756,r030,"Total R&D, all performers -> Federal government",Most recent years,2010–11,2,5.4
6756,r031,"Total R&D, all performers -> Federal government",Most recent years,2011–12,2,-2.6
6756,r032,"Total R&D, all performers -> Federal government",Most recent years,2012–13,2,-2.0
6756,r033,"Total R&D, all performers -> Federal government",Most recent years,2013–14,2,3.1
6756,r034,"Total R&D, all performers -> Federal government",Most recent years,2014–15,2,0.3
6756,r035,"Total R&D, all performers -> Federal government",Most recent years,2015–16,2,-3.1
