table_id,row_id,state_or_territory_control_and_institution_full_path,state_or_territory_control_and_institution_level_1,state_or_territory_control_and_institution_level_2,state_or_territory_control_and_institution_level_3,state_or_territory_control_and_institution_hierarchy_depth,field_all_fields,field_agricultural_sciences,field_biological_and_biomedical_sciences,field_computer_and_information_sciences,field_engineering,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_health_sciences,field_mathematics_and_statistics,field_natural_resources_and_conservation,field_physical_sciences,field_psychology,field_social_sciences,field_other
3037,r001,Alabama,Alabama,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3037,r002,Alabama -> Public,Alabama,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3037,r003,Alabama -> Public -> Alabama A&M U.,Alabama,Public,Alabama A&M U.,3,"['382', '']","['382', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3037,r004,Alabama -> Public -> Alabama State U.,Alabama,Public,Alabama State U.,3,"['4,800', '']","['0', '']","['300', '']","['0', '']","['0', '']","['0', '']","['1,500', '']","['0', '']","['0', '']","['0', '']","['0', '']","['3,000', '']","['0', '']"
3037,r005,"Alabama -> Public -> Auburn U., Auburn",Alabama,Public,"Auburn U., Auburn",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3037,r006,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3037,r007,"Alabama -> Public -> U. Alabama, Huntsville",Alabama,Public,"U. Alabama, Huntsville",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3037,r008,"Alabama -> Public -> U. Alabama, Tuscaloosa",Alabama,Public,"U. Alabama, Tuscaloosa",3,"['13,952', '']","['0', '']","['2,626', '']","['0', '']","['4,797', '']","['3,936', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['2,592', '']","['0', '']"
3037,r009,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['2,411', '']","['0', '']","['1,988', '']","['0', '']","['0', '']","['423', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3037,r010,Alabama -> Private,Alabama,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3037,r011,Alabama -> Private -> Tuskegee U.,Alabama,Private,Tuskegee U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3037,r012,Alaska,Alaska,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3037,r013,Alaska -> Public,Alaska,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3037,r014,"Alaska -> Public -> U. Alaska, Anchorage",Alaska,Public,"U. Alaska, Anchorage",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3037,r015,"Alaska -> Public -> U. Alaska, Fairbanks",Alaska,Public,"U. Alaska, Fairbanks",3,"['6,487', '']","['0', '']","['1,503', '']","['0', '']","['564', '']","['1,660', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['950', '']","['1,810', '']"
3037,r016,"Alaska -> Public -> U. Alaska, Southeast",Alaska,Public,"U. Alaska, Southeast",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3037,r017,Alaska -> Private,Alaska,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3037,r018,Alaska -> Private -> Alaska Pacific U.,Alaska,Private,Alaska Pacific U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3037,r019,Arizona,Arizona,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3037,r020,Arizona -> Public,Arizona,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3037,r021,Arizona -> Public -> Arizona State U.,Arizona,Public,Arizona State U.,3,"['33,748', '']","['0', '']","['4,497', '']","['0', '']","['8,083', '']","['4,602', '']","['0', '']","['740', '']","['0', '']","['10,248', '']","['0', '']","['2,325', '']","['3,253', '']"
3037,r022,Arizona -> Public -> Northern Arizona U.,Arizona,Public,Northern Arizona U.,3,"['498', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['498', '']","['0', '']"
3037,r023,Arizona -> Public -> U. Arizona,Arizona,Public,U. Arizona,3,"['24,320', '']","['316', '']","['2,108', '']","['0', '']","['0', '']","['0', '']","['21,897', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3037,r024,Arkansas,Arkansas,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3037,r025,Arkansas -> Public,Arkansas,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3037,r026,"Arkansas -> Public -> Arkansas State U., Jonesboro",Arkansas,Public,"Arkansas State U., Jonesboro",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3037,r027,Arkansas -> Public -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas for Medical Sciences,3,"['3,511', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['3,511', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3037,r028,"Arkansas -> Public -> U. Arkansas, Fayetteville",Arkansas,Public,"U. Arkansas, Fayetteville",3,"['1,805', '']","['863', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['350', '']","['0', '']","['0', '']","['592', '']"
3037,r029,"Arkansas -> Public -> U. Arkansas, Little Rock",Arkansas,Public,"U. Arkansas, Little Rock",3,"['2,600', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['2,600', '']","['0', '']","['0', '']","['0', '']"
3037,r030,"Arkansas -> Public -> U. Arkansas, Pine Bluff",Arkansas,Public,"U. Arkansas, Pine Bluff",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3037,r031,Arkansas -> Public -> U. Central Arkansas,Arkansas,Public,U. Central Arkansas,3,"['530', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['530', '']","['0', '']","['0', '']","['0', '']"
3037,r032,California,California,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
