table_id,row_id,sex_ethnicity_race_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,sex_ethnicity_race_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,sex_ethnicity_race_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,sex_ethnicity_race_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,sex_ethnicity_race_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_all_educational_institutions,field_preschool_elementary_middle_or_secondary_school_or_system,field_two_year_college_community_college_or_technical_institute,field_four_year_college_or_university_other_than_a_medical_school,field_medical_school,field_university_affiliated_research_institute,field_other
1283,r001,Total,Total,,,1,4954000,2501000,242000,1240000,569000,360000,42000
1283,r002,Total -> Female,Total,Female,,2,3067000,1746000,146000,649000,334000,183000,9000
1283,r003,Total -> Male,Total,Male,,2,1886000,755000,96000,591000,235000,176000,33000
1283,r004,Total -> Hispanic or Latino<sup>a</sup>,Total,Hispanic or Latino<sup>a</sup>,,2,429000,265000,12000,65000,46000,36000,S
1283,r005,Total -> Not Hispanic or Latino,Total,Not Hispanic or Latino,,2,,,,,,,
1283,r006,Total -> Not Hispanic or Latino -> American Indian or Alaska Native,Total,Not Hispanic or Latino,American Indian or Alaska Native,3,18000,3000,S,S,,,
1283,r007,Total -> Not Hispanic or Latino -> Asian,Total,Not Hispanic or Latino,Asian,3,521000,131000,18000,192000,87000,92000,S
1283,r008,Total -> Not Hispanic or Latino -> Black or African American,Total,Not Hispanic or Latino,Black or African American,3,386000,239000,22000,75000,29000,21000,S
1283,r009,Total -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Total,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,3,14000,2000,,S,S,S,
1283,r010,Total -> Not Hispanic or Latino -> White,Total,Not Hispanic or Latino,White,3,3495000,1813000,184000,872000,389000,201000,34000
1283,r011,Total -> Not Hispanic or Latino -> More than one race,Total,Not Hispanic or Latino,More than one race,3,91000,48000,3000,24000,9000,6000,
1283,r012,Total -> Without disability,Total,Without disability,,2,4436000,2225000,213000,1106000,527000,328000,38000
1283,r013,Total -> With disability,Total,With disability,,2,518000,277000,30000,134000,42000,32000,4000
