table_id,row_id,time_period,type_of_nonprofit_organization_sup_b_a_b_sup_level_1,type_of_nonprofit_organization_sup_b_a_b_sup_level_2,type_of_nonprofit_organization_sup_b_a_b_sup_level_3,type_of_nonprofit_organization_sup_b_a_b_sup_hierarchy_depth,value
12375,r001_1,Organization employees working on R&D,Type of nonprofit organizationa,FY 2020,All organizations ,3,"['200,719', '  ']"
12375,r001_2,Organization employees working on R&D,Type of nonprofit organizationa,FY 2020,Healthcare,3,"['124,011', '  ']"
12375,r001_3,Organization employees working on R&D,Type of nonprofit organizationa,FY 2020,Science and technology,3,"['57,131', '  ']"
12375,r001_4,Organization employees working on R&D,Type of nonprofit organizationa,FY 2020,Other nonprofit organizations ,3,"['19,577', '  ']"
12375,r001_5,Organization employees working on R&D,Type of nonprofit organizationa,FY 2021,All organizations ,3,"['186,198', '  ']"
12375,r001_6,Organization employees working on R&D,Type of nonprofit organizationa,FY 2021,Healthcare,3,"['113,743', '  ']"
12375,r001_7,Organization employees working on R&D,Type of nonprofit organizationa,FY 2021,Science and technology,3,"['54,983', '  ']"
12375,r001_8,Organization employees working on R&D,Type of nonprofit organizationa,FY 2021,Other nonprofit organizations ,3,"['17,473', '  ']"
12375,r001_9,Organization employees working on R&D,Type of nonprofit organizationa,FY 2022,All organizations ,3,"['198,389', '  ']"
12375,r001_10,Organization employees working on R&D,Type of nonprofit organizationa,FY 2022,Healthcare,3,"['128,134', 'i ']"
12375,r001_11,Organization employees working on R&D,Type of nonprofit organizationa,FY 2022,Science and technology,3,"['57,235', '  ']"
12375,r001_12,Organization employees working on R&D,Type of nonprofit organizationa,FY 2022,Other nonprofit organizations ,3,"['13,020', '  ']"
12375,r002_1,Contract employees working on R&D,Type of nonprofit organizationa,FY 2020,All organizations ,3,"['11,437', '  ']"
12375,r002_2,Contract employees working on R&D,Type of nonprofit organizationa,FY 2020,Healthcare,3,"['3,548', '  ']"
12375,r002_3,Contract employees working on R&D,Type of nonprofit organizationa,FY 2020,Science and technology,3,"['2,892', '  ']"
12375,r002_4,Contract employees working on R&D,Type of nonprofit organizationa,FY 2020,Other nonprofit organizations ,3,"['4,998', 'r']"
12375,r002_5,Contract employees working on R&D,Type of nonprofit organizationa,FY 2021,All organizations ,3,"['11,539', '  ']"
12375,r002_6,Contract employees working on R&D,Type of nonprofit organizationa,FY 2021,Healthcare,3,"['3,100', '  ']"
12375,r002_7,Contract employees working on R&D,Type of nonprofit organizationa,FY 2021,Science and technology,3,"['4,649', '  ']"
12375,r002_8,Contract employees working on R&D,Type of nonprofit organizationa,FY 2021,Other nonprofit organizations ,3,"['3,791', '  ']"
12375,r002_9,Contract employees working on R&D,Type of nonprofit organizationa,FY 2022,All organizations ,3,"['13,155', '  ']"
12375,r002_10,Contract employees working on R&D,Type of nonprofit organizationa,FY 2022,Healthcare,3,"['6,242', '  ']"
12375,r002_11,Contract employees working on R&D,Type of nonprofit organizationa,FY 2022,Science and technology,3,"['3,762', '  ']"
12375,r002_12,Contract employees working on R&D,Type of nonprofit organizationa,FY 2022,Other nonprofit organizations ,3,"['3,152', '  ']"
12375,r003_1,Volunteers working on R&D,Type of nonprofit organizationa,FY 2020,All organizations ,3,"['16,190', '  ']"
12375,r003_2,Volunteers working on R&D,Type of nonprofit organizationa,FY 2020,Healthcare,3,"['1,513', '  ']"
12375,r003_3,Volunteers working on R&D,Type of nonprofit organizationa,FY 2020,Science and technology,3,"['10,866', '  ']"
12375,r003_4,Volunteers working on R&D,Type of nonprofit organizationa,FY 2020,Other nonprofit organizations ,3,"['3,811', '  ']"
12375,r003_5,Volunteers working on R&D,Type of nonprofit organizationa,FY 2021,All organizations ,3,"['20,832', '  ']"
12375,r003_6,Volunteers working on R&D,Type of nonprofit organizationa,FY 2021,Healthcare,3,"['1,459', '  ']"
12375,r003_7,Volunteers working on R&D,Type of nonprofit organizationa,FY 2021,Science and technology,3,"['10,031', '  ']"
12375,r003_8,Volunteers working on R&D,Type of nonprofit organizationa,FY 2021,Other nonprofit organizations ,3,"['9,341', '  ']"
12375,r003_9,Volunteers working on R&D,Type of nonprofit organizationa,FY 2022,All organizations ,3,"['37,538', '  ']"
12375,r003_10,Volunteers working on R&D,Type of nonprofit organizationa,FY 2022,Healthcare,3,"['1,958', '  ']"
12375,r003_11,Volunteers working on R&D,Type of nonprofit organizationa,FY 2022,Science and technology,3,"['10,626', '  ']"
12375,r003_12,Volunteers working on R&D,Type of nonprofit organizationa,FY 2022,Other nonprofit organizations ,3,"['24,954', '  ']"
