table_id,row_id,primary_work_activity_full_path,primary_work_activity_level_1,primary_work_activity_level_2,primary_work_activity_level_3,primary_work_activity_hierarchy_depth,field_all_employed_total_number,field_all_employed_total_se,field_all_employed_male_number,field_all_employed_male_se,field_all_employed_female_number,field_all_employed_female_se,field_hispanic_or_latinoa_total_number,field_hispanic_or_latinoa_total_se,field_hispanic_or_latinoa_male_number,field_hispanic_or_latinoa_male_se,field_hispanic_or_latinoa_female_number,field_hispanic_or_latinoa_female_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_total_number,field_not_hispanic_or_latinob_american_indian_or_alaska_native_total_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_male_number,field_not_hispanic_or_latinob_american_indian_or_alaska_native_male_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_female_number,field_not_hispanic_or_latinob_american_indian_or_alaska_native_female_se,field_not_hispanic_or_latinob_asian_total_number,field_not_hispanic_or_latinob_asian_total_se,field_not_hispanic_or_latinob_asian_male_number,field_not_hispanic_or_latinob_asian_male_se,field_not_hispanic_or_latinob_asian_female_number,field_not_hispanic_or_latinob_asian_female_se,field_not_hispanic_or_latinob_black_or_african_american_total_number,field_not_hispanic_or_latinob_black_or_african_american_total_se,field_not_hispanic_or_latinob_black_or_african_american_male_number,field_not_hispanic_or_latinob_black_or_african_american_male_se,field_not_hispanic_or_latinob_black_or_african_american_female_number,field_not_hispanic_or_latinob_black_or_african_american_female_se,field_not_hispanic_or_latinob_white_total_number,field_not_hispanic_or_latinob_white_total_se,field_not_hispanic_or_latinob_white_male_number,field_not_hispanic_or_latinob_white_male_se,field_not_hispanic_or_latinob_white_female_number,field_not_hispanic_or_latinob_white_female_se,field_not_hispanic_or_latinob_other_racec_total_number,field_not_hispanic_or_latinob_other_racec_total_se,field_not_hispanic_or_latinob_other_racec_male_number,field_not_hispanic_or_latinob_other_racec_male_se,field_not_hispanic_or_latinob_other_racec_female_number,field_not_hispanic_or_latinob_other_racec_female_se
3706,r001,Doctorate recipients,Doctorate recipients,,,1,857200,1975,546050,1750,311200,1200,37250,550,21200,450,16050,400,1300,125,750,100,550,75,213350,1325,146800,1250,66550,950,31100,400,15750,375,15350,375,562350,1750,355000,1800,207300,1175,11950,400,6550,325,5350,225
3706,r002,Doctorate recipients -> Any R&D,Doctorate recipients,Any R&D,,2,351000,1975,242850,1725,108100,1125,14200,400,8900,350,5300,225,400,75,250,75,150,50,112800,1225,79400,1075,33450,775,8850,300,5000,250,3850,225,210100,1650,146750,1375,63350,975,4600,275,2600,225,2000,150
3706,r003,Doctorate recipients -> Any R&D -> Applied research,Doctorate recipients,Any R&D,Applied research,3,168650,1775,110700,1425,57950,925,7250,300,4250,250,3000,200,200,50,100,50,100,50,46400,1075,31250,900,15150,575,5300,275,2700,200,2600,175,107300,1425,71300,1100,36000,675,2200,175,1050,125,1150,125
3706,r004,Doctorate recipients -> Any R&D -> Basic research,Doctorate recipients,Any R&D,Basic research,3,92700,1700,63300,1450,29400,675,3800,225,2350,200,1400,125,150,50,S,S,50,25,28550,950,19050,825,9500,450,1800,175,1100,175,650,100,57100,1100,39950,975,17100,550,1400,150,750,125,650,100
3706,r005,Doctorate recipients -> Any R&D -> Design,Doctorate recipients,Any R&D,Design,3,24050,975,19350,850,4700,375,900,125,700,125,200,50,50,25,50,25,,,9100,575,6950,525,2200,300,400,75,250,75,100,50,13350,650,11250,600,2150,200,200,75,150,50,50,25
3706,r006,Doctorate recipients -> Any R&D -> Development,Doctorate recipients,Any R&D,Development,3,65600,1400,49500,1275,16050,575,2250,150,1600,125,650,100,50,25,0.05,0.05,,,28750,950,22150,850,6600,400,1400,125,900,100,500,75,32350,975,24250,925,8100,400,800,150,600,150,200,50
3706,r007,Doctorate recipients -> Computer applications,Doctorate recipients,Computer applications,,2,44450,950,37650,875,6800,400,1100,125,950,125,150,50,,,,,,,21600,750,17600,700,4000,325,500,75,400,75,100,25,20850,625,18300,600,2550,225,400,100,350,100,50,25
3706,r008,"Doctorate recipients -> Management, sales, or administration<sup>d</sup>",Doctorate recipients,"Management, sales, or administration<sup>d</sup>",,2,165400,2025,104100,1625,61300,1075,6900,325,4150,250,2750,150,250,50,150,50,100,50,33650,875,22250,675,11350,525,7200,325,3200,250,4000,250,114850,1700,72850,1425,42000,925,2600,225,1500,200,1100,125
3706,r009,Doctorate recipients -> Professional services,Doctorate recipients,Professional services,,2,97050,1625,47200,1300,49850,925,4900,250,1900,175,3000,225,250,75,100,50,150,50,14650,725,7850,525,6850,475,3950,300,1600,175,2400,250,72000,1275,35200,1075,36750,800,1300,175,600,125,700,100
3706,r010,Doctorate recipients -> Teaching,Doctorate recipients,Teaching,,2,161000,1700,93000,1575,68050,1075,8200,350,4400,250,3800,225,300,75,200,50,100,50,22500,825,14400,625,8100,450,8850,325,4800,275,4000,225,118850,1450,68050,1300,50800,825,2300,175,1100,150,1200,150
3706,r011,Doctorate recipients -> Other work activities<sup>e</sup>,Doctorate recipients,Other work activities<sup>e</sup>,,2,38300,975,21250,800,17050,550,1900,150,900,125,1000,100,50,50,,,,,8150,425,5300,375,2850,275,1700,150,700,125,1000,125,25800,825,13900,700,11900,475,750,125,450,100,300,75
