table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorates,field_received_work_related_training_in_the_past_year_no,field_received_work_related_training_in_the_past_year_yes,field_of_those_who_received_training_motivation_for_training_improve_capacity_in_current_occupational_field,field_of_those_who_received_training_motivation_for_training_increase_career_advancement_opportunities,field_of_those_who_received_training_motivation_for_training_gain_licensure_or_certification_in_current_occupational_field,field_of_those_who_received_training_motivation_for_training_facilitate_change_to_different_occupational_field,field_of_those_who_received_training_motivation_for_training_required_or_expected_by_employer,field_of_those_who_received_training_motivation_for_training_personal_interest,field_of_those_who_received_training_motivation_for_training_other_reason
3810,r001,All early career doctorates,All early career doctorates,,,,1,186700,37.8,62.2,83.8,50.5,18.7,10.9,37.6,35.0,15.1
3810,r002,All early career doctorates -> Sex,All early career doctorates,Sex,,,2,,,,,,,,,,
3810,r003,All early career doctorates -> Sex -> Female,All early career doctorates,Sex,Female,,3,89400,31.6,68.4,85.9,50.1,21.7,10.1,35.9,38.2,15.9
3810,r004,All early career doctorates -> Sex -> Male,All early career doctorates,Sex,Male,,3,97300,43.6,56.4,81.4,51.0,15.4,11.7,39.5,31.4,14.3
3810,r005,All early career doctorates -> Citizenship and sex,All early career doctorates,Citizenship and sex,,,2,,,,,,,,,,
3810,r006,All early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident,All early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,,3,156100,36.6,63.4,83.5,49.4,19.0,9.4,38.1,35.3,15.7
3810,r007,All early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident -> Female,All early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,Female,4,79900,30.9,69.1,86.1,49.2,22.6,9.2,36.0,38.4,16.4
3810,r008,All early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident -> Male,All early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,Male,4,76300,42.6,57.4,80.2,49.6,14.4,9.7,40.8,31.4,14.8
3810,r009,All early career doctorates -> Citizenship and sex -> Temporary visa holder,All early career doctorates,Citizenship and sex,Temporary visa holder,,3,30600,44.2,55.8,85.3,57.0,17.1,19.2,34.7,33.1,12.1
3810,r010,All early career doctorates -> Citizenship and sex -> Temporary visa holder -> Female,All early career doctorates,Citizenship and sex,Temporary visa holder,Female,4,9600,37.7,62.3,83.5,58.6,13.2,19.0,35.1,36.3,11.6
3810,r011,All early career doctorates -> Citizenship and sex -> Temporary visa holder -> Male,All early career doctorates,Citizenship and sex,Temporary visa holder,Male,4,21000,47.2,52.8,86.2,56.1,19.2,19.3,34.4,31.4,12.3
3810,r012,All early career doctorates -> Ethnicity and race,All early career doctorates,Ethnicity and race,,,2,,,,,,,,,,
3810,r013,All early career doctorates -> Ethnicity and race -> Hispanic or Latino,All early career doctorates,Ethnicity and race,Hispanic or Latino,,3,13600,38.8,61.2,83.1,54.0,18.8,13.7,37.8,36.1,15.4
3810,r014,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,,3,,,,,,,,,,
3810,r015,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Asian,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,Asian,4,37600,41.9,58.1,88.5,57.3,17.7,16.8,33.8,30.1,13.3
3810,r016,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Black or African American,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,Black or African American,4,10100,25.9,74.1,87.6,53.6,22.2,9.9,38.6,32.7,15.8
