table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,characteristic_hierarchy_depth,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
999,r001,All doctorate recipients (number)<sup>c</sup>,All doctorate recipients (number)<sup>c</sup>,,,,,,1,54664,12592,6081,3843,9079,9843,4823,5290,3113
999,r002,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,,,,,2,,,,,,,,,
999,r003,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite postgraduation study,,,,3,12604,4406,2174,773,2194,2093,244,551,169
999,r004,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment,,,,3,19635,2995,1498,1715,3476,3510,2619,2073,1749
999,r005,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Seeking employment or study,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Seeking employment or study,,,,3,14806,3515,1809,865,2039,2954,1162,1850,612
999,r006,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Other<sup>e</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Other<sup>e</sup>,,,,3,1769,631,139,91,198,270,165,191,84
999,r007,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study (%)<sup>f</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite postgraduation study (%)<sup>f</sup>,,,,3,,,,,,,,,
999,r008,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study (%)<sup>f</sup> -> Postdoc fellowship or research associateship,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite postgraduation study (%)<sup>f</sup>,Postdoc fellowship or research associateship,,,4,94.2,93.8,98.1,96.0,90.7,94.6,86.9,95.1,91.1
999,r009,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study (%)<sup>f</sup> -> Other or unknown<sup>g</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite postgraduation study (%)<sup>f</sup>,Other or unknown<sup>g</sup>,,,4,5.8,6.2,1.9,4.0,9.3,5.4,13.1,4.9,8.9
999,r010,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,,,,3,,,,,,,,,
