table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_all_other_fieldsa,field_business_management_and_administration,field_communication,field_non_s_e_fields_nec
4635,r001,All doctorate recipients (number)<sup>b</sup>,All doctorate recipients (number)<sup>b</sup>,,,,1,3006,1466,593,947
4635,r002,All doctorate recipients (number)<sup>b</sup> -> Sex (%),All doctorate recipients (number)<sup>b</sup>,Sex (%),,,2,,,,
4635,r003,All doctorate recipients (number)<sup>b</sup> -> Sex (%) -> Male,All doctorate recipients (number)<sup>b</sup>,Sex (%),Male,,3,47.1,58.0,38.8,35.5
4635,r004,All doctorate recipients (number)<sup>b</sup> -> Sex (%) -> Female,All doctorate recipients (number)<sup>b</sup>,Sex (%),Female,,3,52.9,42.0,61.2,64.5
4635,r005,All doctorate recipients (number)<sup>b</sup> -> Sex (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Sex (%),Unknown,,3,0.0,0.0,0.0,0.0
4635,r006,All doctorate recipients (number)<sup>b</sup> -> Citizenship (%),All doctorate recipients (number)<sup>b</sup>,Citizenship (%),,,2,,,,
4635,r007,All doctorate recipients (number)<sup>b</sup> -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>b</sup>,Citizenship (%),U.S. citizen or permanent resident,,3,57.8,48.4,69.5,65.2
4635,r008,All doctorate recipients (number)<sup>b</sup> -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>b</sup>,Citizenship (%),Temporary visa holder,,3,35.8,44.9,26.0,27.9
4635,r009,All doctorate recipients (number)<sup>b</sup> -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Citizenship (%),Unknown,,3,6.4,6.8,4.6,7.0
4635,r010,All doctorate recipients (number)<sup>b</sup> -> Marital status (%),All doctorate recipients (number)<sup>b</sup>,Marital status (%),,,2,,,,
4635,r011,All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>b</sup>,Marital status (%),Never married,,3,26.0,26.6,29.7,22.7
4635,r012,All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Married,All doctorate recipients (number)<sup>b</sup>,Marital status (%),Married,,3,46.9,47.9,41.7,48.7
4635,r013,All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>b</sup>,Marital status (%),Marriage-like relationship,,3,4.6,3.8,8.1,3.6
4635,r014,"All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>b</sup>,Marital status (%),"Separated, divorced, widowed",,3,5.7,4.3,5.4,8.0
4635,r015,All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Marital status (%),Unknown,,3,16.9,17.5,15.2,17.0
4635,r016,All doctorate recipients (number)<sup>b</sup> -> Bachelor's in same field as doctorate (%)<sup>c</sup>,All doctorate recipients (number)<sup>b</sup>,Bachelor's in same field as doctorate (%)<sup>c</sup>,,,2,36.2,38.3,44.4,27.8
4635,r017,All doctorate recipients (number)<sup>b</sup> -> Master's earned (%),All doctorate recipients (number)<sup>b</sup>,Master's earned (%),,,2,81.4,76.9,87.2,84.7
4635,r018,All doctorate recipients (number)<sup>b</sup> -> Age at doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Age at doctorate (median years),,,2,34.8,33.8,33.5,37.1
