table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2017,field_2018,field_2019,field_2020_all_life_sciences,field_2020_agricultural_sciences,field_2020_biological_and_biomedical_sciences,field_2020_health_sciences,field_2020_natural_resources_and_conservation,field_2020_life_sciences_nec
5424,r001,All institutions,All institutions,,1,-,"['22,749,759', '']","['23,867,788', '']","['25,458,209', '']","['26,254,002', '']","['1,072,057', '']","['9,339,917', '']","['14,733,751', '']","['410,120', '']","['698,157', '']"
5424,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['650,087', '']","['667,885', '']","['706,853', '']","['714,341', '']","['0', '']","['221,384', '']","['492,957', '']","['0', '']","['0', '']"
5424,r003,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,2,"['632,917', '']","['672,737', '']","['664,192', '']","['667,996', '']","['0', '']","['153,375', '']","['489,241', '']","['13,552', '']","['11,828', '']"
5424,r004,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,3,"['570,478', '']","['634,003', '']","['632,556', '']","['634,918', '']","['0', '']","['681', '']","['634,237', '']","['0', '']","['0', '']"
5424,r005,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,4,"['522,710', '']","['558,941', '']","['585,348', '']","['590,430', '']","['248', '']","['189,410', '']","['400,747', '']","['0', '']","['25', '']"
5424,r006,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,5,"['540,710', '']","['555,651', '']","['582,252', '']","['577,785', '']","['25', '']","['390,309', '']","['153,364', '']","['0', '']","['34,087', '']"
5424,r007,All institutions -> Duke U.,All institutions,Duke U.,2,6,"['497,621', '']","['515,536', '']","['568,773', '']","['568,232', '']","['0', '']","['195,787', '']","['353,311', '']","['5,691', '']","['13,443', '']"
5424,r008,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,7,"['435,032', '']","['488,041', '']","['539,940', '']","['562,474', '']","['0', '']","['168,917', '']","['391,314', '']","['1,434', '']","['809', '']"
5424,r009,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,8,"['467,851', '']","['501,174', '']","['548,206', '']","['547,904', '']","['0', '']","['180,703', '']","['333,024', '']","['10,218', '']","['23,959', '']"
5424,r010,All institutions -> Stanford U.,All institutions,Stanford U.,2,9,"['481,780', '']","['488,675', '']","['519,870', '']","['529,667', '']","['0', '']","['179,023', '']","['323,047', '']","['1,161', '']","['26,436', '']"
5424,r011,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,10,"['472,136', '']","['489,297', '']","['513,100', '']","['521,691', '']","['0', '']","['123,492', '']","['398,199', '']","['0', '']","['0', '']"
5424,r012,All institutions -> Yale U.,All institutions,Yale U.,2,11,"['455,347', '']","['470,751', '']","['497,350', '']","['512,821', '']","['0', '']","['140,048', '']","['367,588', '']","['5,185', '']","['0', '']"
5424,r013,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,12,"['414,779', '']","['444,153', '']","['476,233', '']","['489,071', '']","['0', '']","['216,565', '']","['272,506', '']","['0', '']","['0', '']"
5424,r014,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,13,"['367,522', '']","['398,656', '']","['443,745', '']","['480,452', '']","['0', '']","['208,188', '']","['272,264', '']","['0', '']","['0', '']"
5424,r015,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,14,"['328,895', '']","['392,520', '']","['417,741', '']","['459,909', '']","['0', '']","['22,266', '']","['437,643', '']","['0', '']","['0', '']"
5424,r016,All institutions -> Emory U.,All institutions,Emory U.,2,15,"['358,117', '']","['367,597', '']","['393,978', '']","['419,593', '']","['0', '']","['144,201', '']","['264,862', '']","['0', '']","['10,530', '']"
