table_id,row_id,primary_work_activity_full_path,primary_work_activity_level_1,primary_work_activity_level_2,primary_work_activity_level_3,primary_work_activity_hierarchy_depth,field_all_employed_total_number,field_all_employed_total_se,field_all_employed_male_number,field_all_employed_male_se,field_all_employed_female_number,field_all_employed_female_se,field_hispanic_or_latinoa_total_number,field_hispanic_or_latinoa_total_se,field_hispanic_or_latinoa_male_number,field_hispanic_or_latinoa_male_se,field_hispanic_or_latinoa_female_number,field_hispanic_or_latinoa_female_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_total_number,field_not_hispanic_or_latinob_american_indian_or_alaska_native_total_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_male_number,field_not_hispanic_or_latinob_american_indian_or_alaska_native_male_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_female_number,field_not_hispanic_or_latinob_american_indian_or_alaska_native_female_se,field_not_hispanic_or_latinob_asian_total_number,field_not_hispanic_or_latinob_asian_total_se,field_not_hispanic_or_latinob_asian_male_number,field_not_hispanic_or_latinob_asian_male_se,field_not_hispanic_or_latinob_asian_female_number,field_not_hispanic_or_latinob_asian_female_se,field_not_hispanic_or_latinob_black_or_african_american_total_number,field_not_hispanic_or_latinob_black_or_african_american_total_se,field_not_hispanic_or_latinob_black_or_african_american_male_number,field_not_hispanic_or_latinob_black_or_african_american_male_se,field_not_hispanic_or_latinob_black_or_african_american_female_number,field_not_hispanic_or_latinob_black_or_african_american_female_se,field_not_hispanic_or_latinob_white_total_number,field_not_hispanic_or_latinob_white_total_se,field_not_hispanic_or_latinob_white_male_number,field_not_hispanic_or_latinob_white_male_se,field_not_hispanic_or_latinob_white_female_number,field_not_hispanic_or_latinob_white_female_se,field_not_hispanic_or_latinob_other_racec_total_number,field_not_hispanic_or_latinob_other_racec_total_se,field_not_hispanic_or_latinob_other_racec_male_number,field_not_hispanic_or_latinob_other_racec_male_se,field_not_hispanic_or_latinob_other_racec_female_number,field_not_hispanic_or_latinob_other_racec_female_se
8208,r001,Doctorate recipients,Doctorate recipients,,,1,872100,2425,543550,2350,328500,1250,40100,475,22600,425,17500,325,1400,125,650,100,700,100,219800,1600,148600,1550,71200,1125,31800,475,15700,375,16100,400,562950,2075,347250,1925,215700,1325,16000,575,8750,500,7250,375
8208,r002,Doctorate recipients -> Any R&D,Doctorate recipients,Any R&D,,2,333250,2225,224950,1925,108300,1475,15450,500,9400,375,6050,300,500,100,350,75,150,50,107350,1450,74550,1400,32800,925,9100,325,5150,275,3950,200,194600,1825,131650,1575,63000,1075,6250,425,3850,375,2400,225
8208,r003,Doctorate recipients -> Any R&D -> Basic research,Doctorate recipients,Any R&D,Basic research,3,92050,1500,63700,1400,28350,750,4350,225,3000,225,1350,150,200,75,150,75,50,50,30100,925,20350,850,9750,525,2150,200,1400,175,700,100,53600,1175,37750,1050,15850,625,1700,225,1100,200,600,100
8208,r004,Doctorate recipients -> Any R&D -> Applied research,Doctorate recipients,Any R&D,Applied research,3,174150,2025,111450,1625,62650,1200,8650,375,5000,275,3650,250,250,50,150,50,100,50,47800,1300,31600,1100,16200,725,5350,250,2800,200,2600,175,108500,1450,69800,1200,38700,875,3600,350,2100,300,1500,175
8208,r005,Doctorate recipients -> Any R&D -> Experimental development,Doctorate recipients,Any R&D,Experimental development,3,67050,1250,49800,1150,17250,600,2450,225,1400,150,1050,150,50,25,S,S,,,29450,875,22600,825,6850,450,1600,150,950,125,700,100,32500,925,24100,825,8400,450,1000,150,700,150,300,75
8208,r006,Doctorate recipients -> Computer applications,Doctorate recipients,Computer applications,,2,44800,1150,37200,1075,7600,475,1200,125,1000,125,150,50,,,,,,,20550,850,16050,750,4500,400,550,75,350,75,150,50,21950,775,19300,775,2600,225,600,125,450,125,150,75
8208,r007,Doctorate recipients -> Design,Doctorate recipients,Design,,2,24850,900,19650,825,5150,375,1000,125,650,100,300,75,,,,,,,10350,650,8500,625,1850,250,600,100,400,75,200,75,12550,625,9800,575,2750,275,350,100,250,75,100,50
8208,r008,"Doctorate recipients -> Management, sales, or administration<sup>d</sup>",Doctorate recipients,"Management, sales, or administration<sup>d</sup>",,2,171700,2175,105100,1725,66600,1150,7600,250,4150,250,3450,200,300,50,150,50,150,50,36400,1025,23300,875,13100,575,7300,325,3400,225,3900,225,116700,1725,72350,1375,44350,975,3350,275,1750,225,1650,200
8208,r009,Doctorate recipients -> Professional services,Doctorate recipients,Professional services,,2,98900,1575,44800,1200,54050,1200,4550,250,1700,150,2850,200,200,75,50,25,150,75,14100,700,7750,575,6350,475,4500,325,1400,175,3050,300,73400,1400,33050,975,40350,1075,2100,200,850,150,1300,150
8208,r010,Doctorate recipients -> Teaching,Doctorate recipients,Teaching,,2,159750,1825,90350,1425,69400,1125,8300,325,4500,250,3850,225,300,75,100,50,200,75,23000,700,13750,600,9250,500,8150,325,4150,275,4000,250,117650,1625,66650,1275,51000,1025,2400,200,1200,150,1150,125
8208,r011,Doctorate recipients -> Other work activities<sup>e</sup>,Doctorate recipients,Other work activities<sup>e</sup>,,2,38850,1150,21500,850,17350,725,2000,200,1150,200,850,100,50,25,S,S,0.05,0.05,8100,575,4700,475,3350,325,1650,175,800,125,850,150,26100,925,14400,725,11700,550,950,175,400,125,550,150
