table_id,row_id,_b_demographic_characteristic_b_full_path,_b_demographic_characteristic_b_level_1,_b_demographic_characteristic_b_level_2,_b_demographic_characteristic_b_level_3,_b_demographic_characteristic_b_level_4,_b_demographic_characteristic_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_othera
7556,r001,Doctorate recipients reporting community college attendance,Doctorate recipients reporting community college attendance,,,,1,21.2,19.7,26.1,22.7,9.2,12.5,20.7,35.5,14.3,18.5,17.3,29.8,21.3,27.0,18.7,35.1,24.6,20.3,24.0
7556,r002,Doctorate recipients reporting community college attendance -> Sex,Doctorate recipients reporting community college attendance,Sex,,,2,,,,,,,,,,,,,,,,,,,
7556,r003,Doctorate recipients reporting community college attendance -> Sex -> Male,Doctorate recipients reporting community college attendance,Sex,Male,,3,18.8,17.6,24.0,23.4,8.5,12.2,21.1,29.8,15.2,16.5,17.5,31.2,20.1,24.9,17.2,33.1,26.2,18.5,21.1
7556,r004,Doctorate recipients reporting community college attendance -> Sex -> Female,Doctorate recipients reporting community college attendance,Sex,Female,,3,24.1,22.6,28.1,22.0,11.8,13.4,20.2,38.0,12.1,21.3,17.0,29.2,22.5,28.6,20.7,36.0,22.8,21.7,26.0
7556,r005,Doctorate recipients reporting community college attendance -> Citizenship status,Doctorate recipients reporting community college attendance,Citizenship status,,,2,,,,,,,,,,,,,,,,,,,
7556,r006,Doctorate recipients reporting community college attendance -> Citizenship status -> U.S. citizen or permanent resident,Doctorate recipients reporting community college attendance,Citizenship status,U.S. citizen or permanent resident,,3,30.8,29.9,39.8,29.1,22.5,24.8,30.0,43.3,27.6,29.8,27.0,32.0,30.2,33.5,34.1,39.5,28.8,23.2,32.3
7556,r007,Doctorate recipients reporting community college attendance -> Citizenship status -> Temporary visa holder,Doctorate recipients reporting community college attendance,Citizenship status,Temporary visa holder,,3,4.0,3.8,5.6,4.1,2.1,3.7,1.9,8.1,2.9,4.5,3.4,6.8,3.5,5.8,5.0,7.4,6.5,8.6,4.0
7556,r008,Doctorate recipients reporting community college attendance -> Ethnicity and race (U.S. citizens and permanent residents),Doctorate recipients reporting community college attendance,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,,
7556,r009,Doctorate recipients reporting community college attendance -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Doctorate recipients reporting community college attendance,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,37.4,36.6,26.8,35.0,35.5,32.8,29.8,48.9,34.9,30.8,33.5,40.9,39.3,40.2,50.0,50.2,29.7,32.6,35.6
7556,r010,Doctorate recipients reporting community college attendance -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Doctorate recipients reporting community college attendance,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,,
