table_id,row_id,demographic_characteristic_full_path,demographic_characteristic_level_1,demographic_characteristic_level_2,demographic_characteristic_level_3,demographic_characteristic_level_4,demographic_characteristic_hierarchy_depth,field_all_fields,field_all_s_e_fields,field_engineering,field_agricultural_sciences_and_natural_resources,field_biological_and_biomedical_sciences,field_health_sciences,field_physical_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_computer_and_information_sciences,field_mathematics_and_statistics,field_psychology,field_social_sciences,field_non_s_e
9899,r001,All doctorate recipients,All doctorate recipients,,,,1,6.4,5.8,3.6,7.4,4.5,12.5,4.5,4.7,5.1,5.5,7.2,7.2,8.1
9899,r002,All doctorate recipients -> Sex,All doctorate recipients,Sex,,,2,,,,,,,,,,,,,
9899,r003,All doctorate recipients -> Sex -> Male,All doctorate recipients,Sex,Male,,3,6.2,5.5,3.8,8.5,4.8,10.9,4.6,5.5,5.3,5.8,8.3,7.5,8.3
9899,r004,All doctorate recipients -> Sex -> Female,All doctorate recipients,Sex,Female,,3,6.6,6.0,3.0,6.3,4.2,13.1,4.4,3.8,4.7,4.7,6.7,6.9,7.9
9899,r005,All doctorate recipients -> Ethnicity and race,All doctorate recipients,Ethnicity and race,,,2,,,,,,,,,,,,,
9899,r006,All doctorate recipients -> Ethnicity and race -> Hispanic or Latino,All doctorate recipients,Ethnicity and race,Hispanic or Latino,,3,10.2,9.2,5.7,8.7,8.2,18.0,7.5,7.6,10.6,9.8,10.5,11.0,12.5
9899,r007,All doctorate recipients -> Ethnicity and race -> Not Hispanic or Latino,All doctorate recipients,Ethnicity and race,Not Hispanic or Latino,,3,,,,,,,,,,,,,
9899,r008,All doctorate recipients -> Ethnicity and race -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients,Ethnicity and race,Not Hispanic or Latino,American Indian or Alaska Native,4,17.0,17.1,s,s,16.9,26.7,s,s,0.0,s,16.7,19.3,16.9
9899,r009,All doctorate recipients -> Ethnicity and race -> Not Hispanic or Latino -> Asian,All doctorate recipients,Ethnicity and race,Not Hispanic or Latino,Asian,4,3.0,2.8,2.2,s,2.3,5.3,3.6,s,2.2,3.9,4.1,2.5,3.5
9899,r010,All doctorate recipients -> Ethnicity and race -> Not Hispanic or Latino -> Black or African American,All doctorate recipients,Ethnicity and race,Not Hispanic or Latino,Black or African American,4,10.4,10.5,6.8,9.9,6.6,19.7,5.7,s,8.6,s,10.3,11.4,10.3
9899,r011,All doctorate recipients -> Ethnicity and race -> Not Hispanic or Latino -> White,All doctorate recipients,Ethnicity and race,Not Hispanic or Latino,White,4,6.0,5.5,3.4,7.3,4.2,11.7,4.3,4.6,5.3,5.5,6.7,6.6,7.6
9899,r012,All doctorate recipients -> Ethnicity and race -> Not Hispanic or Latino -> More than one race,All doctorate recipients,Ethnicity and race,Not Hispanic or Latino,More than one race,4,7.8,7.1,6.1,10.2,4.9,12.7,6.1,6.0,5.3,8.1,9.2,8.2,10.3
9899,r013,All doctorate recipients -> Ethnicity and race -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients,Ethnicity and race,Not Hispanic or Latino,Other race or race not reported,4,5.6,4.7,s,2.7,5.2,6.8,s,5.3,7.7,1.4,4.4,6.9,7.9
9899,r014,All doctorate recipients -> Ethnicity and race -> Ethnicity not reported,All doctorate recipients,Ethnicity and race,Ethnicity not reported,,3,2.5,2.3,0.5,2.3,2.1,7.0,2.1,5.3,2.3,1.0,1.5,2.9,2.9
