table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_federal_r_d_expenditures,field_dod,field_doe,field_hhs,field_nasa,field_nsf,field_usda,field_othera
12748,r001,All institutions,All institutions,,1,-,"['59,603,993', '']","['9,047,729', '']","['2,671,326', '']","['33,097,927', '']","['2,295,593', '']","['6,699,546', '']","['1,700,216', '']","['4,091,656', '']"
12748,r002,All institutions -> Johns Hopkins U.<sup>b</sup>,All institutions,Johns Hopkins U.<sup>b</sup>,2,1,"['3,324,551', '']","['1,628,821', '']","['11,671', '']","['919,852', '']","['515,047', '']","['40,834', '']","['3,553', '']","['204,773', '']"
12748,r003,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,2,"['1,188,836', '']","['126,010', '']","['41,413', '']","['770,184', '']","['22,518', '']","['142,970', '']","['7,610', '']","['78,131', '']"
12748,r004,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,3,"['1,083,903', '']","['811,759', '']","['26,089', '']","['52,938', '']","['17,355', '']","['79,048', '']","['1,124', '']","['95,590', '']"
12748,r005,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,4,"['1,083,790', '']","['126,228', '']","['38,680', '']","['688,073', '']","['16,704', '']","['163,266', '']","['3,062', '']","['47,777', '']"
12748,r006,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,5,"['1,041,430', '']","['79,110', '']","['48,259', '']","['728,763', '']","['31,693', '']","['109,808', '']","['1,578', '']","['42,219', '']"
12748,r007,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,6,"['988,670', '']","['58,296', '']","['25,171', '']","['766,707', '']","['24,482', '']","['105,818', '']","['502', '']","['7,694', '']"
12748,r008,All institutions -> Duke U.,All institutions,Duke U.,2,7,"['974,202', '']","['61,598', '']","['18,482', '']","['833,339', '']","['2,223', '']","['45,599', '']","['998', '']","['11,963', '']"
12748,r009,All institutions -> Stanford U.,All institutions,Stanford U.,2,8,"['943,669', '']","['87,775', '']","['31,180', '']","['712,159', '']","['22,178', '']","['79,757', '']","['1,014', '']","['9,606', '']"
12748,r010,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,9,"['936,469', '']","['53,246', '']","['15,424', '']","['784,145', '']","['2,941', '']","['59,837', '']","['1,818', '']","['19,058', '']"
12748,r011,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,10,"['916,735', '']","['70,896', '']","['13,238', '']","['777,420', '']","['3,546', '']","['38,493', '']","['518', '']","['12,624', '']"
