table_id,row_id,primary_source_of_support_ethnicity_race_and_sex_full_path,primary_source_of_support_ethnicity_race_and_sex_level_1,primary_source_of_support_ethnicity_race_and_sex_level_2,primary_source_of_support_ethnicity_race_and_sex_level_3,primary_source_of_support_ethnicity_race_and_sex_level_4,primary_source_of_support_ethnicity_race_and_sex_level_5,primary_source_of_support_ethnicity_race_and_sex_level_6,primary_source_of_support_ethnicity_race_and_sex_hierarchy_depth,field_all_s_e,field_sciencea_all_science,field_sciencea_agricultural_sciences_and_natural_resources,field_sciencea_biological_and_biomedical_sciences,field_sciencea_computer_and_information_sciences,field_sciencea_geosciences_atmospheric_sciences_and_ocean_sciences,field_sciencea_health_sciencesb,field_sciencea_mathematics_and_statistics,field_sciencea_physical_sciences_and_earth_sciences,field_sciencea_psychology,field_sciencea_social_sciences,field_engineering
3288,r001,All recipients (number)<sup>c</sup>,All recipients (number)<sup>c</sup>,,,,,,1,126169,104993,3982,31163,3900,3866,8911,4762,18536,16478,17261,21176
3288,r002,All recipients (number)<sup>c</sup> -> All sources,All recipients (number)<sup>c</sup>,All sources,,,,,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r003,All recipients (number)<sup>c</sup> -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,All sources,Personal or family funds,,,,3,13.8,15.26,10.1,7.14,13.77,5.74,33.73,5.59,3.88,31.17,21.63,6.52
3288,r004,All recipients (number)<sup>c</sup> -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,All sources,Teaching assistantship,,,,3,16.9,18.97,11.45,11.42,10.28,16.3,10.2,54.37,21.02,19.33,28.5,6.66
3288,r005,"All recipients (number)<sup>c</sup> -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,All sources,"Research assistantship, traineeship, or internship",,,,3,29.64,26.96,42.37,30.32,40.05,39.45,18.03,13.25,44.18,19.1,11.76,42.95
3288,r006,"All recipients (number)<sup>c</sup> -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,All sources,"Fellowship, scholarship, or grant<sup>d</sup>",,,,3,28.96,28.72,23.68,43.42,20.67,31.4,21.75,17.6,23.8,17.14,28.15,30.18
3288,r007,All recipients (number)<sup>c</sup> -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,All sources,Other<sup>e</sup>,,,,3,10.7,10.09,12.41,7.7,15.23,7.11,16.28,9.2,7.11,13.26,9.95,13.69
3288,r008,All recipients (number)<sup>c</sup> -> Hispanic or Latino<sup>f</sup> (number),All recipients (number)<sup>c</sup>,Hispanic or Latino<sup>f</sup> (number),,,,,2,9139,7707,249,2510,192,241,563,255,1071,1484,1383,1432
3288,r009,All recipients (number)<sup>c</sup> -> Hispanic or Latino<sup>f</sup> (number) -> All sources,All recipients (number)<sup>c</sup>,Hispanic or Latino<sup>f</sup> (number),All sources,,,,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r010,All recipients (number)<sup>c</sup> -> Hispanic or Latino<sup>f</sup> (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Hispanic or Latino<sup>f</sup> (number),All sources,Personal or family funds,,,4,15.09,16.58,9.64,7.17,14.58,6.64,35.17,5.49,4.3,33.56,20.97,7.05
3288,r011,All recipients (number)<sup>c</sup> -> Hispanic or Latino<sup>f</sup> (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Hispanic or Latino<sup>f</sup> (number),All sources,Teaching assistantship,,,4,14.32,15.8,10.84,8.57,11.46,14.11,10.3,47.06,18.67,13.34,27.33,6.35
3288,r012,"All recipients (number)<sup>c</sup> -> Hispanic or Latino<sup>f</sup> (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Hispanic or Latino<sup>f</sup> (number),All sources,"Research assistantship, traineeship, or internship",,,4,21.18,19.05,28.92,22.35,33.33,31.95,14.56,10.59,31.56,13.75,8.68,32.68
3288,r013,"All recipients (number)<sup>c</sup> -> Hispanic or Latino<sup>f</sup> (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Hispanic or Latino<sup>f</sup> (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",,,4,38.25,37.64,34.14,54.06,24.48,41.08,27.18,26.67,37.25,21.56,34.13,41.55
