table_id,row_id,race_and_ethnicity_full_path,race_and_ethnicity_level_1,race_and_ethnicity_level_2,race_and_ethnicity_level_3,race_and_ethnicity_hierarchy_depth,field_number,field_percent
7662,r001,U.S. citizens and permanent residents,U.S. citizens and permanent residents,,,1,31674,100
7662,r002,U.S. citizens and permanent residents -> Hispanic or Latino,U.S. citizens and permanent residents,Hispanic or Latino,,2,2856,9.0
7662,r003,U.S. citizens and permanent residents -> Not Hispanic or Latino,U.S. citizens and permanent residents,Not Hispanic or Latino,,2,28350,89.5
7662,r004,U.S. citizens and permanent residents -> Not Hispanic or Latino -> American Indian or Alaska Native,U.S. citizens and permanent residents,Not Hispanic or Latino,American Indian or Alaska Native,3,100,0.3
7662,r005,U.S. citizens and permanent residents -> Not Hispanic or Latino -> Asian,U.S. citizens and permanent residents,Not Hispanic or Latino,Asian,3,3022,9.5
7662,r006,U.S. citizens and permanent residents -> Not Hispanic or Latino -> Black or African American,U.S. citizens and permanent residents,Not Hispanic or Latino,Black or African American,3,2431,7.7
7662,r007,U.S. citizens and permanent residents -> Not Hispanic or Latino -> White,U.S. citizens and permanent residents,Not Hispanic or Latino,White,3,21333,67.4
7662,r008,U.S. citizens and permanent residents -> Not Hispanic or Latino -> More than one race,U.S. citizens and permanent residents,Not Hispanic or Latino,More than one race,3,1088,3.4
7662,r009,U.S. citizens and permanent residents -> Not Hispanic or Latino -> Other race or race not reported,U.S. citizens and permanent residents,Not Hispanic or Latino,Other race or race not reported,3,376,1.2
7662,r010,U.S. citizens and permanent residents -> Ethnicity not reported,U.S. citizens and permanent residents,Ethnicity not reported,,2,468,1.4
