table_id,row_id,field_country_and_sector_full_path,field_country_and_sector_level_1,field_country_and_sector_level_2,field_country_and_sector_level_3,field_country_and_sector_hierarchy_depth,field_all_patents_2013,field_all_patents_2014,field_all_patents_2015,field_all_patents_2016,field_all_patents_2017,field_all_patents_2018,field_utility_patents_2013,field_utility_patents_2014,field_utility_patents_2015,field_utility_patents_2016,field_utility_patents_2017,field_utility_patents_2018,field_design_patents_2013,field_design_patents_2014,field_design_patents_2015,field_design_patents_2016,field_design_patents_2017,field_design_patents_2018,field_plant_patents_2013,field_plant_patents_2014,field_plant_patents_2015,field_plant_patents_2016,field_plant_patents_2017,field_plant_patents_2018
1962,r001,"All fields, all sectors","All fields, all sectors",,,1,630385,693022,683934,663339,676983,640330,629274,692794,683362,662457,676359,639660,1083,214,542,849,530,644,28,14,30,33,94,26
1962,r002,"All fields, all sectors -> Foreign","All fields, all sectors",Foreign,,2,324447,360562,361057,352030,363427,346840,323820,360430,360773,351593,363093,346504,622,124,273,431,284,321,6,9,12,6,50,16
1962,r003,"All fields, all sectors -> Unknown country","All fields, all sectors",Unknown country,,2,3430,3559,3237,3020,2967,2680,3421,3558,3227,3013,2964,2674,9,1,9,6,3,6,0,0,0,0,0,0
1962,r004,"All fields, all sectors -> United States","All fields, all sectors",United States,,2,302508,328901,319640,308289,310589,290809,302034,328806,319362,307851,310303,290483,452,90,260,412,242,317,22,5,18,27,44,10
1962,r005,"All fields, all sectors -> United States -> Academic","All fields, all sectors",United States,Academic,3,196677,213693,211001,206038,207680,196235,196407,213626,210845,205725,207492,196003,261,63,139,289,148,223,9,5,16,25,41,10
1962,r006,"All fields, all sectors -> United States -> Business","All fields, all sectors",United States,Business,3,56945,62549,57998,54306,54881,49611,56859,62539,57948,54278,54845,49563,85,10,51,28,37,47,1,0,0,0,0,0
1962,r007,"All fields, all sectors -> United States -> Federal government","All fields, all sectors",United States,Federal government,3,12047,12724,12451,11964,11876,11536,12019,12723,12443,11943,11864,11531,17,0,6,19,9,5,10,0,2,2,3,0
1962,r008,"All fields, all sectors -> United States -> FFRDCs","All fields, all sectors",United States,FFRDCs,3,5988,6710,6256,6235,6268,5834,5977,6709,6254,6235,6266,5832,11,2,2,0,3,2,0,0,0,0,0,0
1962,r009,"All fields, all sectors -> United States -> Nonprofit","All fields, all sectors",United States,Nonprofit,3,15504,16814,16966,15776,15755,14725,15469,16812,16929,15742,15741,14706,35,1,37,33,14,19,0,0,0,0,0,0
1962,r010,"All fields, all sectors -> United States -> State and local government","All fields, all sectors",United States,State and local government,3,298,318,272,315,243,242,298,317,272,314,243,242,0,1,0,2,0,0,0,0,0,0,0,0
1962,r011,"All fields, all sectors -> United States -> Joint and unknown sectors","All fields, all sectors",United States,Joint and unknown sectors,3,15049,16092,14696,13655,13885,12626,15005,16081,14671,13613,13852,12606,42,12,24,41,32,20,2,0,0,1,1,0
