table_id,row_id,teaching_field_and_selected_school_characteristic_full_path,teaching_field_and_selected_school_characteristic_level_1,teaching_field_and_selected_school_characteristic_level_2,teaching_field_and_selected_school_characteristic_level_3,teaching_field_and_selected_school_characteristic_level_4,teaching_field_and_selected_school_characteristic_hierarchy_depth,field_less_than_bachelor_s_degree,field_bachelor_s_degree,field_master_s_or_higher_degree_total,field_master_s_or_higher_degree_master_s_degree,field_master_s_or_higher_degree_higher_than_master_s_degreea
4105,r001,All public middle and high school teachers,All public middle and high school teachers,,,,1,3,35,61,52,9
4105,r002,All public middle and high school teachers -> Mathematics,All public middle and high school teachers,Mathematics,,,2,3,37,61,54,7
4105,r003,All public middle and high school teachers -> Mathematics -> Minority enrollment (percent),All public middle and high school teachers,Mathematics,Minority enrollment (percent),,3,,,,,
4105,r004,All public middle and high school teachers -> Mathematics -> Minority enrollment (percent) -> 0&#8211;24,All public middle and high school teachers,Mathematics,Minority enrollment (percent),0&#8211;24,4,3,30,68,61,7
4105,r005,All public middle and high school teachers -> Mathematics -> Minority enrollment (percent) -> 25&#8211;49,All public middle and high school teachers,Mathematics,Minority enrollment (percent),25&#8211;49,4,2,39,59,52,7
4105,r006,All public middle and high school teachers -> Mathematics -> Minority enrollment (percent) -> 50&#8211;74,All public middle and high school teachers,Mathematics,Minority enrollment (percent),50&#8211;74,4,3,45,52,45,7
4105,r007,All public middle and high school teachers -> Mathematics -> Minority enrollment (percent) -> 75 or more,All public middle and high school teachers,Mathematics,Minority enrollment (percent),75 or more,4,2,37,61,54,7
4105,r008,All public middle and high school teachers -> Mathematics -> School poverty level (percent)<sup>b</sup>,All public middle and high school teachers,Mathematics,School poverty level (percent)<sup>b</sup>,,3,,,,,
4105,r009,All public middle and high school teachers -> Mathematics -> School poverty level (percent)<sup>b</sup> -> 0&#8211;34,All public middle and high school teachers,Mathematics,School poverty level (percent)<sup>b</sup>,0&#8211;34,4,3,32,65,57,8
4105,r010,All public middle and high school teachers -> Mathematics -> School poverty level (percent)<sup>b</sup> -> 35&#8211;49,All public middle and high school teachers,Mathematics,School poverty level (percent)<sup>b</sup>,35&#8211;49,4,3,35,63,59,4
