table_id,row_id,time_period,_b_all_science_engineering_and_health_graduate_students_b_level_1,_b_all_science_engineering_and_health_graduate_students_b_level_2,_b_all_science_engineering_and_health_graduate_students_b_level_3,_b_all_science_engineering_and_health_graduate_students_b_hierarchy_depth,value
8297,r001,1975,"All science, engineering, and health graduate students",Total,,2,328510
8297,r002,1975,"All science, engineering, and health graduate students",Full time,Number,3,219648
8297,r003,1975,"All science, engineering, and health graduate students",Full time,Percent,3,66.9
8297,r004,1975,"All science, engineering, and health graduate students",Part time,Number,3,108862
8297,r005,1975,"All science, engineering, and health graduate students",Part time,Percent,3,33.1
8297,r006,1975,All science graduate students,Total,,2,234649
8297,r007,1975,All science graduate students,Full time,Number,3,164437
8297,r008,1975,All science graduate students,Full time,Percent,3,70.1
8297,r009,1975,All science graduate students,Part time,Number,3,70212
8297,r010,1975,All science graduate students,Part time,Percent,3,29.9
8297,r011,1975,All engineering graduate students,Total,,2,68332
8297,r012,1975,All engineering graduate students,Full time,Number,3,37823
8297,r013,1975,All engineering graduate students,Full time,Percent,3,55.4
8297,r014,1975,All engineering graduate students,Part time,Number,3,30509
8297,r015,1975,All engineering graduate students,Part time,Percent,3,44.6
8297,r016,1975,All health graduate students,Total,,2,25529
8297,r017,1975,All health graduate students,Full time,Number,3,17388
8297,r018,1975,All health graduate students,Full time,Percent,3,68.1
8297,r019,1975,All health graduate students,Part time,Number,3,8141
8297,r020,1975,All health graduate students,Part time,Percent,3,31.9
8297,r021,1976,"All science, engineering, and health graduate students",Total,,2,333716
8297,r022,1976,"All science, engineering, and health graduate students",Full time,Number,3,223412
8297,r023,1976,"All science, engineering, and health graduate students",Full time,Percent,3,66.9
8297,r024,1976,"All science, engineering, and health graduate students",Part time,Number,3,110304
8297,r025,1976,"All science, engineering, and health graduate students",Part time,Percent,3,33.1
8297,r026,1976,All science graduate students,Total,,2,238675
8297,r027,1976,All science graduate students,Full time,Number,3,167867
8297,r028,1976,All science graduate students,Full time,Percent,3,70.3
8297,r029,1976,All science graduate students,Part time,Number,3,70808
8297,r030,1976,All science graduate students,Part time,Percent,3,29.7
8297,r031,1976,All engineering graduate students,Total,,2,66723
8297,r032,1976,All engineering graduate students,Full time,Number,3,36948
8297,r033,1976,All engineering graduate students,Full time,Percent,3,55.4
8297,r034,1976,All engineering graduate students,Part time,Number,3,29775
8297,r035,1976,All engineering graduate students,Part time,Percent,3,44.6
8297,r036,1976,All health graduate students,Total,,2,28318
8297,r037,1976,All health graduate students,Full time,Number,3,18597
8297,r038,1976,All health graduate students,Full time,Percent,3,65.7
8297,r039,1976,All health graduate students,Part time,Number,3,9721
8297,r040,1976,All health graduate students,Part time,Percent,3,34.3
8297,r041,1977,"All science, engineering, and health graduate students",Total,,2,345374
8297,r042,1977,"All science, engineering, and health graduate students",Full time,Number,3,226738
8297,r043,1977,"All science, engineering, and health graduate students",Full time,Percent,3,65.6
8297,r044,1977,"All science, engineering, and health graduate students",Part time,Number,3,118636
8297,r045,1977,"All science, engineering, and health graduate students",Part time,Percent,3,34.4
8297,r046,1977,All science graduate students,Total,,2,242932
8297,r047,1977,All science graduate students,Full time,Number,3,169184
8297,r048,1977,All science graduate students,Full time,Percent,3,69.6
8297,r049,1977,All science graduate students,Part time,Number,3,73748
8297,r050,1977,All science graduate students,Part time,Percent,3,30.4
8297,r051,1977,All engineering graduate students,Total,,2,68757
8297,r052,1977,All engineering graduate students,Full time,Number,3,37227
8297,r053,1977,All engineering graduate students,Full time,Percent,3,54.1
8297,r054,1977,All engineering graduate students,Part time,Number,3,31530
8297,r055,1977,All engineering graduate students,Part time,Percent,3,45.9
8297,r056,1977,All health graduate students,Total,,2,33685
8297,r057,1977,All health graduate students,Full time,Number,3,20327
8297,r058,1977,All health graduate students,Full time,Percent,3,60.3
8297,r059,1977,All health graduate students,Part time,Number,3,13358
8297,r060,1977,All health graduate students,Part time,Percent,3,39.7
