table_id,row_id,time_period,all_employed_level_1,all_employed_level_2,all_employed_level_3,all_employed_hierarchy_depth,value
3751,r001,On postdoc in February 2019,All employed,Number,,2,25400
3751,r002,On postdoc in February 2019,All employed,SE,,2,725
3751,r003,On postdoc in February 2019,Science,Total,Number,3,21050
3751,r004,On postdoc in February 2019,Science,Total,SE,3,700
3751,r005,On postdoc in February 2019,Science,"Biological, agricultural, and environmental life sciences",Number,3,13400
3751,r006,On postdoc in February 2019,Science,"Biological, agricultural, and environmental life sciences",SE,3,550
3751,r007,On postdoc in February 2019,Science,Computer and information sciences,Number,3,300
3751,r008,On postdoc in February 2019,Science,Computer and information sciences,SE,3,100
3751,r009,On postdoc in February 2019,Science,Mathematics and statistics,Number,3,800
3751,r010,On postdoc in February 2019,Science,Mathematics and statistics,SE,3,150
3751,r011,On postdoc in February 2019,Science,Physical sciences,Number,3,4900
3751,r012,On postdoc in February 2019,Science,Physical sciences,SE,3,350
3751,r013,On postdoc in February 2019,Science,Psychology,Number,3,1000
3751,r014,On postdoc in February 2019,Science,Psychology,SE,3,150
3751,r015,On postdoc in February 2019,Science,Social sciences,Number,3,650
3751,r016,On postdoc in February 2019,Science,Social sciences,SE,3,100
3751,r017,On postdoc in February 2019,Engineering,Number,,2,3350
3751,r018,On postdoc in February 2019,Engineering,SE,,2,300
3751,r019,On postdoc in February 2019,Health,Number,,2,1050
3751,r020,On postdoc in February 2019,Health,SE,,2,175
3751,r021,On postdoc in February 2019 -> Years since doctorate -> &#8804; 5 years,All employed,Number,,2,20700
3751,r022,On postdoc in February 2019 -> Years since doctorate -> &#8804; 5 years,All employed,SE,,2,600
3751,r023,On postdoc in February 2019 -> Years since doctorate -> &#8804; 5 years,Science,Total,Number,3,17050
3751,r024,On postdoc in February 2019 -> Years since doctorate -> &#8804; 5 years,Science,Total,SE,3,550
3751,r025,On postdoc in February 2019 -> Years since doctorate -> &#8804; 5 years,Science,"Biological, agricultural, and environmental life sciences",Number,3,10500
3751,r026,On postdoc in February 2019 -> Years since doctorate -> &#8804; 5 years,Science,"Biological, agricultural, and environmental life sciences",SE,3,450
3751,r027,On postdoc in February 2019 -> Years since doctorate -> &#8804; 5 years,Science,Computer and information sciences,Number,3,250
3751,r028,On postdoc in February 2019 -> Years since doctorate -> &#8804; 5 years,Science,Computer and information sciences,SE,3,100
3751,r029,On postdoc in February 2019 -> Years since doctorate -> &#8804; 5 years,Science,Mathematics and statistics,Number,3,750
3751,r030,On postdoc in February 2019 -> Years since doctorate -> &#8804; 5 years,Science,Mathematics and statistics,SE,3,150
3751,r031,On postdoc in February 2019 -> Years since doctorate -> &#8804; 5 years,Science,Physical sciences,Number,3,4150
3751,r032,On postdoc in February 2019 -> Years since doctorate -> &#8804; 5 years,Science,Physical sciences,SE,3,325
3751,r033,On postdoc in February 2019 -> Years since doctorate -> &#8804; 5 years,Science,Psychology,Number,3,850
3751,r034,On postdoc in February 2019 -> Years since doctorate -> &#8804; 5 years,Science,Psychology,SE,3,150
