table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_hierarchy_depth,field_nasf_millions_a,field_condition_nasf_superior,field_condition_nasf_satisfactory,field_condition_nasf_requires_renovations,field_condition_nasf_requires_replacement
12846,r001,All research space,All research space,,1,228.7,36,43,17,4
12846,r002,All research space -> Agricultural sciences,All research space,Agricultural sciences,2,29.2,25,45,25,5
12846,r003,All research space -> Biological and biomedical sciences,All research space,Biological and biomedical sciences,2,59.4,40,41,15,4
12846,r004,All research space -> Computer and information sciences,All research space,Computer and information sciences,2,4.7,43,45,10,1
12846,r005,All research space -> Engineering,All research space,Engineering,2,39.8,36,44,16,3
12846,r006,"All research space -> Geosciences, atmospheric sciences, and ocean sciences",All research space,"Geosciences, atmospheric sciences, and ocean sciences",2,9.0,29,48,20,3
12846,r007,All research space -> Health sciences,All research space,Health sciences,2,38.2,41,40,15,4
12846,r008,All research space -> Mathematics and statistics,All research space,Mathematics and statistics,2,1.8,27,49,21,3
12846,r009,All research space -> Natural resources and conservation,All research space,Natural resources and conservation,2,4.9,23,45,25,7
12846,r010,All research space -> Physical sciences,All research space,Physical sciences,2,23.4,35,44,17,4
12846,r011,All research space -> Psychology,All research space,Psychology,2,5.8,31,47,16,6
12846,r012,All research space -> Social sciences,All research space,Social sciences,2,6.4,29,52,15,4
12846,r013,All research space -> Other fields of S&E,All research space,Other fields of S&E,2,6.2,45,40,11,4
