table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_hierarchy_depth,field_companies_number_,field_marketing_innovation_number_yes,field_marketing_innovation_number_no,field_marketing_innovation_percent_yes,field_marketing_innovation_percent_no
2596,r001,All companies,All companies,,,1,"['    4,603,606 ', '&nbsp;']","['    1,038,723 ', '&nbsp;']","['    3,564,883 ', '&nbsp;']","['    22.6 ', '&nbsp;']","['    77.4 ', '&nbsp;']"
2596,r002,All companies -> Race,All companies,Race,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2596,r003,All companies -> Race -> White,All companies,Race,White,3,"['    3,946,809 ', '&nbsp;']","['    883,888 ', '&nbsp;']","['    3,062,921 ', '&nbsp;']","['    22.4 ', '&nbsp;']","['    77.6 ', '&nbsp;']"
2596,r004,All companies -> Race -> Asian,All companies,Race,Asian,3,"['    460,617 ', '&nbsp;']","['    105,586 ', '&nbsp;']","['    355,031 ', '&nbsp;']","['    22.9 ', '&nbsp;']","['    77.1 ', '&nbsp;']"
2596,r005,All companies -> Race -> Black or African American,All companies,Race,Black or African American,3,"['    83,640 ', '&nbsp;']","['    19,237 ', '&nbsp;']","['    64,403 ', '&nbsp;']","['    23.0 ', '&nbsp;']","['    77.0 ', '&nbsp;']"
2596,r006,All companies -> Race -> American Indian or Alaska Native,All companies,Race,American Indian or Alaska Native,3,"['    19,983 ', '&nbsp;']","['    5,242 ', '&nbsp;']","['    14,741 ', '&nbsp;']","['    26.2 ', '&nbsp;']","['    73.8 ', '&nbsp;']"
2596,r007,All companies -> Race -> Native Hawaiian or Other Pacific Islander,All companies,Race,Native Hawaiian or Other Pacific Islander,3,"['    5,617 ', '&nbsp;']","['    1,480 ', '&nbsp;']","['    4,138 ', '&nbsp;']","['    26.3 ', '&nbsp;']","['    73.7 ', '&nbsp;']"
2596,r008,All companies -> Ethnicity,All companies,Ethnicity,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2596,r009,All companies -> Ethnicity -> Hispanic or Latino,All companies,Ethnicity,Hispanic or Latino,3,"['    242,652 ', '&nbsp;']","['    59,765 ', '&nbsp;']","['    182,887 ', '&nbsp;']","['    24.6 ', '&nbsp;']","['    75.4 ', '&nbsp;']"
2596,r010,All companies -> Ethnicity -> Equally Hispanic/ Not Hispanic or Latino,All companies,Ethnicity,Equally Hispanic/ Not Hispanic or Latino,3,"['    39,072 ', '&nbsp;']","['    10,862 ', '&nbsp;']","['    28,209 ', '&nbsp;']","['    27.8 ', '&nbsp;']","['    72.2 ', '&nbsp;']"
2596,r011,All companies -> Ethnicity -> Not Hispanic or Latino,All companies,Ethnicity,Not Hispanic or Latino,3,"['    4,229,882 ', '&nbsp;']","['    943,573 ', '&nbsp;']","['    3,286,309 ', '&nbsp;']","['    22.3 ', '&nbsp;']","['    77.7 ', '&nbsp;']"
2596,r012,All companies -> Minority status,All companies,Minority status,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2596,r013,All companies -> Minority status -> Minority,All companies,Minority status,Minority,3,"['    799,368 ', '&nbsp;']","['    187,892 ', '&nbsp;']","['    611,476 ', '&nbsp;']","['    23.5 ', '&nbsp;']","['    76.5 ', '&nbsp;']"
2596,r014,All companies -> Minority status -> Equally minority/ nonminority,All companies,Minority status,Equally minority/ nonminority,3,"['    68,687 ', '&nbsp;']","['    19,121 ', '&nbsp;']","['    49,566 ', '&nbsp;']","['    27.8 ', '&nbsp;']","['    72.2 ', '&nbsp;']"
2596,r015,All companies -> Minority status -> Nonminority,All companies,Minority status,Nonminority,3,"['    3,643,550 ', '&nbsp;']","['    807,187 ', '&nbsp;']","['    2,836,362 ', '&nbsp;']","['    22.2 ', '&nbsp;']","['    77.8 ', '&nbsp;']"
2596,r016,All companies -> Unclassifiable,All companies,Unclassifiable,,2,"['    92,001 ', 'i']","['    24,523 ', 'i']","['    67,478 ', 'i']","['    26.7 ', '&nbsp;']","['    73.3 ', '&nbsp;']"
