table_id,row_id,sex_citizenship_ethnicity_and_race_full_path,sex_citizenship_ethnicity_and_race_level_1,sex_citizenship_ethnicity_and_race_level_2,sex_citizenship_ethnicity_and_race_level_3,sex_citizenship_ethnicity_and_race_level_4,sex_citizenship_ethnicity_and_race_level_5,sex_citizenship_ethnicity_and_race_hierarchy_depth,field_all_fields,field_s_e,field_science_all_sciences,field_science_agricultural_sciences,field_science_biological_sciences,field_science_computer_sciences,field_science_earth_atmospheric_and_ocean_sciences,field_science_mathematics_and_statistics,field_science_physical_sciences,field_science_psychology,field_science_social_sciences,field_engineering,field_s_e_technologiesa_all_s_e_technologies,field_s_e_technologiesa_engineering,field_s_e_technologiesa_health,field_s_e_technologiesa_other
1139,r001,All degrees,All degrees,,,,,1,1017860,88832,83418,2673,5461,30512,152,3029,5390,10602,25599,5414,136580,31704,100796,4080
1139,r002,All degrees -> Female,All degrees,Female,,,,2,622196,41129,40331,1145,3599,6378,57,869,2224,8011,18048,798,88729,4300,83126,1303
1139,r003,All degrees -> Male,All degrees,Male,,,,2,395664,47703,43087,1528,1862,24134,95,2160,3166,2591,7551,4616,47851,27404,17670,2777
1139,r004,All degrees -> U.S. citizen and permanent resident,All degrees,U.S. citizen and permanent resident,,,,2,998456,86661,81484,2645,5346,29845,152,2874,5026,10500,25096,5177,135601,31289,100274,4038
1139,r005,All degrees -> U.S. citizen and permanent resident -> Female,All degrees,U.S. citizen and permanent resident,Female,,,3,611428,40247,39513,1139,3521,6194,57,815,2093,7931,17763,734,88220,4195,82741,1284
1139,r006,All degrees -> U.S. citizen and permanent resident -> Male,All degrees,U.S. citizen and permanent resident,Male,,,3,387028,46414,41971,1506,1825,23651,95,2059,2933,2569,7333,4443,47381,27094,17533,2754
1139,r007,All degrees -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>b</sup>  ,All degrees,U.S. citizen and permanent resident,Hispanic or Latino<sup>b</sup>  ,,,3,196579,21328,20354,180,1619,3771,28,1008,1263,4534,7951,974,21544,4360,16449,735
1139,r008,All degrees -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>b</sup>   -> Female,All degrees,U.S. citizen and permanent resident,Hispanic or Latino<sup>b</sup>  ,Female,,4,122217,11880,11723,82,1098,730,12,261,508,3441,5591,157,13889,603,13025,261
1139,r009,All degrees -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>b</sup>   -> Male,All degrees,U.S. citizen and permanent resident,Hispanic or Latino<sup>b</sup>  ,Male,,4,74362,9448,8631,98,521,3041,16,747,755,1093,2360,817,7655,3757,3424,474
1139,r010,All degrees -> U.S. citizen and permanent resident -> Non-Hispanic or Latino  ,All degrees,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,,,3,801877,65333,61130,2465,3727,26074,124,1866,3763,5966,17145,4203,114057,26929,83825,3303
