table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
8350,r001,Institutions,Institutions,,,,1,114,16.3,85,12.2
8350,r002,Schools,Schools,,,,1,119,15.1,86,10.9
8350,r003,Units,Units,,,,1,146,0.7,102,0.5
8350,r004,All individuals,All individuals,,,,1,1616,100.0,589,100.0
8350,r005,All individuals -> Male,All individuals,Male,,,2,1016,62.9,375,63.7
8350,r006,All individuals -> Female,All individuals,Female,,,2,600,37.1,214,36.3
8350,r007,All individuals -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,U.S. citizens and permanent residents<sup>a</sup>,,,2,690,42.7,na,na
8350,r008,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,50,3.1,na,na
8350,r009,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,,,,
8350,r010,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,2,0.1,na,na
8350,r011,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,187,11.6,na,na
8350,r012,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,24,1.5,na,na
8350,r013,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,1,0.1,na,na
8350,r014,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,353,21.8,na,na
8350,r015,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,13,0.8,na,na
8350,r016,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,3,60,3.7,na,na
8350,r017,All individuals -> Temporary visa holders,All individuals,Temporary visa holders,,,2,926,57.3,na,na
8350,r018,Primary source of support,Primary source of support,,,,1,,,,
8350,r019,Primary source of support -> Federal,Primary source of support,Federal,,,2,952,58.9,na,na
8350,r020,Primary source of support -> Nonfederal<sup>b</sup>,Primary source of support,Nonfederal<sup>b</sup>,,,2,595,36.8,na,na
8350,r021,Primary source of support -> Personal resources,Primary source of support,Personal resources,,,2,7,0.4,na,na
8350,r022,Primary source of support -> Unknown or not stated,Primary source of support,Unknown or not stated,,,2,62,3.8,na,na
8350,r023,Primary mechanism of support,Primary mechanism of support,,,,1,,,,
8350,r024,Primary mechanism of support -> Fellowships,Primary mechanism of support,Fellowships,,,2,150,9.3,na,na
8350,r025,Primary mechanism of support -> Research grants,Primary mechanism of support,Research grants,,,2,1147,71.0,na,na
8350,r026,Primary mechanism of support -> Traineeships,Primary mechanism of support,Traineeships,,,2,55,3.4,na,na
8350,r027,Primary mechanism of support -> Other types of support,Primary mechanism of support,Other types of support,,,2,264,16.3,na,na
8350,r028,Degree type<sup>c</sup>,Degree type<sup>c</sup>,,,,1,,,,
8350,r029,Degree type<sup>c</sup> -> Doctoral degree,Degree type<sup>c</sup>,Doctoral degree,,,2,1202,74.4,466,79.1
8350,r030,Degree type<sup>c</sup> -> Professional degree,Degree type<sup>c</sup>,Professional degree,,,2,70,4.3,34,5.8
8350,r031,Degree type<sup>c</sup> -> Dual degree,Degree type<sup>c</sup>,Dual degree,,,2,26,1.6,9,1.5
8350,r032,Degree type<sup>c</sup> -> Doctoral degree type unknown,Degree type<sup>c</sup>,Doctoral degree type unknown,,,2,318,19.7,80,13.6
8350,r033,Degree origin,Degree origin,,,,1,,,,
8350,r034,Degree origin -> United States,Degree origin,United States,,,2,640,39.6,na,na
8350,r035,Degree origin -> Foreign country,Degree origin,Foreign country,,,2,434,26.9,na,na
8350,r036,Degree origin -> Unknown,Degree origin,Unknown,,,2,542,33.5,na,na
