table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_hierarchy_depth,field_all_u_s_citizen_and_permanent_resident_doctorate_recipients_number_,field_total,field_u_s_citizen_or_permanent_resident_hispanic_or_latino,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_asian,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_black_or_african_american,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_white,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_more_than_one_race,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizen_or_permanent_resident_ethnicity_not_reported
969,r001,All fields,All fields,,,1,35791,100.0,7.1,0.3,9.8,6.7,69.5,2.8,1.3,2.4
969,r002,All fields -> Life sciences,All fields,Life sciences,,2,8857,100.0,6.8,0.3,11.4,6.5,68.4,3.2,1.2,2.1
969,r003,All fields -> Life sciences -> Agricultural sciences and natural resources,All fields,Life sciences,Agricultural sciences and natural resources,3,902,100.0,5.4,0.2,6.9,4.5,74.7,2.1,1.4,4.7
969,r004,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,3,6082,100.0,7.3,0.2,12.7,4.9,68.9,3.4,1.1,1.6
969,r005,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,3,1873,100.0,6.2,0.5,9.7,12.8,63.8,3.2,1.5,2.3
969,r006,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,2,3717,100.0,5.8,0.2,9.6,2.5,76.0,3.0,1.4,1.5
969,r007,All fields -> Physical sciences and earth sciences -> Chemistry,All fields,Physical sciences and earth sciences,Chemistry,3,1691,100.0,5.7,0.2,10.6,3.3,73.7,3.4,1.4,1.7
969,r008,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",3,787,100.0,6.9,0.3,5.8,1.8,79.8,2.7,1.5,1.3
969,r009,All fields -> Physical sciences and earth sciences -> Physics and astronomy,All fields,Physical sciences and earth sciences,Physics and astronomy,3,1239,100.0,5.3,0.0,10.6,2.0,76.7,2.7,1.2,1.5
969,r010,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,2,1746,100.0,4.5,0.1,15.8,2.8,67.6,2.9,2.3,4.0
969,r011,All fields -> Mathematics and computer sciences -> Computer and information sciences,All fields,Mathematics and computer sciences,Computer and information sciences,3,796,100.0,5.4,0.0,17.5,4.0,64.7,2.6,2.1,3.6
969,r012,All fields -> Mathematics and computer sciences -> Mathematics and statistics ,All fields,Mathematics and computer sciences,Mathematics and statistics ,3,950,100.0,3.8,0.1,14.4,1.8,70.1,3.1,2.4,4.3
