table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_hierarchy_depth,field_companies_number_,field_product_innovation_number_yes,field_product_innovation_number_no,field_product_innovation_percent_yes,field_product_innovation_percent_no
2588,r001,All companies ,All companies ,,,1,"['    4,603,606 ', '&nbsp;']","['    821,671 ', '&nbsp;']","['    3,781,935 ', '&nbsp;']","['    17.8 ', '&nbsp;']","['    82.2 ', '&nbsp;']"
2588,r002,All companies  -> Race,All companies ,Race,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2588,r003,All companies  -> Race -> White,All companies ,Race,White,3,"['    3,946,809 ', '&nbsp;']","['    705,571 ', '&nbsp;']","['    3,241,238 ', '&nbsp;']","['    17.9 ', '&nbsp;']","['    82.1 ', '&nbsp;']"
2588,r004,All companies  -> Race -> Asian,All companies ,Race,Asian,3,"['    460,617 ', '&nbsp;']","['    79,149 ', '&nbsp;']","['    381,468 ', '&nbsp;']","['    17.2 ', '&nbsp;']","['    82.8 ', '&nbsp;']"
2588,r005,All companies  -> Race -> Black or African American,All companies ,Race,Black or African American,3,"['    83,640 ', '&nbsp;']","['    15,771 ', '&nbsp;']","['    67,869 ', '&nbsp;']","['    18.9 ', '&nbsp;']","['    81.1 ', '&nbsp;']"
2588,r006,All companies  -> Race -> American Indian or Alaska Native,All companies ,Race,American Indian or Alaska Native,3,"['    19,983 ', '&nbsp;']","['    4,267 ', '&nbsp;']","['    15,716 ', '&nbsp;']","['    21.4 ', '&nbsp;']","['    78.6 ', '&nbsp;']"
2588,r007,All companies  -> Race -> Native Hawaiian or Other Pacific Islander,All companies ,Race,Native Hawaiian or Other Pacific Islander,3,"['    5,617 ', '&nbsp;']","['    1,053 ', '&nbsp;']","['    4,564 ', '&nbsp;']","['    18.7 ', '&nbsp;']","['    81.3 ', '&nbsp;']"
2588,r008,All companies  -> Ethnicity,All companies ,Ethnicity,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2588,r009,All companies  -> Ethnicity -> Hispanic or Latino,All companies ,Ethnicity,Hispanic or Latino,3,"['    242,652 ', '&nbsp;']","['    43,120 ', '&nbsp;']","['    199,531 ', '&nbsp;']","['    17.8 ', '&nbsp;']","['    82.2 ', '&nbsp;']"
2588,r010,All companies  -> Ethnicity -> Equally Hispanic/ Not Hispanic or Latino,All companies ,Ethnicity,Equally Hispanic/ Not Hispanic or Latino,3,"['    39,072 ', '&nbsp;']","['    7,941 ', '&nbsp;']","['    31,131 ', '&nbsp;']","['    20.3 ', '&nbsp;']","['    79.7 ', '&nbsp;']"
2588,r011,All companies  -> Ethnicity -> Not Hispanic or Latino,All companies ,Ethnicity,Not Hispanic or Latino,3,"['    4,229,882 ', '&nbsp;']","['    753,287 ', '&nbsp;']","['    3,476,595 ', '&nbsp;']","['    17.8 ', '&nbsp;']","['    82.2 ', '&nbsp;']"
2588,r012,All companies  -> Minority status,All companies ,Minority status,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2588,r013,All companies  -> Minority status -> Minority,All companies ,Minority status,Minority,3,"['    799,368 ', '&nbsp;']","['    140,672 ', '&nbsp;']","['    658,696 ', '&nbsp;']","['    17.6 ', '&nbsp;']","['    82.4 ', '&nbsp;']"
2588,r014,All companies  -> Minority status -> Equally minority/ nonminority,All companies ,Minority status,Equally minority/ nonminority,3,"['    68,687 ', '&nbsp;']","['    14,498 ', '&nbsp;']","['    54,190 ', '&nbsp;']","['    21.1 ', '&nbsp;']","['    78.9 ', '&nbsp;']"
2588,r015,All companies  -> Minority status -> Nonminority,All companies ,Minority status,Nonminority,3,"['    3,643,550 ', '&nbsp;']","['    649,178 ', '&nbsp;']","['    2,994,371 ', '&nbsp;']","['    17.8 ', '&nbsp;']","['    82.2 ', '&nbsp;']"
2588,r016,All companies  -> Unclassifiable,All companies ,Unclassifiable,,2,"['    92,001 ', 'i']","['    17,323 ', 'i']","['    74,679 ', 'i']","['    18.8 ', '&nbsp;']","['    81.2 ', '&nbsp;']"
