table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_hierarchy_depth,field_total,field_r_d,field_r_d_plant,field_total_by_performers_intramural_and_ffrdcs,field_total_by_performers_percentage_of_total,field_total_by_performers_extramural_performers,field_total_by_performers_percentage_of_total
6315,r001,All agencies,All agencies,,1,173552.9,167402.8,6150.1,69611.2,40.1,103941.6,59.9
6315,r002,All agencies -> Department of Defense,All agencies,Department of Defense,2,67006.8,66695.0,311.7,24786.1,37.0,42220.7,63.0
6315,r003,All agencies -> Department of Health and Human Services,All agencies,Department of Health and Human Services,2,61774.8,60005.7,1769.0,21762.9,35.2,40011.8,64.8
6315,r004,All agencies -> Department of Energy,All agencies,Department of Energy,2,15778.0,13453.0,2325.0,10347.0,65.6,5431.0,34.4
6315,r005,All agencies -> National Aeronautics and Space Administration,All agencies,National Aeronautics and Space Administration,2,10573.6,10537.8,35.8,4835.0,45.7,5738.7,54.3
6315,r006,All agencies -> National Science Foundation,All agencies,National Science Foundation,2,6792.5,6351.2,441.4,287.6,4.2,6504.9,95.8
6315,r007,All agencies -> Department of Agriculture,All agencies,Department of Agriculture,2,3433.5,2643.6,789.8,2479.6,72.2,953.9,27.8
6315,r008,All agencies -> Department of Commerce,All agencies,Department of Commerce,2,1980.9,1621.7,359.1,1576.2,79.6,404.7,20.4
6315,r009,All agencies -> Department of Veterans Affairs,All agencies,Department of Veterans Affairs,2,1565.1,1565.1,0.0,1565.1,100.0,0.0,0.0
6315,r010,All agencies -> Department of Transportation,All agencies,Department of Transportation,2,1224.5,1184.2,40.3,298.1,24.3,926.4,75.7
6315,r011,All agencies -> Department of the Interior,All agencies,Department of the Interior,2,844.4,837.2,7.2,722.2,85.5,122.2,14.5
6315,r012,All agencies -> Department of Homeland Security,All agencies,Department of Homeland Security,2,507.5,507.5,0.0,224.5,44.2,283.0,55.8
6315,r013,All agencies -> Environmental Protection Agency,All agencies,Environmental Protection Agency,2,493.0,488.5,4.5,246.0,49.9,247.0,50.1
6315,r014,All agencies -> Patient-Centered Outcomes Research Trust Fund,All agencies,Patient-Centered Outcomes Research Trust Fund,2,469.7,469.7,0.0,0.0,0.0,469.7,100.0
6315,r015,All agencies -> Smithsonian Institution,All agencies,Smithsonian Institution,2,276.0,209.8,66.2,276.0,100.0,0.0,0.0
6315,r016,All agencies -> Department of Education,All agencies,Department of Education,2,240.1,240.1,0.0,10.5,4.4,229.6,95.6
6315,r017,All agencies -> Agency for International Development,All agencies,Agency for International Development,2,194.3,194.3,0.0,19.7,10.2,174.6,89.8
6315,r018,All agencies -> Department of Justice,All agencies,Department of Justice,2,96.4,96.4,0.0,10.9,11.3,85.5,88.7
6315,r019,All agencies -> Social Security Administration,All agencies,Social Security Administration,2,69.7,69.7,0.0,37.2,53.4,32.5,46.6
6315,r020,All agencies -> All other agencies,All agencies,All other agencies,2,232.0,232.0,0.0,126.6,54.6,105.4,45.4
