table_id,row_id,demographic_characteristic_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,demographic_characteristic_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,demographic_characteristic_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,demographic_characteristic_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,demographic_characteristic_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,demographic_characteristic_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total_both_sexes,field_total_female,field_total_male,field_without_disability_both_sexes,field_without_disability_female,field_without_disability_male,field_with_disability_both_sexes,field_with_disability_female,field_with_disability_male
1278,r001,Employed scientists and engineers (number),Employed scientists and engineers (number),,,,1,27273000,13002000,14271000,24454000,11785000,12668000,2820000,1217000,1603000
1278,r002,Employed scientists and engineers (number) -> Age (years),Employed scientists and engineers (number),Age (years),,,2,,,,,,,,,
1278,r003,Employed scientists and engineers (number) -> Age (years) -> 29 and younger,Employed scientists and engineers (number),Age (years),29 and younger,,3,14.8,17.5,12.3,15.3,18.2,12.7,9.8,10.8,9.0
1278,r004,Employed scientists and engineers (number) -> Age (years) -> 30&#8211;39,Employed scientists and engineers (number),Age (years),30&#8211;39,,3,26.4,27.5,25.5,27.8,28.2,27.3,14.9,20.0,11.0
1278,r005,Employed scientists and engineers (number) -> Age (years) -> 40&#8211;49,Employed scientists and engineers (number),Age (years),40&#8211;49,,3,22.9,23.2,22.6,23.3,23.5,23.1,19.6,20.7,18.8
1278,r006,Employed scientists and engineers (number) -> Age (years) -> 50&#8211;75,Employed scientists and engineers (number),Age (years),50&#8211;75,,3,35.9,31.8,39.6,33.6,30.1,36.8,55.7,48.4,61.1
1278,r007,Employed scientists and engineers (number) -> Ethnicity and race,Employed scientists and engineers (number),Ethnicity and race,,,2,,,,,,,,,
1278,r008,Employed scientists and engineers (number) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Employed scientists and engineers (number),Ethnicity and race,Hispanic or Latino<sup>a</sup>,,3,8.5,9.5,7.7,8.3,9.3,7.4,10.5,11.8,9.5
1278,r009,Employed scientists and engineers (number) -> Ethnicity and race -> Not Hispanic or Latino,Employed scientists and engineers (number),Ethnicity and race,Not Hispanic or Latino,,3,,,,,,,,,
1278,r010,Employed scientists and engineers (number) -> Ethnicity and race -> Not Hispanic or Latino -> American Indian or Alaska Native,Employed scientists and engineers (number),Ethnicity and race,Not Hispanic or Latino,American Indian or Alaska Native,4,0.3,0.3,0.3,0.3,0.3,0.3,0.5,S,0.4
1278,r011,Employed scientists and engineers (number) -> Ethnicity and race -> Not Hispanic or Latino -> Asian,Employed scientists and engineers (number),Ethnicity and race,Not Hispanic or Latino,Asian,4,13.0,11.9,14.0,13.4,12.2,14.6,9.2,9.2,9.2
1278,r012,Employed scientists and engineers (number) -> Ethnicity and race -> Not Hispanic or Latino -> Black or African American,Employed scientists and engineers (number),Ethnicity and race,Not Hispanic or Latino,Black or African American,4,7.4,9.0,5.9,7.3,8.8,5.9,7.8,10.4,5.8
1278,r013,Employed scientists and engineers (number) -> Ethnicity and race -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Employed scientists and engineers (number),Ethnicity and race,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,0.2,0.2,0.3,0.2,0.2,0.3,0.2,S,S
1278,r014,Employed scientists and engineers (number) -> Ethnicity and race -> Not Hispanic or Latino -> White,Employed scientists and engineers (number),Ethnicity and race,Not Hispanic or Latino,White,4,68.7,67.0,70.3,68.6,67.2,69.9,70.0,65.1,73.8
1278,r015,Employed scientists and engineers (number) -> Ethnicity and race -> Not Hispanic or Latino -> More than one race,Employed scientists and engineers (number),Ethnicity and race,Not Hispanic or Latino,More than one race,4,1.8,2.1,1.5,1.8,2.1,1.6,1.8,2.7,1.1
1278,r016,Employed scientists and engineers (number) -> Marital status,Employed scientists and engineers (number),Marital status,,,2,,,,,,,,,
1278,r017,Employed scientists and engineers (number) -> Marital status -> Married,Employed scientists and engineers (number),Marital status,Married,,3,71.5,66.1,76.4,71.8,66.8,76.5,68.8,59.4,75.8
1278,r018,Employed scientists and engineers (number) -> Marital status -> Widowed,Employed scientists and engineers (number),Marital status,Widowed,,3,1.0,1.5,0.6,0.9,1.3,0.5,2.1,3.5,1.1
1278,r019,Employed scientists and engineers (number) -> Marital status -> Separated,Employed scientists and engineers (number),Marital status,Separated,,3,0.9,1.3,0.7,0.9,1.3,0.6,1.0,1.3,0.9
1278,r020,Employed scientists and engineers (number) -> Marital status -> Divorced,Employed scientists and engineers (number),Marital status,Divorced,,3,7.2,9.3,5.2,6.7,8.6,4.8,11.5,15.9,8.2
1278,r021,Employed scientists and engineers (number) -> Marital status -> Never married,Employed scientists and engineers (number),Marital status,Never married,,3,19.4,21.8,17.2,19.7,22.0,17.6,16.6,19.8,14.1
1278,r022,"Employed scientists and engineers (number) -> If married, spouse's employment status",Employed scientists and engineers (number),"If married, spouse's employment status",,,2,,,,,,,,,
1278,r023,"Employed scientists and engineers (number) -> If married, spouse's employment status -> Employed",Employed scientists and engineers (number),"If married, spouse's employment status",Employed,,3,77.4,87.0,69.8,77.7,87.4,69.9,74.5,83.1,69.5
1278,r024,"Employed scientists and engineers (number) -> If married, spouse's employment status -> Employed -> Full-time",Employed scientists and engineers (number),"If married, spouse's employment status",Employed,Full-time,4,64.6,80.8,51.8,65.2,81.2,52.1,59.7,76.8,49.6
1278,r025,"Employed scientists and engineers (number) -> If married, spouse's employment status -> Employed -> Part-time",Employed scientists and engineers (number),"If married, spouse's employment status",Employed,Part-time,4,12.8,6.2,18.0,12.6,6.2,17.7,14.8,6.4,19.8
1278,r026,"Employed scientists and engineers (number) -> If married, spouse's employment status -> Not employed",Employed scientists and engineers (number),"If married, spouse's employment status",Not employed,,3,22.6,13.0,30.2,22.3,12.6,30.1,25.4,16.9,30.5
1278,r027,"Employed scientists and engineers (number) -> If spouse is employed, field in which spouse's job required a bachelor's",Employed scientists and engineers (number),"If spouse is employed, field in which spouse's job required a bachelor's",,,2,,,,,,,,,
1278,r028,"Employed scientists and engineers (number) -> If spouse is employed, field in which spouse's job required a bachelor's -> Engineering, computer science, math, or natural sciences",Employed scientists and engineers (number),"If spouse is employed, field in which spouse's job required a bachelor's","Engineering, computer science, math, or natural sciences",,3,26.5,32.3,20.7,27.1,32.8,21.4,20.2,26.5,15.6
1278,r029,"Employed scientists and engineers (number) -> If spouse is employed, field in which spouse's job required a bachelor's -> Social sciences",Employed scientists and engineers (number),"If spouse is employed, field in which spouse's job required a bachelor's",Social sciences,,3,12.5,9.2,15.7,12.4,9.1,15.8,13.3,10.3,15.4
1278,r030,"Employed scientists and engineers (number) -> If spouse is employed, field in which spouse's job required a bachelor's -> Other",Employed scientists and engineers (number),"If spouse is employed, field in which spouse's job required a bachelor's",Other,,3,39.0,33.8,44.2,39.0,34.0,44.0,39.7,31.6,45.5
1278,r031,Employed scientists and engineers (number) -> Children living in household,Employed scientists and engineers (number),Children living in household,,,2,,,,,,,,,
1278,r032,Employed scientists and engineers (number) -> Children living in household -> No,Employed scientists and engineers (number),Children living in household,No,,3,52.5,52.9,52.0,52.0,52.6,51.4,56.3,55.6,56.8
1278,r033,Employed scientists and engineers (number) -> Children living in household -> Yes,Employed scientists and engineers (number),Children living in household,Yes,,3,47.6,47.1,48.0,48.0,47.4,48.6,43.7,44.4,43.2
1278,r034,Employed scientists and engineers (number) -> Citizenship,Employed scientists and engineers (number),Citizenship,,,2,,,,,,,,,
1278,r035,Employed scientists and engineers (number) -> Citizenship -> U.S. citizen,Employed scientists and engineers (number),Citizenship,U.S. citizen,,3,92.8,94.8,91.0,92.3,94.5,90.3,96.8,97.5,96.3
1278,r036,Employed scientists and engineers (number) -> Citizenship -> U.S. citizen -> Native,Employed scientists and engineers (number),Citizenship,U.S. citizen,Native,4,80.4,82.9,78.0,79.7,82.6,77.1,85.7,85.9,85.6
1278,r037,Employed scientists and engineers (number) -> Citizenship -> U.S. citizen -> Naturalized,Employed scientists and engineers (number),Citizenship,U.S. citizen,Naturalized,4,12.4,11.8,12.9,12.6,11.8,13.2,11.1,11.7,10.7
1278,r038,Employed scientists and engineers (number) -> Citizenship -> Non-U.S. citizen,Employed scientists and engineers (number),Citizenship,Non-U.S. citizen,,3,7.2,5.2,9.0,7.7,5.5,9.7,3.2,2.5,3.7
1278,r039,Employed scientists and engineers (number) -> Citizenship -> Non-U.S. citizen -> Permanent resident,Employed scientists and engineers (number),Citizenship,Non-U.S. citizen,Permanent resident,4,4.0,3.1,4.7,4.1,3.3,4.9,2.4,1.7,2.9
1278,r040,Employed scientists and engineers (number) -> Citizenship -> Non-U.S. citizen -> Temporary resident,Employed scientists and engineers (number),Citizenship,Non-U.S. citizen,Temporary resident,4,3.3,2.1,4.3,3.5,2.2,4.8,0.8,0.7,0.8
