table_id,row_id,class_prevalence_2015_2017_2019_full_path,class_prevalence_2015_2017_2019_level_1,class_prevalence_2015_2017_2019_level_2,class_prevalence_2015_2017_2019_hierarchy_depth,field_response_very_important_2015,field_response_very_important_2017,field_response_very_important_2019,field_response_somewhat_important_2015,field_response_somewhat_important_2017,field_response_somewhat_important_2019,field_response_unimportant_2015,field_response_unimportant_2017,field_response_unimportant_2019
6775,r001,"Class 1 (27.5, 27.7, 28.8%): Everything Is Very Important","Class 1 (27.5, 27.7, 28.8%): Everything Is Very Important",,1,,,,,,,,,
6775,r002,"Class 1 (27.5, 27.7, 28.8%): Everything Is Very Important -> Salary","Class 1 (27.5, 27.7, 28.8%): Everything Is Very Important",Salary,2,0.889,0.879,0.884,0.109,0.118,0.115,0.002,0.003,0.001
6775,r003,"Class 1 (27.5, 27.7, 28.8%): Everything Is Very Important -> Benefits","Class 1 (27.5, 27.7, 28.8%): Everything Is Very Important",Benefits,2,0.951,0.96,0.967,0.041,0.031,0.029,0.008,0.009,0.004
6775,r004,"Class 1 (27.5, 27.7, 28.8%): Everything Is Very Important -> Security","Class 1 (27.5, 27.7, 28.8%): Everything Is Very Important",Security,2,0.859,0.886,0.894,0.124,0.101,0.093,0.018,0.013,0.013
6775,r005,"Class 1 (27.5, 27.7, 28.8%): Everything Is Very Important -> Location","Class 1 (27.5, 27.7, 28.8%): Everything Is Very Important",Location,2,0.709,0.756,0.755,0.269,0.221,0.226,0.022,0.023,0.019
6775,r006,"Class 1 (27.5, 27.7, 28.8%): Everything Is Very Important -> Advancement","Class 1 (27.5, 27.7, 28.8%): Everything Is Very Important",Advancement,2,0.72,0.795,0.807,0.228,0.175,0.167,0.052,0.031,0.026
6775,r007,"Class 1 (27.5, 27.7, 28.8%): Everything Is Very Important -> Challenge","Class 1 (27.5, 27.7, 28.8%): Everything Is Very Important",Challenge,2,0.988,0.992,0.988,0.012,0.008,0.011,0.0,0.0,0.0
6775,r008,"Class 1 (27.5, 27.7, 28.8%): Everything Is Very Important -> Responsibility","Class 1 (27.5, 27.7, 28.8%): Everything Is Very Important",Responsibility,2,0.88,0.885,0.872,0.115,0.111,0.122,0.005,0.004,0.005
6775,r009,"Class 1 (27.5, 27.7, 28.8%): Everything Is Very Important -> Independence","Class 1 (27.5, 27.7, 28.8%): Everything Is Very Important",Independence,2,0.948,0.959,0.952,0.052,0.04,0.047,0.0,0.001,0.001
6775,r010,"Class 1 (27.5, 27.7, 28.8%): Everything Is Very Important -> Contribution","Class 1 (27.5, 27.7, 28.8%): Everything Is Very Important",Contribution,2,0.836,0.864,0.862,0.146,0.12,0.124,0.018,0.015,0.014
