table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_all_education_fields,field_education_administration,field_education_research,field_teacher_education,field_teaching_fields,field_other_education
4631,r001,All doctorate recipients (number)<sup>a</sup>,All doctorate recipients (number)<sup>a</sup>,,,,1,4716,927,2312,113,940,424
4631,r002,All doctorate recipients (number)<sup>a</sup> -> Sex (%),All doctorate recipients (number)<sup>a</sup>,Sex (%),,,2,,,,,,
4631,r003,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Male,All doctorate recipients (number)<sup>a</sup>,Sex (%),Male,,3,30.9,37.3,29.2,24.8,31.1,27.1
4631,r004,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Female,All doctorate recipients (number)<sup>a</sup>,Sex (%),Female,,3,69.1,62.6,70.8,75.2,68.9,72.9
4631,r005,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Sex (%),Unknown,,3,0.05,0.1,0.0,0.0,0.0,0.0
4631,r006,All doctorate recipients (number)<sup>a</sup> -> Citizenship (%),All doctorate recipients (number)<sup>a</sup>,Citizenship (%),,,2,,,,,,
4631,r007,All doctorate recipients (number)<sup>a</sup> -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Citizenship (%),U.S. citizen or permanent resident,,3,82.6,88.2,81.0,83.2,79.9,85.1
4631,r008,All doctorate recipients (number)<sup>a</sup> -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Citizenship (%),Temporary visa holder,,3,14.0,6.4,16.7,15.9,17.3,8.0
4631,r009,All doctorate recipients (number)<sup>a</sup> -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Citizenship (%),Unknown,,3,3.4,5.4,2.3,0.9,2.8,6.8
4631,r010,All doctorate recipients (number)<sup>a</sup> -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Marital status (%),,,2,,,,,,
