table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_anthropology,field_economics,field_political_science,field_sociology,field_other_social_sciences
3923,r001,All agencies surveyed,All agencies surveyed,,,,,1,377091.2,19765.8,83407.6,10281.0,31205.3,232431.6
3923,r002,All agencies surveyed -> Departments,All agencies surveyed,Departments,,,,2,,,,,,
3923,r003,All agencies surveyed -> Departments -> Department of Agriculture,All agencies surveyed,Departments,Department of Agriculture,,,3,86311.4,0.0,62189.9,0.0,23020.8,1100.8
3923,r004,All agencies surveyed -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies surveyed,Departments,Department of Agriculture,Agricultural Research Service,,4,275.0,0.0,275.0,0.0,0.0,0.0
3923,r005,All agencies surveyed -> Departments -> Department of Agriculture -> Economic Research Service,All agencies surveyed,Departments,Department of Agriculture,Economic Research Service,,4,3680.9,0.0,3680.9,0.0,0.0,0.0
3923,r006,All agencies surveyed -> Departments -> Department of Agriculture -> Forest Service,All agencies surveyed,Departments,Department of Agriculture,Forest Service,,4,2592.7,0.0,1100.4,0.0,391.6,1100.8
3923,r007,All agencies surveyed -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies surveyed,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,78650.3,0.0,56021.1,0.0,22629.2,0.0
3923,r008,All agencies surveyed -> Departments -> Department of Agriculture -> Rural Business-Cooperative Service,All agencies surveyed,Departments,Department of Agriculture,Rural Business-Cooperative Service,,4,1112.5,0.0,1112.5,0.0,0.0,0.0
3923,r009,All agencies surveyed -> Departments -> Department of Defense,All agencies surveyed,Departments,Department of Defense,,,3,21377.9,0.0,0.0,0.0,0.0,21377.9
3923,r010,All agencies surveyed -> Departments -> Department of Defense -> Department of the Air Force,All agencies surveyed,Departments,Department of Defense,Department of the Air Force,,4,2600.6,0.0,0.0,0.0,0.0,2600.6
3923,r011,All agencies surveyed -> Departments -> Department of Defense -> Department of the Army,All agencies surveyed,Departments,Department of Defense,Department of the Army,,4,2306.1,0.0,0.0,0.0,0.0,2306.1
3923,r012,All agencies surveyed -> Departments -> Department of Defense -> Department of the Navy,All agencies surveyed,Departments,Department of Defense,Department of the Navy,,4,4373.0,0.0,0.0,0.0,0.0,4373.0
3923,r013,All agencies surveyed -> Departments -> Department of Defense -> Other defense agencies,All agencies surveyed,Departments,Department of Defense,Other defense agencies,,4,12098.1,0.0,0.0,0.0,0.0,12098.1
3923,r014,All agencies surveyed -> Departments -> Department of Health and Human Services,All agencies surveyed,Departments,Department of Health and Human Services,,,3,97622.3,36.1,3429.1,0.0,0.0,94157.1
3923,r015,All agencies surveyed -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies surveyed,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,,4,10152.3,36.1,3429.1,0.0,0.0,6687.1
3923,r016,All agencies surveyed -> Departments -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies surveyed,Departments,Department of Health and Human Services,Health Resources and Services Administration,,4,2265.5,0.0,0.0,0.0,0.0,2265.5
3923,r017,All agencies surveyed -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies surveyed,Departments,Department of Health and Human Services,National Institutes of Health,,4,83058.8,0.0,0.0,0.0,0.0,83058.8
3923,r018,All agencies surveyed -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services,All agencies surveyed,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,,4,2145.7,0.0,0.0,0.0,0.0,2145.7
3923,r019,All agencies surveyed -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services -> Office of the Assistant Secretary for Planning and Evaluation,All agencies surveyed,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,Office of the Assistant Secretary for Planning and Evaluation,5,2145.7,0.0,0.0,0.0,0.0,2145.7
3923,r020,All agencies surveyed -> Other agencies,All agencies surveyed,Other agencies,,,,2,,,,,,
3923,r021,All agencies surveyed -> Other agencies -> National Science Foundation,All agencies surveyed,Other agencies,National Science Foundation,,,3,171779.5,19729.7,17788.5,10281.0,8184.5,115795.8
