table_id,row_id,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_sex_female,field_sex_male,field_race_and_ethnicity_white,field_race_and_ethnicity_asian,field_race_and_ethnicity_black_or_african_american,field_race_and_ethnicity_hispanic_or_latinoa,field_race_and_ethnicity_american_indian_or_alaska_native,field_race_and_ethnicity_native_hawaiian_or_other_pacific_islander,field_race_and_ethnicity_more_than_one_race,field_disability_status_without_disability,field_disability_status_with_disability
1201,r001,Total (number),Total (number),,,,,1,223400,78300,145100,163000,37650,8700,10450,450,200,2900,201650,21800
1201,r002,Total (number) -> With federal support (number),Total (number),With federal support (number),,,,2,91350,28600,62750,67450,16150,2900,3650,200,100,950,83500,7850
1201,r003,Total (number) -> All occupations (percent with federal support),Total (number),All occupations (percent with federal support),,,,2,40.9,36.5,43.2,41.4,42.9,33,34.8,41.5,35.8,33,41.4,36
1201,r004,Total (number) -> All occupations (percent with federal support) -> S&E occupations<sup>b</sup>,Total (number),All occupations (percent with federal support),S&E occupations<sup>b</sup>,,,3,43.1,38.5,45.2,43.5,45.8,36.1,34.9,44.8,38.8,33.3,43.7,37
1201,r005,Total (number) -> All occupations (percent with federal support) -> S&E occupations<sup>b</sup> -> Science occupations,Total (number),All occupations (percent with federal support),S&E occupations<sup>b</sup>,Science occupations,,4,40.8,37,42.8,41.6,41.8,33.7,32.8,38.2,41.8,32.9,41.5,34.4
1201,r006,Total (number) -> All occupations (percent with federal support) -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist,Total (number),All occupations (percent with federal support),S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,5,58.3,54.6,60.2,57.9,63.6,59.6,45.1,67.2,85.1,48.9,58.9,51.7
1201,r007,Total (number) -> All occupations (percent with federal support) -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,Total (number),All occupations (percent with federal support),S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,5,47.4,45.9,47.7,50.1,45.1,37.9,26.9,,,,46.9,52.1
1201,r008,Total (number) -> All occupations (percent with federal support) -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,Total (number),All occupations (percent with federal support),S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,5,34.6,39.1,33.2,37.6,24.7,31.8,36.2,,,S,36.3,20.6
1201,r009,Total (number) -> All occupations (percent with federal support) -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,Total (number),All occupations (percent with federal support),S&E occupations<sup>b</sup>,Science occupations,Physical scientist,5,51.4,47.6,52.6,51.9,51.1,45.4,50,,,46.9,51.7,49.1
1201,r010,Total (number) -> All occupations (percent with federal support) -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,Total (number),All occupations (percent with federal support),S&E occupations<sup>b</sup>,Science occupations,Psychologist,5,29.5,27.8,31.5,30.1,23.9,30.4,29.7,,,26.8,30.2,23.4
1201,r011,Total (number) -> All occupations (percent with federal support) -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,Total (number),All occupations (percent with federal support),S&E occupations<sup>b</sup>,Science occupations,Social scientist,5,19.7,20.3,19.2,20.9,15.8,18.3,13.1,,,18.5,20.1,16
1201,r012,Total (number) -> All occupations (percent with federal support) -> S&E occupations<sup>b</sup> -> Engineer,Total (number),All occupations (percent with federal support),S&E occupations<sup>b</sup>,Engineer,,4,56.6,57.7,56.4,57.5,57.3,51.8,48.1,,,37.1,57.2,51.8
1201,r013,Total (number) -> All occupations (percent with federal support) -> S&E-related occupations<sup>c</sup>,Total (number),All occupations (percent with federal support),S&E-related occupations<sup>c</sup>,,,3,41.1,37,46,41.8,38.1,37.2,47.6,S,,46.4,41.2,40.9
1201,r014,Total (number) -> All occupations (percent with federal support) -> Non-S&E occupations,Total (number),All occupations (percent with federal support),Non-S&E occupations,,,3,26.9,26.5,27.1,28.2,24.1,18.1,24.2,,,23.4,26.9,27.1
