table_id,row_id,_b_agency_or_facility_b_full_path,_b_agency_or_facility_b_level_1,_b_agency_or_facility_b_level_2,_b_agency_or_facility_b_level_3,_b_agency_or_facility_b_level_4,_b_agency_or_facility_b_level_5,_b_agency_or_facility_b_level_6,_b_agency_or_facility_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_businesses,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_organizations,field_any_public_private_partnership_fundinga
12493,r001,All agencies,All agencies,,,,,,1,"['34,497,051', ' ']","['34,067,764', ' ']","['117,132', ' ']","['72,294', ' ']","['11,485', ' ']","['228,376', ' ']",Yes
12493,r002,All agencies -> Department of Agriculture,All agencies,Department of Agriculture,,,,,2,"['1,685,343', '']","['1,661,254', 'i']","['8,510', ' ']","['974', ' ']","['1,963', ' ']","['12,643', ' ']",Yes
12493,r003,All agencies -> Department of Agriculture -> Agricultural Research Service,All agencies,Department of Agriculture,Agricultural Research Service,,,,3,"['1,237,476', '']","['1,237,476', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",No
12493,r004,All agencies -> Department of Agriculture -> Agricultural Research Service -> Midwest Area,All agencies,Department of Agriculture,Agricultural Research Service,Midwest Area,,,4,"['165,788', '']","['165,788', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",No
12493,r005,All agencies -> Department of Agriculture -> Agricultural Research Service -> Northeast Area,All agencies,Department of Agriculture,Agricultural Research Service,Northeast Area,,,4,"['261,199', '']","['261,199', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",No
12493,r006,All agencies -> Department of Agriculture -> Agricultural Research Service -> Pacific West Area,All agencies,Department of Agriculture,Agricultural Research Service,Pacific West Area,,,4,"['208,801', '']","['208,801', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",No
12493,r007,All agencies -> Department of Agriculture -> Agricultural Research Service -> Plains Area,All agencies,Department of Agriculture,Agricultural Research Service,Plains Area,,,4,"['314,563', '']","['314,563', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",No
12493,r008,All agencies -> Department of Agriculture -> Agricultural Research Service -> Southeast Area,All agencies,Department of Agriculture,Agricultural Research Service,Southeast Area,,,4,"['287,125', '']","['287,125', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",No
12493,r009,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,,,,3,"['48,982', '']","['36,005', '']","['1,946', '']","['0', '']","['0', '']","['11,030', '']",Yes
12493,r010,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service -> Forest Pest Methods Laboratory,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,Forest Pest Methods Laboratory,,,4,"['6,618', '']","['6,618', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
