table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2018,field_2019,field_2020,field_2021_all_physical_sciences,field_2021_astronomy_and_astrophysics,field_2021_chemistry,field_2021_materials_science,field_2021_physics,field_2021_physical_sciences_nec
7990,r001,All institutions,All institutions,,1,-,"['3,472,575', '']","['3,691,480', '']","['3,790,522', '']","['3,852,415', '']","['509,733', '']","['1,239,825', '']","['174,331', '']","['1,767,740', '']","['160,786', '']"
7990,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['229,887', '']","['306,572', '']","['372,067', '']","['321,641', '']","['59,051', '']","['22,938', '']","['4,438', '']","['215,073', '']","['20,141', '']"
7990,r003,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,2,"['155,495', '']","['156,658', '']","['178,896', '']","['160,456', '']","['43,935', '']","['22,573', '']","['15,763', '']","['78,185', '']","['0', '']"
7990,r004,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,3,"['111,792', '']","['95,267', '']","['100,092', '']","['122,143', '']","['64', '']","['8,166', '']","['0', '']","['113,913', '']","['0', '']"
7990,r005,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,4,"['96,347', '']","['94,635', '']","['105,097', '']","['114,108', '']","['29,713', '']","['22,959', '']","['2,718', '']","['45,000', '']","['13,718', '']"
7990,r006,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,5,"['78,424', '']","['99,527', '']","['106,414', '']","['111,234', '']","['33,677', '']","['7,132', '']","['0', '']","['64,351', '']","['6,074', '']"
7990,r007,All institutions -> Cornell U.,All institutions,Cornell U.,2,6,"['86,823', '']","['95,625', '']","['96,374', '']","['93,608', '']","['6,746', '']","['19,666', '']","['1,459', '']","['43,263', '']","['22,474', '']"
7990,r008,All institutions -> U. Rochester,All institutions,U. Rochester,2,7,"['88,080', '']","['106,520', '']","['94,572', '']","['92,680', '']","['0', '']","['4,519', '']","['0', '']","['88,161', '']","['0', '']"
7990,r009,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,8,"['81,410', '']","['86,349', '']","['84,023', '']","['90,707', '']","['46,314', '']","['21,494', '']","['0', '']","['18,480', '']","['4,419', '']"
7990,r010,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,9,"['na', '']","['82,395', '']","['81,584', '']","['83,425', '']","['36,372', '']","['6,858', '']","['1,665', '']","['31,173', '']","['7,357', '']"
7990,r011,All institutions -> U. Arizona,All institutions,U. Arizona,2,10,"['68,086', '']","['74,823', '']","['77,135', '']","['73,148', '']","['58,968', '']","['7,395', '']","['1,100', '']","['5,685', '']","['0', '']"
7990,r012,All institutions -> Stanford U.,All institutions,Stanford U.,2,11,"['63,318', '']","['71,817', '']","['68,199', '']","['72,190', '']","['2,951', '']","['25,419', '']","['7,789', '']","['32,299', '']","['3,732', '']"
7990,r013,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,12,"['51,870', '']","['52,807', '']","['58,512', '']","['60,580', '']","['1,892', '']","['22,131', '']","['0', '']","['18,846', '']","['17,711', '']"
7990,r014,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,13,"['48,196', '']","['53,535', '']","['56,570', '']","['59,786', '']","['6,253', '']","['7,913', '']","['30,667', '']","['14,953', '']","['0', '']"
7990,r015,All institutions -> Harvard U.,All institutions,Harvard U.,2,14,"['52,414', '']","['53,614', '']","['55,363', '']","['59,262', '']","['5,025', '']","['22,149', '']","['0', '']","['31,258', '']","['830', '']"
7990,r016,All institutions -> Princeton U.,All institutions,Princeton U.,2,15,"['53,677', '']","['54,879', '']","['60,336', '']","['56,283', '']","['19,005', '']","['13,984', '']","['0', '']","['23,204', '']","['90', '']"
7990,r017,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,16,"['43,134', '']","['47,019', '']","['49,002', '']","['54,485', '']","['5', '']","['21,719', '']","['0', '']","['32,711', '']","['50', '']"
7990,r018,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,17,"['53,057', '']","['56,943', '']","['54,776', '']","['53,869', '']","['9,125', '']","['13,617', '']","['13,654', '']","['17,473', '']","['0', '']"
7990,r019,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,18,"['45,871', '']","['49,064', '']","['52,913', '']","['52,053', '']","['8,422', '']","['21,211', '']","['1,199', '']","['17,655', '']","['3,566', '']"
7990,r020,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,19,"['47,691', '']","['48,539', '']","['49,164', '']","['49,944', '']","['6,624', '']","['20,905', '']","['0', '']","['22,415', '']","['0', '']"
7990,r021,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,20,"['48,305', '']","['49,120', '']","['46,669', '']","['49,661', '']","['1,705', '']","['25,004', '']","['12,128', '']","['8,746', '']","['2,078', '']"
