table_id,row_id,_b_2018_carnegie_classification_by_area_of_study_b_full_path,_b_2018_carnegie_classification_by_area_of_study_b_level_1,_b_2018_carnegie_classification_by_area_of_study_b_level_2,_b_2018_carnegie_classification_by_area_of_study_b_level_3,_b_2018_carnegie_classification_by_area_of_study_b_hierarchy_depth,field_graduate_students_all_graduate_students_number,field_graduate_students_all_graduate_students_percent,field_graduate_students_master_s_number,field_graduate_students_master_s_percent,field_graduate_students_doctoral_number,field_graduate_students_doctoral_percent,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
10741,r001,All broad fields,All broad fields,,,1,798534,100.0,501311,100.0,297223,100.0,62750,100.0,32279,100.0
10741,r002,All broad fields -> Doctoral: highest research,All broad fields,Doctoral: highest research,,2,526529,65.9,286072,57.1,240457,80.9,52094,83.0,27068,83.9
10741,r003,All broad fields -> Doctoral: higher research,All broad fields,Doctoral: higher research,,2,125490,15.7,87827,17.5,37663,12.7,3174,5.1,3407,10.6
10741,r004,All broad fields -> Doctoral: moderate research,All broad fields,Doctoral: moderate research,,2,42007,5.3,35991,7.2,6016,2.0,147,0.2,40,0.1
10741,r005,All broad fields -> Master's: larger programs,All broad fields,Master's: larger programs,,2,75401,9.4,73481,14.7,1920,0.6,87,0.1,49,0.2
10741,r006,All broad fields -> Master's: medium programs,All broad fields,Master's: medium programs,,2,4594,0.6,4225,0.8,369,0.1,55,0.1,84,0.3
10741,r007,All broad fields -> Master's: small programs and baccalaureate,All broad fields,Master's: small programs and baccalaureate,,2,4006,0.5,3447,0.7,559,0.2,51,0.1,30,0.1
10741,r008,All broad fields -> Medical schools and centers,All broad fields,Medical schools and centers,,2,18313,2.3,9378,1.9,8935,3.0,6015,9.6,1314,4.1
10741,r009,All broad fields -> Other 4-year special focus,All broad fields,Other 4-year special focus,,2,773,0.1,510,0.1,263,0.1,8,0.05,16,0.05
10741,r010,All broad fields -> Not classified,All broad fields,Not classified,,2,1421,0.2,380,0.1,1041,0.4,1119,1.8,271,0.8
10741,r011,All broad fields -> Science,All broad fields,Science,,2,538166,100.0,331983,100.0,206183,100.0,36673,100.0,19423,100.0
