table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
8358,r001,Institutions,Institutions,,,,1,41,5.9,25,3.6
8358,r002,Schools,Schools,,,,1,42,5.3,25,3.2
8358,r003,Units,Units,,,,1,44,0.2,38,0.2
8358,r004,All individuals,All individuals,,,,1,127,100.0,107,100.0
8358,r005,All individuals -> Male,All individuals,Male,,,2,93,73.2,81,75.7
8358,r006,All individuals -> Female,All individuals,Female,,,2,34,26.8,26,24.3
8358,r007,All individuals -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,U.S. citizens and permanent residents<sup>a</sup>,,,2,35,27.6,na,na
8358,r008,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,5,3.9,na,na
8358,r009,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,,,,
8358,r010,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,0,0.0,na,na
8358,r011,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,5,3.9,na,na
8358,r012,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,1,0.8,na,na
8358,r013,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,0,0.0,na,na
8358,r014,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,17,13.4,na,na
8358,r015,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,1,0.8,na,na
8358,r016,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,3,6,4.7,na,na
8358,r017,All individuals -> Temporary visa holders,All individuals,Temporary visa holders,,,2,92,72.4,na,na
8358,r018,Primary source of support,Primary source of support,,,,1,,,,
8358,r019,Primary source of support -> Federal,Primary source of support,Federal,,,2,41,32.3,na,na
8358,r020,Primary source of support -> Nonfederal<sup>b</sup>,Primary source of support,Nonfederal<sup>b</sup>,,,2,82,64.6,na,na
8358,r021,Primary source of support -> Personal resources,Primary source of support,Personal resources,,,2,0,0.0,na,na
8358,r022,Primary source of support -> Unknown or not stated,Primary source of support,Unknown or not stated,,,2,4,3.1,na,na
8358,r023,Primary mechanism of support,Primary mechanism of support,,,,1,,,,
8358,r024,Primary mechanism of support -> Fellowships,Primary mechanism of support,Fellowships,,,2,14,11.0,na,na
8358,r025,Primary mechanism of support -> Research grants,Primary mechanism of support,Research grants,,,2,84,66.1,na,na
8358,r026,Primary mechanism of support -> Traineeships,Primary mechanism of support,Traineeships,,,2,0,0.0,na,na
8358,r027,Primary mechanism of support -> Other types of support,Primary mechanism of support,Other types of support,,,2,29,22.8,na,na
8358,r028,Degree type<sup>c</sup>,Degree type<sup>c</sup>,,,,1,,,,
8358,r029,Degree type<sup>c</sup> -> Doctoral degree,Degree type<sup>c</sup>,Doctoral degree,,,2,99,78.0,74,69.2
8358,r030,Degree type<sup>c</sup> -> Professional degree,Degree type<sup>c</sup>,Professional degree,,,2,1,0.8,10,9.3
8358,r031,Degree type<sup>c</sup> -> Dual degree,Degree type<sup>c</sup>,Dual degree,,,2,0,0.0,1,0.9
8358,r032,Degree type<sup>c</sup> -> Doctoral degree type unknown,Degree type<sup>c</sup>,Doctoral degree type unknown,,,2,27,21.3,22,20.6
8358,r033,Degree origin,Degree origin,,,,1,,,,
8358,r034,Degree origin -> United States,Degree origin,United States,,,2,68,53.5,na,na
8358,r035,Degree origin -> Foreign country,Degree origin,Foreign country,,,2,21,16.5,na,na
8358,r036,Degree origin -> Unknown,Degree origin,Unknown,,,2,38,29.9,na,na
