table_id,row_id,group_and_institution_full_path,group_and_institution_level_1,group_and_institution_level_2,group_and_institution_hierarchy_depth,field_doctorate_recipients
1251,r001,Women,Women,,1,
1251,r002,"Women -> U. California, Berkeley",Women,"U. California, Berkeley",2,892
1251,r003,Women -> Cornell U.,Women,Cornell U.,2,637
1251,r004,"Women -> U. Michigan, Ann Arbor",Women,"U. Michigan, Ann Arbor",2,546
1251,r005,Black or African American,Black or African American,,1,
1251,r006,Black or African American -> Howard U.,Black or African American,Howard U.,2,130
1251,r007,Black or African American -> Spelman C.,Black or African American,Spelman C.,2,102
1251,r008,Black or African American -> Florida A&M U.,Black or African American,Florida A&M U.,2,86
1251,r009,Hispanic or Latino,Hispanic or Latino,,1,
1251,r010,"Hispanic or Latino -> U. Puerto Rico, Mayaguez",Hispanic or Latino,"U. Puerto Rico, Mayaguez",2,307
1251,r011,"Hispanic or Latino -> U. Puerto Rico, Rio Piedras",Hispanic or Latino,"U. Puerto Rico, Rio Piedras",2,270
1251,r012,"Hispanic or Latino -> U. Texas, El Paso",Hispanic or Latino,"U. Texas, El Paso",2,186
1251,r013,American Indian or Alaska Native,American Indian or Alaska Native,,1,
1251,r014,"American Indian or Alaska Native -> U. Oklahoma, Norman",American Indian or Alaska Native,"U. Oklahoma, Norman",2,12
1251,r015,American Indian or Alaska Native -> U. Arizona,American Indian or Alaska Native,U. Arizona,2,10
1251,r016,"American Indian or Alaska Native -> Oklahoma State U., Stillwater",American Indian or Alaska Native,"Oklahoma State U., Stillwater",2,9
1251,r017,Asian,Asian,,1,
1251,r018,"Asian -> U. California, Berkeley",Asian,"U. California, Berkeley",2,756
1251,r019,"Asian -> U. California, Los Angeles",Asian,"U. California, Los Angeles",2,307
1251,r020,Asian -> Massachusetts Institute of Technology,Asian,Massachusetts Institute of Technology,2,291
1251,r021,"Asian -> U. California, San Diego",Asian,"U. California, San Diego",2,291
1251,r022,Persons with disabilities,Persons with disabilities,,1,
1251,r023,"Persons with disabilities -> U. California, Berkeley",Persons with disabilities,"U. California, Berkeley",2,31
1251,r024,Persons with disabilities -> U. Florida,Persons with disabilities,U. Florida,2,27
1251,r025,"Persons with disabilities -> Texas A&M U., College Station and Health Science Center",Persons with disabilities,"Texas A&M U., College Station and Health Science Center",2,22
