table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_hierarchy_depth,field_total_workforce,field_skilled_technical_workforce
1614,r001,All employment ,All employment ,,1,135349000,17003000
1614,r002,Sex ,Sex ,,1,,
1614,r003,Sex  -> Male ,Sex ,Male ,2,52.92,72.4
1614,r004,Sex  -> Female ,Sex ,Female ,2,47.08,27.6
1614,r005,Race and ethnicity,Race and ethnicity,,1,,
1614,r006,Race and ethnicity -> Asian,Race and ethnicity,Asian,2,6.2,3.53
1614,r007,Race and ethnicity -> Black or African American,Race and ethnicity,Black or African American,2,11.23,10.05
1614,r008,Race and ethnicity -> Hispanic or Latino,Race and ethnicity,Hispanic or Latino,2,16.45,18.01
1614,r009,Race and ethnicity -> White,Race and ethnicity,White,2,63.57,65.99
1614,r010,Race and ethnicity -> All others,Race and ethnicity,All others,2,2.55,2.43
1614,r011,Foreign born,Foreign born,,1,18.5,16.2
