table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2017_actual,field_2018_preliminarya,field_2019_proposedb,field_2017_18_change_,field_2018_19_change_
1324,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,34393,34572,25259,0.5,-26.9
1324,r002,R&D and R&D plant -> Consumer and occupational health and safety (554) ,R&D and R&D plant,Consumer and occupational health and safety (554) ,,,,2,392,411,411,4.8,0.0
1324,r003,R&D and R&D plant -> Consumer and occupational health and safety (554)  -> Consumer Product Safety Commission,R&D and R&D plant,Consumer and occupational health and safety (554) ,Consumer Product Safety Commission,,,3,2,1,1,-50.0,0.0
1324,r004,"R&D and R&D plant -> Consumer and occupational health and safety (554)  -> Food and Drug Administration (HHS)<sup>c,d</sup>",R&D and R&D plant,Consumer and occupational health and safety (554) ,"Food and Drug Administration (HHS)<sup>c,d</sup>",,,3,390,410,410,5.1,0.0
1324,r005,"R&D and R&D plant -> Health care services and health research and training (551, 552) ",R&D and R&D plant,"Health care services and health research and training (551, 552) ",,,,2,34001,34161,24848,0.5,-27.3
1324,r006,"R&D and R&D plant -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services ",R&D and R&D plant,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,,,3,33538,33660,24226,0.4,-28.0
1324,r007,"R&D and R&D plant -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> Agency for Healthcare Research and Quality",R&D and R&D plant,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,Agency for Healthcare Research and Quality,,4,339,322,0,-5.0,-100.0
1324,r008,"R&D and R&D plant -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> Centers for Disease Control and Prevention<sup>e,f</sup>",R&D and R&D plant,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,"Centers for Disease Control and Prevention<sup>e,f</sup>",,4,511,464,296,-9.2,-36.2
1324,r009,"R&D and R&D plant -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> Departmental management (other)",R&D and R&D plant,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,Departmental management (other),,4,116,131,158,12.9,20.6
1324,r010,"R&D and R&D plant -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> Health Resources and Services Administration",R&D and R&D plant,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,Health Resources and Services Administration,,4,30,30,22,0.0,-26.7
1324,r011,"R&D and R&D plant -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> National Institutes of Health<sup>g,h</sup>",R&D and R&D plant,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,"National Institutes of Health<sup>g,h</sup>",,4,32542,32713,23750,0.5,-27.4
1324,r012,"R&D and R&D plant -> Health care services and health research and training (551, 552)  -> Patient-Centered Outcomes Research Trust Fund<sup>i</sup>",R&D and R&D plant,"Health care services and health research and training (551, 552) ",Patient-Centered Outcomes Research Trust Fund<sup>i</sup>,,,3,463,501,622,8.2,24.2
1324,r013,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,34255,34379,25014,0.4,-27.2
1324,r014,R&D and R&D plant -> R&D -> Consumer and occupational health and safety (554) ,R&D and R&D plant,R&D,Consumer and occupational health and safety (554) ,,,3,377,376,376,-0.3,0.0
1324,r015,R&D and R&D plant -> R&D -> Consumer and occupational health and safety (554)  -> Consumer Product Safety Commission,R&D and R&D plant,R&D,Consumer and occupational health and safety (554) ,Consumer Product Safety Commission,,4,2,1,1,-50.0,0.0
1324,r016,"R&D and R&D plant -> R&D -> Consumer and occupational health and safety (554)  -> Food and Drug Administration (HHS)<sup>c,d</sup>",R&D and R&D plant,R&D,Consumer and occupational health and safety (554) ,"Food and Drug Administration (HHS)<sup>c,d</sup>",,4,375,375,375,0.0,0.0
1324,r017,"R&D and R&D plant -> R&D -> Health care services and health research and training (551, 552) ",R&D and R&D plant,R&D,"Health care services and health research and training (551, 552) ",,,3,33878,34003,24638,0.4,-27.5
1324,r018,"R&D and R&D plant -> R&D -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services ",R&D and R&D plant,R&D,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,,4,33415,33502,24016,0.3,-28.3
1324,r019,"R&D and R&D plant -> R&D -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> Agency for Healthcare Research and Quality",R&D and R&D plant,R&D,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,Agency for Healthcare Research and Quality,5,339,322,0,-5.0,-100.0
1324,r020,"R&D and R&D plant -> R&D -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> Centers for Disease Control and Prevention<sup>e,f</sup>",R&D and R&D plant,R&D,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,"Centers for Disease Control and Prevention<sup>e,f</sup>",5,511,464,296,-9.2,-36.2
1324,r021,"R&D and R&D plant -> R&D -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> Departmental management (other)",R&D and R&D plant,R&D,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,Departmental management (other),5,116,131,158,12.9,20.6
1324,r022,"R&D and R&D plant -> R&D -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> Health Resources and Services Administration",R&D and R&D plant,R&D,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,Health Resources and Services Administration,5,30,30,22,0.0,-26.7
1324,r023,"R&D and R&D plant -> R&D -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> National Institutes of Health<sup>g,h</sup>",R&D and R&D plant,R&D,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,"National Institutes of Health<sup>g,h</sup>",5,32419,32555,23540,0.4,-27.7
1324,r024,"R&D and R&D plant -> R&D -> Health care services and health research and training (551, 552)  -> Patient-Centered Outcomes Research Trust Fund<sup>i</sup>",R&D and R&D plant,R&D,"Health care services and health research and training (551, 552) ",Patient-Centered Outcomes Research Trust Fund<sup>i</sup>,,4,463,501,622,8.2,24.2
