table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_2020,field_total_2021,field_total_2022,field_total_2023,field_federally_financed_2020,field_federally_financed_2021,field_federally_financed_2022,field_federally_financed_2023
12654,r001,All institutions,All institutions,,1,-,"['86,444,096', '']","['89,839,693', '']","['97,835,067', '']","['108,841,148', '']","['46,182,382', '']","['49,192,709', '']","['54,056,186', '']","['59,678,935', '']"
12654,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['3,110,494', '']","['3,181,385', '']","['3,420,312', '']","['3,801,585', '']","['2,682,410', '']","['2,774,643', '']","['2,971,816', '']","['3,324,551', '']"
12654,r003,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,2,"['1,651,073', '']","['1,710,036', '']","['1,805,950', '']","['2,046,539', '']","['676,331', '']","['683,179', '']","['780,318', '']","['858,066', '']"
12654,r004,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,3,"['1,579,364', '']","['1,631,950', '']","['1,791,311', '']","['1,953,617', '']","['721,308', '']","['792,089', '']","['873,318', '']","['936,469', '']"
12654,r005,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,4,"['1,673,862', '']","['1,639,645', '']","['1,770,708', '']","['1,925,875', '']","['884,880', '']","['891,125', '']","['970,636', '']","['1,041,430', '']"
12654,r006,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,5,"['1,456,902', '']","['1,488,645', '']","['1,559,708', '']","['1,734,091', '']","['1,024,195', '']","['1,046,377', '']","['1,083,090', '']","['1,188,836', '']"
12654,r007,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,6,"['1,363,931', '']","['1,380,075', '']","['1,523,513', '']","['1,731,949', '']","['632,558', '']","['646,764', '']","['740,854', '']","['816,814', '']"
12654,r008,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,7,"['1,392,941', '']","['1,454,880', '']","['1,536,197', '']","['1,721,665', '']","['655,030', '']","['721,043', '']","['848,138', '']","['878,571', '']"
12654,r009,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,8,"['1,403,735', '']","['1,425,499', '']","['1,533,357', '']","['1,705,410', '']","['727,289', '']","['801,117', '']","['970,696', '']","['1,083,790', '']"
12654,r010,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,9,"['1,159,725', '']","['1,205,883', '']","['1,361,028', '']","['1,549,617', '']","['706,145', '']","['747,895', '']","['827,158', '']","['907,710', '']"
12654,r011,All institutions -> Stanford U.,All institutions,Stanford U.,2,10,"['1,203,950', '']","['1,274,483', '']","['1,384,555', '']","['1,537,846', '']","['751,414', '']","['811,183', '']","['860,125', '']","['943,669', '']"
12654,r012,All institutions -> Duke U.,All institutions,Duke U.,2,11,"['1,196,638', '']","['1,237,686', '']","['1,390,538', '']","['1,507,996', '']","['707,746', '']","['776,632', '']","['901,807', '']","['974,202', '']"
12654,r013,All institutions -> New York U.,All institutions,New York U.,2,12,"['947,293', '']","['1,063,704', '']","['1,276,038', '']","['1,457,424', '']","['448,850', '']","['547,027', '']","['668,381', '']","['787,204', '']"
12654,r014,All institutions -> Cornell U.,All institutions,Cornell U.,2,13,"['1,190,063', '']","['1,183,524', '']","['1,300,357', '']","['1,451,971', '']","['562,021', '']","['592,359', '']","['636,481', '']","['705,132', '']"
12654,r015,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,14,"['968,260', '']","['1,236,111', '']","['1,363,388', '']","['1,449,188', '']","['539,359', '']","['559,797', '']","['636,902', '']","['694,647', '']"
12654,r016,All institutions -> Harvard U.,All institutions,Harvard U.,2,15,"['1,239,983', '']","['1,254,008', '']","['1,308,458', '']","['1,435,218', '']","['605,603', '']","['616,589', '']","['628,683', '']","['639,953', '']"
12654,r017,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,16,"['1,048,988', '']","['1,114,481', '']","['1,231,485', '']","['1,405,080', '']","['790,518', '']","['852,319', '']","['940,488', '']","['1,083,903', '']"
12654,r018,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,17,"['1,105,532', '']","['1,135,416', '']","['1,251,998', '']","['1,398,078', '']","['689,273', '']","['724,993', '']","['814,647', '']","['916,735', '']"
12654,r019,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,18,"['1,103,062', '']","['1,142,264', '']","['1,228,550', '']","['1,385,302', '']","['689,125', '']","['713,283', '']","['750,447', '']","['825,546', '']"
12654,r020,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,19,"['1,032,909', '']","['1,098,570', '']","['1,230,924', '']","['1,341,952', '']","['762,289', '']","['831,648', '']","['904,346', '']","['988,670', '']"
