table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_level_5,_b_characteristic_b_level_6,_b_characteristic_b_hierarchy_depth,field_all_physical_sciences_and_earth_sciences_fields,field_chemistry,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_physics_and_astronomy
4696,r001,All doctorate recipients (number)<sup>a</sup>,All doctorate recipients (number)<sup>a</sup>,,,,,,1,6247,2763,1243,2241
4696,r002,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,,,,,2,,,,
4696,r003,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite postgraduation study,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite postgraduation study,,,,3,2374,931,537,906
4696,r004,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment,,,,3,1673,761,308,604
4696,r005,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Seeking employment or study,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Seeking employment or study,,,,3,1645,809,301,535
4696,r006,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Other<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Other<sup>c</sup>,,,,3,113,55,16,42
4696,r007,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite postgraduation study (%)<sup>d</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite postgraduation study (%)<sup>d</sup>,,,,3,,,,
4696,r008,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite postgraduation study (%)<sup>d</sup> -> Postdoc fellowship or research associateship,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite postgraduation study (%)<sup>d</sup>,Postdoc fellowship or research associateship,,,4,97.9,98.3,98.1,97.2
4696,r009,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite postgraduation study (%)<sup>d</sup> -> Other or unknown<sup>e</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite postgraduation study (%)<sup>d</sup>,Other or unknown<sup>e</sup>,,,4,2.1,1.7,1.9,2.8
4696,r010,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,,,,3,,,,
